feature,coef,lo,hi,value_source,feature_set,visit_type,visit_normalization,regularization,n_folds,seed,n_bootstrap,n_sims
loc1_pt_x_val,0.01384290591532742,0.00413583044748368,0.021774763262439066,true,location_interactions,all,within,l2,10,1,50,0
loc1_pt_x_rel,0.0009306171456149073,-0.03235806427973639,0.022085002454697075,true,location_interactions,all,within,l2,10,1,50,0
loc1_pt_x_val_x_rel,0.39585838509685994,0.38245530928399274,0.4119956310027959,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_val,0.009028082527532314,0.0007271238840127945,0.022423544875954986,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_rel,0.008521081001292627,-0.0072486252152500355,0.03006285736665164,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_val_x_rel,0.35120106290409775,0.32310124373219806,0.3772265754657008,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_val,0.011849120932689292,0.003966676967268916,0.019265776846660244,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_rel,-0.005615601335372539,-0.02350626624310612,0.031442515671458456,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_val_x_rel,0.3590885244414244,0.3345206173302554,0.3969057428382697,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_val,0.012048772857631637,0.010158090043370965,0.014581069386666057,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_rel,-0.01237769833006954,-0.03270680942752303,0.0012214327482252389,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_val_x_rel,0.3726519628216128,0.352433003050306,0.3931530080950787,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_val,0.015336087249780268,-0.004288085975385446,0.03355015650817821,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_rel,-0.019070287596697832,-0.033365574779061276,-0.0031849591041936682,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_val_x_rel,0.37593057786340706,0.33700437639987463,0.4022597381493955,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_val,0.0029416927623403754,-0.004368060321291274,0.009306297057154822,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_rel,-0.02952305027881001,-0.051121829721647326,-0.011968286052668258,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_val_x_rel,0.37787695535634935,0.36608008214228116,0.4024126454913365,true,location_interactions,all,within,l2,10,1,50,0
