game,original_item,item,onset,offset
1,PLUS,PLUS,5.5,6.2
1,1,1,6.2,6.5
1,MINUS,MINUS,12.2,12.8
1,1,1,12.8,13.3
1,MINUS,MINUS,18.7,19.5
1,7,7,19.5,19.6
1,PLUS,PLUS,24.5,24.9
1,6,6,24.9,25.3
1,MINUS,MINUS,33.6,34.4
1,5,5,34.4,34.8
1,PLUS,PLUS,40.8,41.0
1,3,3,41.0,42.0
2,MINUS,MINUS,2.2,3.0
2,4,4,3.0,3.1
2,PLUS,PLUS,12.9,13.4
2,3,3,13.4,14.3
2,MINUS,MINUS,18.1,18.6
2,4,4,18.6,18.7
2,PLUS,PLUS,23.5,23.8
2,5,5,23.8,24.7
2,PLUS,PLUS,31.5,31.8
2,3,3,35.9,36.2
2,MINUS,MINUS,38.6,39.3
2,4,4,39.3,39.6
3,MINUS,MINUS,3.5,4.6
3,4,4,5.3,5.9
3,PLUS,PLUS,13.7,14.4
3,5,5,14.4,15.0
3,PLUS,PLUS,20.0,20.3
3,9,9,20.3,21.8
3,MINUS,MINUS,26.3,26.7
3,1,1,26.7,27.8
3,MINUS,MINUS,35.5,35.9
3,5,5,35.9,36.4
3,PLUS,PLUS,42.1,42.4
3,5,5,42.4,42.8
4,PLUS,PLUS,24.2,24.2
4,3,3,24.2,25.2
4,MINUS,MINUS,38.7,39.6
4,3,3,39.6,40.1
4,PLUS,PLUS,43.6,44.3
4,7,7,44.3,44.5
4,PLUS,PLUS,47.5,48.1
4,7,7,48.1,48.3
4,MINUS,MINUS,50.2,51.5
4,7,7,51.5,51.6
4,MINUS,MINUS,55.0,55.5
4,1,1,55.5,55.7
5,MINUS,MINUS,4.4,5.3
5,7,7,5.3,5.6
5,PLUS,PLUS,9.1,9.4
5,5,5,9.4,9.9
5,PLUS,PLUS,14.7,15.2
5,8,8,15.2,15.7
5,PLUS,PLUS,18.7,19.3
5,8,8,19.5,19.7
5,MINUS,MINUS,25.3,26.9
5,8,8,26.9,27.1
5,PLUS,PLUS,30.6,30.8
5,2,2,30.8,31.2
6,PLUS,PLUS,2.2,3.0
6,2,2,3.0,3.2
6,+,+,12.9,13.5
6,1,1,13.5,13.7
6,PLUS,PLUS,18.1,18.4
6,8,8,18.4,19.2
6,MINUS,MINUS,22.5,23.0
6,8,8,24.1,24.4
6,PLUS,PLUS,28.8,29.1
6,3,3,31.6,31.9
6,MINUS,MINUS,37.1,37.6
6,5,5,37.6,38.1
7,PLUS,PLUS,3.8,3.8
7,8,8,3.8,4.5
7,MINUS,MINUS,7.4,8.1
7,1,1,8.1,8.3
7,PLUS,PLUS,13.9,14.3
7,7,7,16.0,16.2
7,MINUS,MINUS,24.5,25.2
7,7,7,29.0,29.3
7,MINUS,MINUS,35.0,35.3
7,3,3,37.9,38.1
7,MINUS,MINUS,44.0,44.4
7,8,8,44.4,44.7
