effect,component,term,estimate,std.error,conf.low,conf.high
fixed,cond,feature_dimanimacy,1.6472878596492901,0.08989191065152036,1.4682102232159102,1.817819079762922
fixed,cond,feature_dimenvironment,1.5293381303216622,0.10419281098963985,1.321483933077283,1.7330643304171092
fixed,cond,feature_dimsize,1.659781999544387,0.10837768301219708,1.445294465346543,1.8730117279794187
fixed,cond,feature_dimtexture,1.6301149553633756,0.11018897479745669,1.414739718830307,1.8503962411794235
fixed,cond,feature_dimanimacy:true_offer_value_z,-0.042982987548687575,0.04054278241030944,-0.1202278195363379,0.038183465314304346
fixed,cond,feature_dimenvironment:true_offer_value_z,0.02494187447680992,0.043197962442854496,-0.05931917106943066,0.10780305183018003
fixed,cond,feature_dimsize:true_offer_value_z,-0.00417236558270692,0.04223290957504092,-0.08657732081658613,0.07696795476239586
fixed,cond,feature_dimtexture:true_offer_value_z,0.008427269015523063,0.03971213755870854,-0.07077497310031267,0.08754362139954985
fixed,cond,feature_dimanimacy:true_offer_value_z2,-0.017723929658054957,0.024232385371082816,-0.06657730217318313,0.029117450995306295
fixed,cond,feature_dimenvironment:true_offer_value_z2,0.03277403930309231,0.026598729801742105,-0.019585424490543298,0.08469316684756176
fixed,cond,feature_dimsize:true_offer_value_z2,-0.0015903103319583089,0.023680624609081553,-0.04801756898781528,0.04317004720881447
fixed,cond,feature_dimtexture:true_offer_value_z2,0.026020369714461367,0.02273518825644508,-0.018527383738820215,0.0704895023354689
