effect,component,term,estimate,std.error,conf.low,conf.high
fixed,cond,feature_dimanimacy,1.102761020043493,0.1807461998872367,0.754355496888799,1.4497041801047736
fixed,cond,feature_dimenvironment,0.7157511417743415,0.20036575775299595,0.317922607723296,1.0966901143764318
fixed,cond,feature_dimsize,1.1698229756972143,0.19777718262220173,0.7796202292995846,1.556891574495779
fixed,cond,feature_dimtexture,1.3006185105355217,0.20130394591249973,0.9021254351636262,1.692387131398773
fixed,cond,feature_dimanimacy:recalled_total_count,0.11158030014409918,0.03787950992942085,0.03802021958433707,0.18637382012915304
fixed,cond,feature_dimenvironment:recalled_total_count,0.18161085647316402,0.03811075242864183,0.10670124474849417,0.25775949601906695
fixed,cond,feature_dimsize:recalled_total_count,0.10174803584695691,0.04124237788319396,0.021784865824410415,0.18336748982992881
fixed,cond,feature_dimtexture:recalled_total_count,0.07305750520101902,0.04160944347989492,-0.007827130164673053,0.1563794240603809
