game,original_item,item,onset,offset
1,MINUS,MINUS,5.2,6.4
1,3,3,6.4,6.6
1,PLUS,PLUS,10.9,11.3
1,9,9,11.3,12.2
1,MINUS,MINUS,18.0,19.2
1,2,2,19.2,19.4
1,MINUS,MINUS,23.7,24.2
1,3,3,24.2,24.8
1,PLUS,PLUS,30.0,30.3
1,1,1,30.3,30.6
1,MINUS,MINUS,33.9,34.4
1,6,6,34.4,34.8
2,MINUS,MINUS,2.1,3.1
2,3,3,3.1,3.3
2,PLUS,PLUS,6.2,6.9
2,7,7,6.9,7.2
2,MINUS,MINUS,11.5,12.2
2,4,4,12.2,13.0
2,+,+,14.5,15.4
2,9,9,15.4,15.5
2,MINUS,MINUS,17.5,18.8
2,6,6,18.8,19.0
2,PLUS,PLUS,21.5,21.8
2,7,7,21.8,22.1
3,PLUS,PLUS,1.6,2.3
3,7,7,2.3,2.5
3,MINUS,MINUS,5.2,5.8
3,5,5,5.8,6.0
3,PLUS,PLUS,8.4,9.2
3,2,2,9.2,9.2
3,MINUS,MINUS,13.1,13.9
3,5,5,13.9,14.1
3,MINUS,MINUS,16.8,17.7
3,5,5,17.7,17.7
3,PLUS,PLUS,20.5,20.9
3,3,3,20.9,21.8
4,MINUS,MINUS,2.1,3.1
4,3,3,3.1,3.3
4,PLUS,PLUS,7.0,7.4
4,6,6,7.4,8.4
4,MINUS,MINUS,12.0,12.6
4,5,5,12.6,12.9
4,MINUS,MINUS,16.4,16.7
4,1,1,16.7,17.2
4,MINUS,MINUS,20.4,20.8
4,3,3,20.8,21.1
4,PLUS,PLUS,24.6,25.0
4,8,8,25.0,25.5
5,MINUS,MINUS,2.4,3.5
5,5,5,3.5,3.8
5,MINUS,MINUS,6.8,7.6
5,3,3,7.6,7.8
5,PLUS,PLUS,10.1,10.8
5,7,7,11.8,12.4
5,MINUS,MINUS,14.4,15.3
5,5,5,15.3,15.6
5,PLUS,PLUS,17.8,18.5
5,3,3,18.5,19.0
5,MINUS,MINUS,21.7,22.4
5,2,2,22.4,22.4
6,PLUS,PLUS,3.4,5.0
6,5,5,5.0,5.3
6,MINUS,MINUS,12.5,13.4
6,9,9,13.4,13.7
6,MINUS,MINUS,16.4,17.0
6,9,9,17.0,17.2
6,PLUS,PLUS,20.0,20.3
6,2,2,20.3,20.6
6,PLUS,PLUS,24.3,24.6
6,3,3,24.6,25.0
6,,,26.0,27.0
7,MINUS,MINUS,1.8,2.5
7,3,3,2.5,2.6
7,MINUS,MINUS,6.1,7.1
7,5,5,7.1,7.3
7,PLUS,PLUS,9.0,10.0
7,9,9,10.0,10.2
7,MINUS,MINUS,14.1,14.8
7,9,9,14.8,15.0
7,PLUS,PLUS,16.9,17.8
7,9,9,17.8,17.9
7,MINUS,MINUS,19.7,20.5
7,1,1,19.7,20.5
