heldout_game,delta
0,61.97175804170632
1,54.8998826399162
2,35.27156819486635
3,34.0550336771002
4,54.342677271022865
5,44.50446891856393
6,57.97273935351353
7,46.79877147850368
8,37.299418351848715
9,44.39021477296615
