heldout_game,free3-rtTrans,theta1-rtTrans
0.0,-363.0567406603972,-425.02849870210355
1.0,-374.5794776306686,-429.4793602705848
2.0,-370.29911714195214,-405.5706853368185
3.0,-345.00419766339917,-379.05923134049937
4.0,-359.0752062308296,-413.4178835018525
5.0,-358.38662110302516,-402.8910900215891
6.0,-336.70511239540696,-394.6778517489205
7.0,-342.4614162919159,-389.2601877704196
8.0,-325.4037421554694,-362.7031605073181
9.0,-326.4533224210185,-370.8435371939847
