game,original_item,item,onset,offset
1,MINUS,MINUS,5.8,6.7
1,2,2,6.7,6.9
1,PLUS,PLUS,12.0,12.5
1,4,4,12.5,12.6
1,MINUS,MINUS,15.6,16.7
1,7,7,16.7,16.9
1,PLUS,PLUS,24.7,25.2
1,2,2,25.2,26.2
1,MINUS,MINUS,31.6,32.0
1,4,4,32.0,32.4
1,PLUS,PLUS,36.0,36.3
1,4,4,36.3,36.4
2,NEGATIVE,NEGATIVE,9.1,9.7
2,4,4,9.7,9.9
2,MINUS,MINUS,12.2,12.6
2,1,1,12.6,12.8
2,PLUS,PLUS,16.9,17.1
2,8,8,17.1,17.4
2,MINUS,MINUS,24.8,25.2
2,8,8,25.2,25.5
2,PLUS,PLUS,26.6,27.5
2,7,7,27.5,27.8
2,MINUS,MINUS,32.5,32.9
2,1,1,32.9,33.0
3,PLUS,PLUS,2.0,2.5
3,7,7,2.5,2.7
3,PLUS,PLUS,6.6,7.2
3,1,1,7.2,7.4
3,MINUS,MINUS,10.1,11.2
3,1,1,11.2,11.3
3,MINUS,MINUS,15.3,16.0
3,6,6,16.0,16.1
3,MINUS,MINUS,18.6,19.7
3,5,5,19.7,19.8
3,MINUS,MINUS,23.1,23.4
3,6,6,23.4,23.8
4,MINUS,MINUS,2.1,3.0
4,9,9,2.1,3.0
4,+,+,5.2,6.4
4,9,9,6.4,6.5
4,MINUS,MINUS,9.6,10.4
4,3,3,9.6,10.4
4,MINUS,MINUS,13.7,14.5
4,3,3,13.7,14.5
4,PLUS,PLUS,18.3,18.5
4,9,9,18.5,18.9
4,NEGATIVE,NEGATIVE,22.3,22.9
4,5,5,22.9,23.0
5,MINUS,MINUS,3.3,4.0
5,1,1,4.0,4.1
5,MINUS,MINUS,6.5,7.2
5,8,8,7.2,7.4
5,PLUS,PLUS,8.4,9.1
5,8,8,9.1,9.4
5,PLUS,PLUS,14.8,15.7
5,3,3,17.9,18.3
5,MINUS,MINUS,23.0,23.5
5,4,4,23.5,23.7
5,PLUS,PLUS,26.9,27.2
5,5,5,27.2,27.5
6,NEGATIVE,NEGATIVE,1.3,2.3
6,5,5,1.3,2.3
6,NEGATIVE,NEGATIVE,6.6,7.2
6,8,8,7.2,7.4
6,PLUS,PLUS,11.8,12.2
6,1,1,12.2,12.4
6,NEGATIVE,NEGATIVE,16.0,16.6
6,2,2,16.6,16.8
6,PLUS,PLUS,19.7,20.0
6,2,2,20.0,20.3
6,PLUS,PLUS,24.3,24.5
6,5,5,24.5,24.8
7,MINUS,MINUS,3.5,4.3
7,7,7,4.3,4.4
7,MINUS,MINUS,7.9,8.6
7,2,2,8.6,8.8
7,PLUS,PLUS,10.5,11.5
7,7,7,11.5,11.9
7,MINUS,MINUS,13.5,14.7
7,1,1,14.7,14.8
7,MINUS,MINUS,17.1,18.0
7,2,2,18.0,18.2
7,PLUS,PLUS,19.5,20.4
7,9,9,20.4,20.7
