game,recalled_item,recall_onset,recall_offset,recall_duration,window,total_fixations_all,total_fixations_images,fixations_at_target,fixations_at_other_images,fixations_center,fixations_none,proportion_at_target,proportion_at_other_images,total_fixation_duration_all,total_fixation_duration_images,duration_at_target,duration_at_other_images,duration_center,duration_none,proportion_duration_at_target,proportion_duration_at_other_images
1,Animal_Land_Pattern_Large,7300,8000,700,pre_recall,7,4,0,4,0,3,0.0,1.0,548.0,319.0,0.0,319.0,0.0,229.0,0.0,1.0
1,Animal_Land_Pattern_Large,7300,8000,700,during_recall,1,0,0,0,0,1,0.0,0.0,69.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0
1,Object_Land_Pattern_Large,9100,9200,100,pre_recall,1,0,0,0,0,1,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1,Object_Land_Pattern_Large,9100,9200,100,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Animal_Land_Solid_Small,11600,11800,200,pre_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Animal_Land_Solid_Small,11600,11800,200,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Animal_Sea_Solid_Large,13800,14100,300,pre_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Animal_Sea_Solid_Large,13800,14100,300,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Object_Sea_Pattern_Small,14400,14900,500,pre_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Object_Sea_Pattern_Small,14400,14900,500,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Object_Sea_Solid_Small,13400,13700,300,pre_recall,11,11,1,10,0,0,0.09090909090909091,0.9090909090909091,1361.0,1361.0,29.0,1332.0,0.0,0.0,0.0213078618662748,0.9786921381337252
2,Object_Sea_Solid_Small,13400,13700,300,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Object_Land_Pattern_Small,15300,15400,100,pre_recall,12,11,1,10,1,0,0.09090909090909091,0.9090909090909091,1509.0,1320.0,382.0,938.0,189.0,0.0,0.28939393939393937,0.7106060606060606
2,Object_Land_Pattern_Small,15300,15400,100,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
