Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(seq_length1) = 0,0.008025162253899676,6.819717646187442e-4,0.006668371010010377,0.009450804516761271,NA,NA,*
(seq_length2) = 0,0.009531918287769852,6.725382188195908e-4,0.008179398263642784,0.0109015655344315,NA,NA,*
(seq_length3) = 0,0.0032748207771150575,6.81501522717135e-4,0.0019004471448625419,0.004665202783537995,NA,NA,*
(seq_length4) = 0,9.946975131981458e-4,6.736179499386625e-4,-3.2453671573744804e-4,0.0024029544596922327,NA,NA,
(seq_length5) = 0,4.307779238714607e-5,6.767222930233912e-4,-0.0012994332411076395,0.001469939434463347,NA,NA,
(seq_length6P) = 0,7.290910735344601e-5,6.713808010196233e-4,-0.0012137008495553946,0.0014314398540439073,NA,NA,
