Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(seq_length1) = 0,0.034193133231680696,0.0037308904369539805,0.02689444291113458,0.04132278894515181,NA,NA,*
(seq_length2) = 0,0.03645908002530834,0.003836288474161256,0.028751575039973942,0.04397461033478128,NA,NA,*
(seq_length3) = 0,0.023245944378469566,0.003752351409715011,0.015841773775770906,0.03064378882176965,NA,NA,*
(seq_length4) = 0,0.010452548527710982,0.0037056009931994644,0.0032730971276359495,0.01770697226069737,NA,NA,*
(seq_length5) = 0,0.0046696778336589185,0.0038140672447600677,-0.0027451713081838684,0.01214243072147058,NA,NA,
(seq_length6P) = 0,0.0028561672480796212,0.0036899012773344807,-0.004429209501597727,0.009968318944752263,NA,NA,
