subject,condition,fixation_advantage
101,all,3.2632
101,all,-0.151
101,all,0.6632
101,all,0.2514
101,all,-0.357
101,all,-0.3832
101,all,0.6274
101,all,-0.6224
101,all,0.17139999999999997
101,all,-0.0844
101,all,-0.1406
101,all,-0.366
101,all,-0.48460000000000003
101,all,-0.6948
101,all,0.46020000000000005
101,all,-0.17479999999999996
101,all,-0.4582
101,all,-0.37
101,all,1.6828
101,all,0.256
101,all,2.5524
101,all,1.0595999999999999
101,all,-1.1824000000000001
101,all,-0.1678
101,all,-0.4822
101,all,-1.0515999999999999
101,all,-0.22840000000000002
101,all,-0.39039999999999997
101,all,-0.4852
101,all,-0.010399999999999977
101,all,-0.044200000000000045
101,all,0.6324
101,all,-0.7784
101,all,0.36960000000000004
101,all,0.028
101,all,-0.32939999999999997
101,all,-0.44260000000000005
101,all,0.07519999999999999
101,all,-0.0668
101,all,-0.0942
101,all,0.2028
101,all,0.42060000000000003
101,all,0.1418
101,all,-0.4812
101,all,-0.2526
101,all,-0.44239999999999996
101,all,-0.48560000000000003
101,all,0.5334
101,all,0.863
101,all,-0.1454
101,all,0.4958
101,all,-0.5204
101,all,-0.5638
101,all,-0.6216
101,all,-0.76
101,all,0.9192
101,all,-0.08320000000000001
101,all,0.369
103,all,-0.113
103,all,0.5608
103,all,-0.1972
103,all,0.7962
103,all,1.0912000000000002
103,all,1.5008
103,all,-1.179
103,all,1.2096
103,all,-1.3266
103,all,1.4032
103,all,3.0108
103,all,-1.11
103,all,-0.111
103,all,0.3674
103,all,0.7786000000000001
103,all,0.5666
103,all,-0.4664
103,all,0.8498
103,all,0.028399999999999977
103,all,-0.6804
103,all,0.717
103,all,-0.803
103,all,0.3288
103,all,0.8082
103,all,0.48360000000000003
103,all,1.2758
103,all,0.11220000000000005
103,all,-2.2556
103,all,1.5068
103,all,-2.1458000000000004
103,all,-0.0512
103,all,-0.0692
103,all,-0.1796
103,all,-0.2636
103,all,0.15339999999999998
103,all,-0.5602
103,all,1.7366
103,all,-0.2512
103,all,1.2224000000000002
103,all,-0.3872
103,all,-0.871
103,all,1.8195999999999999
103,all,-0.378
103,all,1.4536
103,all,1.7995999999999999
103,all,-0.8532000000000001
103,all,1.2728
103,all,1.7066
103,all,-0.0424
103,all,-0.256
103,all,0.9378
103,all,0.1388
103,all,1.1536
103,all,0.034
103,all,-0.09459999999999999
103,all,0.3772
103,all,-0.2358
103,all,0.3782
103,all,0.8318
103,all,0.6562
103,all,-0.06260000000000003
103,all,0.8986000000000001
103,all,-0.4674
103,all,2.2638000000000003
103,all,-0.26320000000000005
103,all,3.0208000000000004
103,all,-0.053
103,all,0.2066
103,all,-0.19080000000000003
103,all,2.2146
103,all,-0.7508
103,all,2.4716
103,all,-0.382
103,all,0.19120000000000004
103,all,-0.013000000000000001
103,all,-1.2534
103,all,-1.2838
103,all,-1.327
103,all,-1.1108
103,all,-1.4185999999999999
103,all,1.941
103,all,-1.6462
103,all,-0.0476
103,all,-0.1014
103,all,0.178
103,all,0.10740000000000001
103,all,0.5378
103,all,-0.4354
103,all,0.6892
103,all,-0.28179999999999994
103,all,0.8992000000000001
103,all,-0.24880000000000002
103,all,0.9778
103,all,1.0222
103,all,-0.8967999999999999
103,all,0.9066000000000001
103,all,2.535
103,all,1.0946
103,all,2.5625999999999998
103,all,-1.3664
103,all,-1.3908
103,all,-1.2734
103,all,-1.4904000000000002
103,all,-0.9560000000000001
103,all,2.8542
103,all,-1.5268
103,all,3.3734
103,all,1.4152
103,all,3.2116
103,all,-0.5454000000000001
103,all,-1.4646
103,all,2.8694
103,all,-0.0684
103,all,0.2632
103,all,0.2716
103,all,0.4566
103,all,0.643
103,all,0.4202
103,all,1.0742
103,all,0.5640000000000001
103,all,-0.6406000000000001
103,all,1.3374000000000001
103,all,-0.6952
103,all,-0.8046000000000001
103,all,-0.17239999999999997
103,all,-0.8126
103,all,0.8618
103,all,-0.6952
103,all,-0.0076
103,all,0.014199999999999999
103,all,-0.0994
103,all,-0.0044000000000000055
103,all,0.014599999999999995
103,all,0.1512
103,all,-0.6592
103,all,0.20079999999999995
103,all,1.857
103,all,0.3672
103,all,-0.7622000000000001
103,all,1.0862
103,all,-0.3406
103,all,1.0388
103,all,-0.6302000000000001
103,all,-1.9782000000000002
103,all,-0.14479999999999996
103,all,-0.195
103,all,-0.32880000000000004
103,all,1.5635999999999999
