game,original_item,item,onset,offset
1,MINUS,MINUS,4.2,5.4
1,5,5,5.4,5.6
1,PLUS,PLUS,13.5,14.0
1,3,3,13.5,14.0
1,MINUS,MINUS,20.5,21.2
1,4,4,21.2,21.7
1,PLUS,PLUS,27.7,28.0
1,2,2,27.7,28.0
1,PLUS,PLUS,31.7,32.0
1,1,1,31.7,32.0
1,MINUS,MINUS,35.6,35.8
1,7,7,35.8,36.6
2,PLUS,PLUS,9.6,9.8
2,2,2,9.6,9.8
2,PLUS,PLUS,15.6,15.9
2,3,3,15.6,15.9
2,MINUS,MINUS,20.6,21.5
2,4,4,20.6,21.5
2,PLUS,PLUS,25.9,26.5
2,7,7,25.9,26.5
2,NEGATIVE,NEGATIVE,32.0,32.9
2,5,5,32.9,33.6
2,PLUS,PLUS,38.0,38.3
2,4,4,38.0,38.3
3,MINUS,MINUS,4.1,5.8
3,7,7,4.1,5.8
3,PLUS,PLUS,10.9,11.4
3,8,8,10.9,11.4
3,PLUS,PLUS,17.0,17.4
3,2,2,17.0,17.4
3,MINUS,MINUS,25.2,26.0
3,2,2,25.2,26.0
3,PLUS,PLUS,33.8,34.1
3,1,1,33.8,34.1
3,PLUS,PLUS,40.8,41.1
3,1,1,40.8,41.1
4,PLUS,PLUS,3.6,5.0
4,1,1,3.6,5.0
4,MINUS,MINUS,12.3,13.2
4,2,2,12.3,13.2
4,PLUS,PLUS,17.4,18.0
4,7,7,17.4,18.0
4,MINUS,MINUS,22.1,22.9
4,4,4,22.1,22.9
4,PLUS,PLUS,26.7,27.1
4,8,8,26.7,27.1
4,NEGATIVE,NEGATIVE,33.8,34.2
4,5,5,34.2,34.5
5,MINUS,MINUS,3.3,4.3
5,7,7,4.3,4.5
5,MINUS,MINUS,10.4,11.1
5,8,8,11.1,11.3
5,PLUS,PLUS,16.4,16.9
5,2,2,16.4,16.9
5,PLUS,PLUS,19.9,20.1
5,5,5,19.9,20.1
5,PLUS,PLUS,28.9,29.2
5,2,2,28.9,29.2
5,PLUS,PLUS,37.2,37.4
5,3,3,37.2,37.4
6,PLUS,PLUS,3.3,3.7
6,4,4,3.3,3.7
6,PLUS,PLUS,7.3,7.6
6,2,2,7.3,7.6
6,MINUS,MINUS,10.5,11.9
6,6,6,10.5,11.9
6,PLUS,PLUS,15.2,15.5
6,4,4,15.2,15.5
6,MINUS,MINUS,21.3,22.0
6,7,7,21.3,22.0
6,MINUS,MINUS,29.6,30.4
6,7,7,29.6,30.4
7,MINUS,MINUS,5.9,7.1
7,7,7,5.9,7.1
7,PLUS,PLUS,14.5,15.8
7,6,6,14.5,15.8
7,PLUS,PLUS,23.3,23.8
7,7,7,23.3,23.8
7,PLUS,PLUS,29.0,29.3
7,2,2,29.0,29.3
7,NEGATIVE,NEGATIVE,32.6,33.1
7,5,5,33.1,34.0
7,NEGATIVE,NEGATIVE,38.1,38.6
7,6,6,38.6,38.7
