subject,game,option,choice,correct,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
103,3,Small,0.0,0.0,10.497171583003365,5.0,5.0,5,3
103,3,Pattern,1.0,1.0,9.244526749942452,11.0,13.0,5,2
103,3,Solid,0.0,1.0,2.633825666969642,-1.0,-1.0,5,3
103,3,Object,1.0,1.0,4.2468404999235645,6.0,8.0,5,2
103,3,Land,1.0,1.0,14.673821666045114,5.0,5.0,5,3
103,3,Large,1.0,1.0,21.41356308304239,5.0,7.0,5,2
103,4,Pattern,1.0,0.0,15.61622433399316,-3.0,-3.0,5,3
103,4,Land,0.0,0.0,14.085815540980548,1.0,-6.0,5,2
103,4,Large,1.0,1.0,11.486993000027724,3.0,-4.0,5,2
103,4,Solid,0.0,0.0,14.811134500079788,3.0,-4.0,5,2
103,4,Animal,1.0,1.0,24.573432959034108,3.0,-4.0,5,2
103,4,Sea,0.0,1.0,7.447224667062983,-1.0,-1.0,5,3
103,4,Small,0.0,1.0,6.951357625075616,-3.0,-3.0,5,3
103,4,Object,1.0,0.0,18.69697479205206,-3.0,-3.0,5,3
103,5,Solid,1.0,0.0,37.46965962497052,-3.0,-1.0,5,3
103,5,Small,0.0,1.0,16.790348042035475,-4.0,-2.0,5,3
103,5,Pattern,0.0,0.0,18.815463667036965,1.0,0.0,5,2
103,5,Animal,0.0,1.0,25.198714207974263,-3.0,3.0,5,2
103,5,Large,0.0,0.0,16.49158237501979,2.0,1.0,5,2
103,5,Sea,0.0,1.0,8.83203249995131,-4.0,-2.0,5,3
103,5,Object,0.0,0.0,4.395553083042614,1.0,-4.0,5,3
103,5,Land,0.0,0.0,8.869144375086762,2.0,1.0,5,2
103,6,Pattern,0.0,1.0,67.30460041598417,-3.0,0.0,5,2
103,6,Large,0.0,1.0,17.598854375071824,-2.0,-2.0,5,3
103,6,Small,1.0,1.0,17.13334058399778,1.0,4.0,5,2
103,6,Land,1.0,1.0,28.71283787500579,1.0,4.0,5,2
103,6,Animal,0.0,1.0,17.063075124984607,-2.0,1.0,5,2
103,6,Object,1.0,1.0,15.112265125033446,1.0,1.0,5,3
103,6,Solid,0.0,0.0,9.849985375069082,2.0,2.0,5,3
103,6,Sea,0.0,1.0,13.821856584050693,-2.0,-2.0,5,3
103,7,Animal,0.0,1.0,4.5658652919810265,-1.0,-1.0,6,3
103,7,Land,0.0,1.0,7.117545707966201,-1.0,-7.0,6,3
103,7,Solid,1.0,0.0,10.529879999929108,-2.0,4.0,6,3
103,7,Large,0.0,1.0,10.513634916977026,-1.0,-1.0,6,3
103,7,Sea,1.0,0.0,8.95531187497545,-2.0,4.0,6,3
103,7,Pattern,0.0,1.0,3.628575499984436,-1.0,-7.0,6,3
103,7,Object,0.0,1.0,17.422590582980774,-2.0,-2.0,6,3
103,7,Small,0.0,1.0,6.19561662490014,-2.0,-2.0,6,3
104,1,Land,0.0,0.0,2.6777360419509932,1.0,4.0,4,2
104,1,Large,1.0,1.0,1.1347983329324052,1.0,4.0,4,2
104,1,Pattern,0.0,1.0,1.7368539579911155,-12.0,-2.0,4,1
104,1,Sea,1.0,0.0,0.9296067919349298,-6.0,5.0,4,2
104,1,Object,1.0,1.0,2.618371875025332,1.0,9.0,4,2
104,1,Solid,1.0,1.0,2.285553125082515,7.0,11.0,4,3
104,1,Small,1.0,0.0,0.7779633329482749,-6.0,5.0,4,2
104,1,Animal,0.0,1.0,1.2480977090308445,-6.0,0.0,4,2
104,2,Animal,0.0,0.0,11.362428708001971,2.0,2.0,5,2
104,2,Land,1.0,1.0,3.351680124993436,7.0,9.0,5,3
104,2,Sea,1.0,0.0,0.8441960000200197,-1.0,-3.0,5,2
104,2,Solid,0.0,1.0,7.782831375021488,-1.0,-1.0,5,2
104,2,Small,1.0,1.0,4.0416492079384625,2.0,0.0,5,2
104,2,Object,1.0,1.0,1.187969999969937,4.0,4.0,5,3
104,2,Large,1.0,1.0,1.6605947919888422,4.0,6.0,5,3
104,2,Pattern,1.0,1.0,3.759918999974616,7.0,7.0,5,3
104,3,Object,1.0,1.0,3.7604143749922514,1.0,7.0,3,1
104,3,Pattern,0.0,1.0,0.8562672919360921,-5.0,,3,0
104,3,Small,1.0,0.0,1.4556608750717714,-2.0,5.0,3,2
104,3,Sea,0.0,1.0,4.086700291954912,-2.0,-3.0,3,1
104,3,Large,0.0,1.0,5.473612417001277,-2.0,-3.0,3,1
104,3,Solid,1.0,1.0,1.2939922499936074,1.0,2.0,3,3
104,3,Land,1.0,0.0,4.816386708058417,-2.0,5.0,3,2
104,3,Animal,0.0,1.0,2.5170710829552263,-5.0,-5.0,3,2
104,4,Small,1.0,1.0,1.3051365420687944,3.0,5.0,5,3
104,4,Large,1.0,1.0,0.5213593749795109,2.0,5.0,5,2
104,4,Animal,1.0,1.0,0.430837457999587,3.0,3.0,5,3
104,4,Land,1.0,1.0,4.811406249995343,2.0,5.0,5,2
104,4,Solid,1.0,1.0,0.4008932909928262,1.0,5.0,5,2
104,4,Sea,0.0,0.0,0.7083544170018286,3.0,5.0,5,3
104,4,Pattern,1.0,1.0,0.8427637499989942,4.0,5.0,5,3
104,4,Object,1.0,1.0,0.8805609999690205,2.0,7.0,5,2
104,5,Pattern,1.0,0.0,1.0543427090160549,-7.0,-16.0,5,2
104,5,Animal,1.0,0.0,9.378299625008369,-2.0,-10.0,5,2
104,5,Large,0.0,1.0,0.7599747499916703,-3.0,-8.0,5,3
104,5,Sea,1.0,0.0,1.4652923750691116,-6.0,-6.0,5,3
104,5,Small,0.0,1.0,1.0646406250307336,-6.0,-12.0,5,2
104,5,Land,0.0,1.0,3.4867622080491856,-3.0,-14.0,5,2
104,5,Solid,1.0,0.0,2.8579910829430446,-2.0,-4.0,5,3
104,5,Object,0.0,1.0,1.2372581659583377,-7.0,-10.0,5,3
104,6,Solid,0.0,1.0,2.7241994170472026,-4.0,3.0,4,1
104,6,Small,1.0,0.0,6.599914000020362,-2.0,3.0,4,1
104,6,Object,1.0,0.0,3.878611791995354,-2.0,-6.0,4,2
104,6,Sea,1.0,0.0,4.069019917049445,-1.0,1.0,4,3
104,6,Animal,1.0,0.0,1.727344833081588,-1.0,10.0,4,2
104,6,Large,1.0,0.0,1.924536957987584,-1.0,1.0,4,3
104,6,Pattern,1.0,1.0,0.6081641250057146,1.0,1.0,4,3
104,6,Land,0.0,1.0,11.465849000029266,-2.0,3.0,4,1
104,7,Object,1.0,1.0,9.729151666979304,3.0,10.0,6,3
104,7,Small,1.0,0.0,2.8362104169791564,-4.0,3.0,6,3
104,7,Large,1.0,1.0,1.511956917005591,16.0,16.0,6,3
104,7,Sea,1.0,1.0,11.2331016670214,9.0,9.0,6,3
104,7,Solid,1.0,1.0,6.256807332974859,9.0,9.0,6,3
104,7,Animal,1.0,1.0,6.391611875034869,9.0,9.0,6,3
104,7,Pattern,1.0,1.0,5.509306167019531,3.0,10.0,6,3
104,7,Land,1.0,1.0,9.435082374955527,3.0,10.0,6,3
105,1,Large,1.0,0.0,6.351288583944552,-11.0,7.0,3,2
105,1,Object,0.0,0.0,3.798770499997772,5.0,-1.0,3,1
105,1,Sea,1.0,1.0,1.113639457966201,1.0,9.0,3,2
105,1,Land,0.0,1.0,4.153576708049513,-11.0,-1.0,3,1
105,1,Solid,1.0,0.0,5.310788374976255,-4.0,,3,0
105,1,Pattern,1.0,0.0,2.819347291951999,-6.0,8.0,3,3
105,1,Animal,0.0,1.0,2.3712131249485537,-15.0,9.0,3,2
105,1,Small,1.0,1.0,3.0312586670042947,1.0,1.0,3,1
105,2,Large,1.0,1.0,4.049898999975994,4.0,20.0,3,3
105,2,Solid,0.0,0.0,4.394204374984838,2.0,4.0,3,1
105,2,Pattern,1.0,1.0,0.5587012500036508,4.0,16.0,3,2
105,2,Animal,0.0,0.0,3.147713084006682,8.0,12.0,3,2
105,2,Small,0.0,0.0,1.215079625020735,2.0,,3,0
105,2,Sea,1.0,1.0,0.7869795829756185,2.0,,3,0
105,2,Land,1.0,1.0,0.832736958982423,4.0,20.0,3,3
105,2,Object,1.0,0.0,0.8065602920250967,-2.0,8.0,3,1
105,3,Animal,1.0,1.0,1.683105874923058,1.0,4.0,2,1
105,3,Pattern,0.0,1.0,2.18022595893126,-1.0,,2,0
105,3,Solid,1.0,1.0,1.5088404170237482,1.0,2.0,2,2
105,3,Small,0.0,1.0,2.512704540975392,-1.0,,2,0
105,3,Land,1.0,0.0,0.7977782919770107,-1.0,,2,0
105,3,Sea,1.0,1.0,1.5943599159363655,1.0,2.0,2,2
105,3,Object,1.0,0.0,1.4525454170070589,-1.0,-2.0,2,1
105,3,Large,1.0,1.0,1.1042189999716356,1.0,2.0,2,2
105,4,Sea,1.0,1.0,3.0387176249641925,4.0,9.0,2,1
105,4,Solid,1.0,1.0,2.7253818339668214,8.0,,2,0
105,4,Small,0.0,0.0,2.7894099169643596,13.0,,2,0
105,4,Object,1.0,1.0,1.695655290968716,9.0,9.0,2,1
105,4,Large,0.0,1.0,0.3650377499870956,-1.0,18.0,2,2
105,4,Pattern,1.0,1.0,0.5698484999593347,4.0,18.0,2,2
105,4,Land,1.0,1.0,2.3158307910198346,8.0,9.0,2,1
105,4,Animal,0.0,0.0,3.869751499965787,3.0,9.0,2,1
105,5,Pattern,0.0,0.0,2.632470833021216,2.0,-8.0,2,1
105,5,Animal,0.0,1.0,3.747956500039436,-3.0,,2,0
105,5,Sea,0.0,0.0,5.405779791995883,1.0,3.0,2,1
105,5,Object,0.0,0.0,6.345956749981269,2.0,-5.0,2,2
105,5,Land,0.0,1.0,2.7430502920178697,-2.0,-8.0,2,1
105,5,Large,1.0,0.0,2.261646958999336,-2.0,-8.0,2,1
105,5,Solid,1.0,0.0,0.974659041967243,-3.0,3.0,2,1
105,5,Small,1.0,1.0,1.831697165966034,1.0,3.0,2,1
105,6,Solid,1.0,0.0,2.264907708973624,-1.0,-6.0,2,2
105,6,Small,1.0,0.0,4.788127833977342,-1.0,2.0,2,1
105,6,Object,1.0,0.0,2.143643084098585,-3.0,-6.0,2,2
105,6,Sea,0.0,1.0,0.7578217500122264,-3.0,-8.0,2,1
105,6,Animal,0.0,1.0,1.4578304580645636,-1.0,,2,0
105,6,Pattern,0.0,1.0,2.453181582968682,-3.0,,2,0
105,6,Land,1.0,0.0,1.2086673750309274,-1.0,2.0,2,1
105,6,Large,0.0,1.0,1.1570180000271648,-3.0,-8.0,2,1
105,7,Pattern,1.0,1.0,2.415791915962473,1.0,-1.0,2,2
105,7,Animal,1.0,1.0,0.8172765000490472,1.0,-3.0,2,1
105,7,Object,1.0,0.0,1.5505095419939607,-3.0,2.0,2,1
105,7,Solid,1.0,0.0,3.5523174579720944,-3.0,,2,0
105,7,Small,1.0,1.0,1.8408980829408392,1.0,-1.0,2,2
105,7,Land,0.0,1.0,1.913525625015609,-1.0,-1.0,2,2
105,7,Large,0.0,1.0,4.233247790951282,-3.0,,2,0
105,7,Sea,1.0,0.0,0.6882112920284271,-1.0,,2,0
106,1,Animal,1.0,0.0,2.8335240409942344,-2.0,5.0,5,3
106,1,Solid,1.0,1.0,0.6281142910011113,1.0,8.0,5,3
106,1,Object,1.0,1.0,7.456064291996881,1.0,-1.0,5,2
106,1,Small,1.0,1.0,0.2255763750290498,5.0,7.0,5,2
106,1,Sea,0.0,1.0,0.4287027909886092,-6.0,-3.0,5,3
106,1,Large,0.0,1.0,0.2897909169550985,-6.0,-3.0,5,3
106,1,Pattern,0.0,1.0,0.1340597920352593,-2.0,-4.0,5,2
106,1,Land,1.0,1.0,2.01708808389958,5.0,7.0,5,2
106,2,Solid,1.0,1.0,3.706560832913965,6.0,6.0,6,3
106,2,Object,1.0,1.0,2.0237249169731513,12.0,13.0,6,3
106,2,Small,0.0,1.0,0.5183191660325974,-1.0,-1.0,6,3
106,2,Large,1.0,1.0,0.4517687499755993,11.0,12.0,6,3
106,2,Pattern,1.0,1.0,2.135697999969125,4.0,5.0,6,3
106,2,Sea,0.0,0.0,2.771725958096795,2.0,3.0,6,3
