measure,group_mean,group_se,n_subjects
choice_accuracy,0.6710963455149502,0.01733772902420939,43
item_recall_rate,0.770764119601329,0.023316943035908005,43
location_recall_rate,0.9839424141749723,0.005473451634869861,43
