subject,game,image,true_value,recalled_value
104,6,Animal_Sea_Pattern_Large,6.0,7.0
104,6,Animal_Sea_Solid_Large,1.0,3.0
104,6,Object_Land_Solid_Small,3.0,9.0
104,6,Object_Sea_Pattern_Large,-8.0,-9.0
104,6,Animal_Land_Solid_Small,-8.0,-3.0
104,7,Animal_Land_Solid_Small,9.0,9.0
104,7,Object_Sea_Solid_Large,9.0,9.0
104,7,Animal_Sea_Pattern_Large,9.0,9.0
104,7,Animal_Sea_Solid_Small,-9.0,-9.0
104,7,Object_Land_Pattern_Large,-2.0,-2.0
104,7,Object_Land_Pattern_Small,-4.0,3.0
105,1,Object_Land_Solid_Large,-4.0,1.0
105,1,Object_Sea_Solid_Small,8.0,3.0
105,1,Animal_Sea_Pattern_Large,-8.0,8.0
105,1,Animal_Land_Solid_Small,-8.0,-3.0
105,1,Animal_Sea_Pattern_Small,1.0,1.0
105,1,Object_Land_Pattern_Large,1.0,-1.0
105,2,Animal_Land_Solid_Large,-4.0,4.0
105,2,Object_Sea_Pattern_Small,-4.0,4.0
105,2,Object_Sea_Solid_Small,-2.0,-1.0
105,2,Animal_Sea_Solid_Small,8.0,3.0
105,2,Object_Land_Pattern_Large,4.0,8.0
105,2,Animal_Land_Pattern_Large,4.0,8.0
105,3,Animal_Land_Pattern_Small,-5.0,-5.0
105,3,Object_Land_Solid_Small,2.0,-2.0
105,3,Object_Sea_Solid_Large,-5.0,-2.0
105,3,Animal_Sea_Pattern_Large,2.0,5.0
105,3,Object_Land_Pattern_Small,2.0,3.0
105,3,Animal_Sea_Solid_Large,4.0,4.0
105,4,Object_Land_Pattern_Large,9.0,9.0
105,4,Object_Sea_Solid_Small,9.0,9.0
105,4,Animal_Land_Solid_Small,8.0,-4.0
105,4,Object_Land_Solid_Large,-9.0,-2.0
105,4,Animal_Sea_Pattern_Large,-1.0,9.0
105,4,Animal_Sea_Pattern_Small,-4.0,-1.0
105,5,Object_Land_Pattern_Large,-4.0,-8.0
105,5,Animal_Sea_Solid_Small,-5.0,5.0
105,5,Animal_Land_Pattern_Large,-3.0,-4.0
105,5,Object_Sea_Pattern_Small,9.0,4.0
105,5,Object_Sea_Solid_Small,-3.0,3.0
105,5,Animal_Land_Solid_Large,5.0,-5.0
105,6,Object_Land_Pattern_Small,1.0,-2.0
105,6,Animal_Sea_Solid_Large,3.0,3.0
105,6,Object_Land_Solid_Small,4.0,2.0
105,6,Animal_Land_Pattern_Small,-6.0,-5.0
105,6,Object_Sea_Solid_Large,-8.0,-8.0
105,6,Animal_Sea_Pattern_Large,2.0,-4.0
105,7,Animal_Land_Pattern_Small,-2.0,-3.0
105,7,Animal_Sea_Solid_Large,7.0,-4.0
105,7,Object_Land_Solid_Large,-6.0,1.0
105,7,Object_Land_Pattern_Small,7.0,2.0
105,7,Object_Sea_Pattern_Large,-4.0,3.0
105,7,Animal_Sea_Solid_Small,-4.0,2.0
106,1,Object_Sea_Solid_Large,1.0,1.0
106,1,Animal_Sea_Solid_Large,-9.0,-2.0
106,1,Object_Sea_Pattern_Large,2.0,-2.0
106,1,Object_Land_Pattern_Small,-2.0,1.0
106,1,Animal_Land_Pattern_Small,-2.0,-2.0
106,1,Animal_Land_Solid_Small,9.0,9.0
106,2,Object_Land_Pattern_Large,-1.0,-1.0
106,2,Object_Sea_Pattern_Large,8.0,9.0
106,2,Object_Land_Solid_Small,5.0,5.0
106,2,Animal_Sea_Solid_Small,-3.0,-3.0
106,2,Animal_Sea_Pattern_Small,-3.0,-3.0
106,2,Animal_Land_Solid_Large,4.0,4.0
106,3,Object_Sea_Pattern_Small,8.0,8.0
106,3,Animal_Land_Solid_Large,9.0,9.0
106,3,Object_Land_Pattern_Large,-5.0,-5.0
106,3,Animal_Land_Pattern_Small,-2.0,-3.0
106,3,Animal_Sea_Solid_Large,-9.0,-9.0
106,3,Object_Sea_Solid_Small,-8.0,-8.0
106,4,Animal_Sea_Solid_Large,1.0,1.0
106,4,Object_Land_Pattern_Small,-7.0,-3.0
106,4,Object_Sea_Solid_Large,1.0,
106,4,Animal_Land_Solid_Small,-9.0,-7.0
106,4,Animal_Land_Pattern_Small,9.0,-7.0
106,4,Object_Sea_Pattern_Large,-7.0,
106,5,Object_Land_Pattern_Small,3.0,3.0
106,5,Animal_Sea_Pattern_Large,3.0,3.0
106,5,Animal_Sea_Solid_Small,4.0,4.0
106,5,Object_Land_Solid_Large,3.0,3.0
106,5,Object_Sea_Solid_Small,-8.0,-8.0
106,5,Animal_Land_Pattern_Large,-4.0,-4.0
106,6,Object_Land_Pattern_Large,-1.0,-1.0
106,6,Object_Sea_Pattern_Small,9.0,9.0
106,6,Object_Sea_Solid_Small,-7.0,-7.0
106,6,Animal_Sea_Solid_Large,-1.0,-3.0
106,6,Animal_Land_Solid_Large,9.0,9.0
106,6,Animal_Land_Pattern_Small,-3.0,-3.0
106,7,Animal_Sea_Pattern_Small,1.0,-1.0
106,7,Animal_Sea_Solid_Small,-5.0,-3.0
106,7,Object_Land_Solid_Small,5.0,-5.0
106,7,Object_Land_Pattern_Large,-9.0,-9.0
106,7,Object_Sea_Pattern_Large,5.0,5.0
106,7,Animal_Land_Solid_Large,3.0,3.0
107,1,Animal_Land_Pattern_Large,6.0,-6.0
107,1,Object_Land_Pattern_Large,-3.0,-2.0
107,1,Animal_Sea_Solid_Small,1.0,4.0
107,1,Object_Sea_Solid_Small,4.0,6.0
107,1,Object_Land_Pattern_Small,-2.0,-2.0
107,1,Animal_Sea_Solid_Large,-6.0,6.0
107,2,Object_Land_Solid_Small,1.0,1.0
107,2,Animal_Land_Pattern_Large,-5.0,-5.0
107,2,Object_Land_Pattern_Small,1.0,1.0
107,2,Animal_Sea_Solid_Small,-5.0,4.0
107,2,Object_Sea_Solid_Large,-5.0,-5.0
107,2,Animal_Sea_Pattern_Large,5.0,5.0
107,3,Animal_Land_Pattern_Large,-4.0,-4.0
107,3,Animal_Land_Solid_Small,3.0,5.0
107,3,Object_Land_Pattern_Large,8.0,8.0
107,3,Object_Sea_Solid_Large,-1.0,-5.0
107,3,Object_Sea_Pattern_Small,-6.0,6.0
107,3,Animal_Sea_Solid_Small,5.0,-4.0
107,4,Animal_Land_Solid_Large,-4.0,-4.0
107,4,Object_Sea_Pattern_Large,-1.0,2.0
107,4,Animal_Sea_Pattern_Small,4.0,4.0
107,4,Animal_Land_Pattern_Small,-1.0,-1.0
107,4,Object_Land_Solid_Large,6.0,6.0
107,4,Object_Sea_Solid_Small,-4.0,6.0
107,5,Object_Land_Pattern_Small,8.0,2.0
107,5,Animal_Sea_Solid_Small,4.0,5.0
107,5,Object_Sea_Solid_Large,2.0,-2.0
107,5,Animal_Sea_Pattern_Large,-8.0,-6.0
107,5,Object_Land_Solid_Small,-9.0,1.0
107,5,Animal_Land_Pattern_Large,7.0,-4.0
107,6,Object_Land_Pattern_Small,1.0,1.0
107,6,Animal_Sea_Pattern_Small,-9.0,-9.0
107,6,Object_Land_Solid_Large,-5.0,6.0
107,6,Animal_Sea_Solid_Large,3.0,-5.0
107,6,Animal_Land_Solid_Small,1.0,-5.0
107,6,Object_Sea_Pattern_Large,1.0,2.0
107,7,Object_Land_Solid_Large,6.0,-6.0
107,7,Object_Sea_Solid_Small,-4.0,2.0
107,7,Object_Sea_Pattern_Large,-3.0,2.0
107,7,Animal_Sea_Pattern_Small,9.0,9.0
107,7,Animal_Land_Pattern_Small,-4.0,1.0
107,7,Animal_Land_Solid_Large,-4.0,-4.0
108,1,Animal_Sea_Solid_Large,2.0,2.0
108,1,Animal_Land_Pattern_Small,-7.0,-7.0
108,1,Animal_Sea_Pattern_Small,3.0,3.0
108,1,Object_Sea_Solid_Large,-2.0,-2.0
108,1,Object_Land_Solid_Large,-2.0,-2.0
108,1,Object_Land_Pattern_Small,5.0,5.0
108,2,Object_Land_Solid_Small,-9.0,-9.0
108,2,Animal_Sea_Solid_Small,1.0,1.0
108,2,Object_Land_Pattern_Large,9.0,9.0
108,2,Animal_Land_Solid_Small,1.0,1.0
108,2,Object_Sea_Pattern_Large,-7.0,-7.0
108,2,Animal_Sea_Pattern_Large,-8.0,-7.0
108,3,Animal_Land_Solid_Small,-6.0,-6.0
108,3,Object_Sea_Pattern_Large,-1.0,-1.0
108,3,Animal_Land_Pattern_Large,-6.0,-6.0
108,3,Object_Sea_Pattern_Small,9.0,9.0
108,3,Object_Sea_Solid_Small,-1.0,-1.0
108,3,Animal_Land_Solid_Large,8.0,8.0
108,4,Animal_Sea_Pattern_Small,1.0,1.0
108,4,Animal_Sea_Solid_Large,6.0,6.0
108,4,Object_Sea_Solid_Large,-8.0,-8.0
108,4,Object_Land_Solid_Large,4.0,4.0
108,4,Object_Land_Pattern_Small,1.0,1.0
108,4,Animal_Land_Pattern_Small,-6.0,-6.0
108,5,Animal_Land_Solid_Small,-1.0,-1.0
108,5,Object_Sea_Pattern_Large,2.0,2.0
108,5,Animal_Sea_Pattern_Large,-9.0,-9.0
108,5,Animal_Sea_Solid_Small,9.0,
108,5,Object_Land_Pattern_Large,6.0,6.0
108,5,Object_Land_Solid_Small,-6.0,-6.0
108,6,Object_Sea_Solid_Small,-1.0,-1.0
108,6,Animal_Land_Solid_Small,8.0,6.0
108,6,Object_Sea_Pattern_Large,7.0,8.0
108,6,Object_Sea_Pattern_Small,-3.0,-6.0
108,6,Animal_Land_Solid_Large,8.0,-8.0
108,6,Animal_Land_Pattern_Large,-8.0,6.0
108,7,Animal_Land_Pattern_Small,2.0,2.0
108,7,Animal_Sea_Pattern_Small,-7.0,-7.0
108,7,Object_Sea_Solid_Large,-1.0,-1.0
108,7,Animal_Sea_Solid_Large,7.0,7.0
108,7,Object_Land_Solid_Large,-2.0,-2.0
108,7,Object_Land_Pattern_Small,1.0,1.0
109,1,Object_Sea_Solid_Large,-1.0,-7.0
109,1,Animal_Land_Solid_Small,-5.0,-5.0
109,1,Object_Sea_Pattern_Large,-3.0,-5.0
109,1,Animal_Sea_Pattern_Small,5.0,5.0
109,1,Animal_Land_Pattern_Large,1.0,1.0
109,1,Object_Land_Solid_Small,3.0,3.0
109,2,Object_Sea_Pattern_Small,-2.0,-2.0
109,2,Object_Sea_Solid_Small,-1.0,-1.0
109,2,Object_Land_Solid_Large,6.0,-3.0
109,2,Animal_Land_Solid_Large,-9.0,-9.0
109,2,Animal_Land_Pattern_Small,6.0,6.0
109,2,Animal_Sea_Pattern_Large,9.0,9.0
109,3,Animal_Sea_Solid_Large,1.0,-6.0
109,3,Object_Sea_Solid_Small,-9.0,-3.0
109,3,Object_Land_Solid_Small,9.0,9.0
109,3,Animal_Sea_Pattern_Large,4.0,-6.0
109,3,Animal_Land_Pattern_Large,-9.0,-3.0
109,3,Object_Land_Pattern_Small,-7.0,1.0
