subject,log_rt,recalled_total_count,game
101,2.5126893510194166,6,1
101,2.6572187941348764,6,1
101,1.9834615666892963,6,1
101,3.1379905919530087,6,1
101,2.102767779131564,6,1
101,1.6587521773233296,6,1
101,0.5939814193610308,6,1
101,0.8336884930700914,6,1
101,2.9830029926830615,6,2
101,2.3801929040979886,6,2
101,3.0640009753967643,6,2
101,2.4529621187138435,6,2
101,2.1622436070901525,6,2
101,1.8902661635273506,6,2
101,2.025607742282392,6,2
101,1.5403514383401438,6,2
101,3.502776144236755,6,3
101,3.0127977821319556,6,3
101,1.9983641713220903,6,3
101,1.7958573391366013,6,3
101,0.7850479563020322,6,3
101,0.05107188383841424,6,3
101,2.352085584155342,6,3
101,1.0852027253327576,6,3
101,2.713770345964086,6,4
101,2.5797767959003597,6,4
101,1.9103102039033544,6,4
101,2.4614495525977174,6,4
101,2.7549536474262952,6,4
101,2.0874441797340357,6,4
101,1.8236819066303829,6,4
101,1.53202059214542,6,4
101,2.94637754193554,6,5
101,2.1750334147602604,6,5
101,2.4847315823749785,6,5
101,1.9722250743950782,6,5
101,2.2709643435579565,6,5
101,2.237893080078904,6,5
101,2.7742989751074685,6,5
101,2.155085198314186,6,5
101,3.550218294562406,6,6
101,2.2288491067373153,6,6
101,2.2121449810055567,6,6
101,2.7569860504078307,6,6
101,3.0915438067930054,6,6
101,1.9021132726511212,6,6
101,2.0056903303927687,6,6
101,1.6318264824957611,6,6
101,2.514922501049765,6,7
101,2.372616418931896,6,7
101,2.2407509517141047,6,7
101,1.8375704712063416,6,7
101,1.8565533157434573,6,7
101,1.9590363309800225,6,7
101,2.118002973010369,6,7
101,0.8989933575572036,6,7
103,2.6435283879507305,6,1
103,3.212184487720659,6,1
103,2.4887784675411866,6,1
103,2.3616803615669055,6,1
103,2.3158345137741607,6,1
103,1.617473044113015,6,1
103,2.130615009349784,6,1
103,1.82030592670073,6,1
103,2.727886719393675,4,2
103,2.3080491130131473,4,2
103,3.096503239584691,4,2
103,2.374347102374452,4,2
103,2.9761553100087186,4,2
103,1.7310358177584029,4,2
103,2.3394601928287337,4,2
103,2.7643199240135146,4,2
103,2.1786540831482304,5,3
103,3.389746397851994,5,3
103,2.351105847828743,5,3
103,2.224031673690277,5,3
103,0.9684374154699936,5,3
103,1.4461752946860675,5,3
103,2.686065067161194,5,3
103,3.06402451019564,5,3
103,2.7483103952177284,5,4
103,2.645168301035186,5,4
103,2.4412153517809734,5,4
103,2.69537922899737,5,4
103,3.2016658983453476,5,4
103,2.0078414350746994,5,4
103,1.9389369822374865,5,4
103,2.9283617349473277,5,4
103,3.6235315288297363,5,5
103,2.820804200001196,5,5
103,2.93467906721967,5,5
103,3.22679296972255,5,5
103,2.8028500916414014,5,5
103,2.178385169323181,5,5
103,1.4805933669151896,5,5
103,2.1825783288824945,5,5
103,4.20922859116415,5,6
103,2.8678338076000442,5,6
103,2.841026306983452,5,6
103,3.3573443354690373,5,6
103,2.8369167793359167,5,6
103,2.7155066740522917,5,6
103,2.287469970418335,5,6
103,2.6262511496965972,5,6
103,1.5186080452591328,6,7
103,1.9625629620624947,6,7
103,2.3542169300628206,6,7
103,2.3526729782806877,6,7
103,2.19224686181583,6,7
103,1.288840147011503,6,7
103,2.857767673512359,6,7
103,1.8238420460276787,6,7
104,0.984971677045522,4,1
104,0.1264549549105965,4,1
104,0.5520754065746694,4,1
104,-0.07299358661284874,4,1
104,0.9625527028644281,4,1
104,0.8266080629222782,4,1
104,-0.25107588580092954,4,1
104,0.22162055937520253,4,1
104,2.4303121851606546,5,2
104,1.2094617499617017,5,2
104,-0.16937058383494297,5,2
104,2.0519202019352063,5,2
104,1.3966528284607784,5,2
104,0.172245968071044,5,2
104,0.5071758466183305,5,2
104,1.3243974146098163,5,2
104,1.324529157444516,3,3
104,-0.15517269464775815,3,3
104,0.3754600071727885,3,3
104,1.4077378698538001,3,3
104,1.6999388037641485,3,3
104,0.25773220687499876,3,3
104,1.5720240013066842,3,3
104,0.923095956896728,3,3
104,0.26630766523910004,5,4
104,-0.6513156957858158,5,4
104,-0.8420243876200579,5,4
104,1.570989401055302,5,4
104,-0.9140599943381945,5,4
104,-0.3448107215556516,5,4
104,-0.17106860936891571,5,4
104,-0.1271960746618714,5,4
104,0.05291754813820486,5,5
104,2.2383984699339754,5,5
