subject,choice_bin,recalled_offer_value,game,rt,recalled_total_count,recalled_offer_count
104,1,-3.0,2,0.8441960000200197,5,2
104,0,-1.0,2,7.782831375021488,5,2
104,1,0.0,2,4.0416492079384625,5,2
104,1,4.0,2,1.187969999969937,5,3
104,1,6.0,2,1.6605947919888422,5,3
104,1,7.0,2,3.759918999974616,5,3
104,1,7.0,3,3.7604143749922514,3,1
104,1,5.0,3,1.4556608750717714,3,2
104,0,-3.0,3,4.086700291954912,3,1
104,0,-3.0,3,5.473612417001277,3,1
104,1,2.0,3,1.2939922499936074,3,3
104,1,5.0,3,4.816386708058417,3,2
104,0,-5.0,3,2.5170710829552263,3,2
104,1,5.0,4,1.3051365420687944,5,3
104,1,5.0,4,0.5213593749795109,5,2
104,1,3.0,4,0.430837457999587,5,3
104,1,5.0,4,4.811406249995343,5,2
104,1,5.0,4,0.4008932909928262,5,2
104,0,5.0,4,0.7083544170018286,5,3
104,1,5.0,4,0.8427637499989942,5,3
104,1,7.0,4,0.8805609999690205,5,2
104,1,-16.0,5,1.0543427090160549,5,2
104,1,-10.0,5,9.378299625008369,5,2
104,0,-8.0,5,0.7599747499916703,5,3
104,1,-6.0,5,1.4652923750691116,5,3
104,0,-12.0,5,1.0646406250307336,5,2
104,0,-14.0,5,3.4867622080491856,5,2
104,1,-4.0,5,2.8579910829430446,5,3
104,0,-10.0,5,1.2372581659583377,5,3
104,0,3.0,6,2.7241994170472026,4,1
104,1,3.0,6,6.599914000020362,4,1
104,1,-6.0,6,3.878611791995354,4,2
104,1,1.0,6,4.069019917049445,4,3
104,1,10.0,6,1.727344833081588,4,2
104,1,1.0,6,1.924536957987584,4,3
104,1,1.0,6,0.6081641250057146,4,3
104,0,3.0,6,11.465849000029266,4,1
104,1,10.0,7,9.729151666979304,6,3
104,1,3.0,7,2.8362104169791564,6,3
104,1,16.0,7,1.511956917005591,6,3
104,1,9.0,7,11.2331016670214,6,3
104,1,9.0,7,6.256807332974859,6,3
104,1,9.0,7,6.391611875034869,6,3
104,1,10.0,7,5.509306167019531,6,3
104,1,10.0,7,9.435082374955527,6,3
105,1,7.0,1,6.351288583944552,3,2
105,0,-1.0,1,3.798770499997772,3,1
105,1,9.0,1,1.113639457966201,3,2
105,0,-1.0,1,4.153576708049513,3,1
105,1,8.0,1,2.819347291951999,3,3
105,0,9.0,1,2.3712131249485537,3,2
105,1,1.0,1,3.0312586670042947,3,1
105,1,20.0,2,4.049898999975994,3,3
