elpd_mem,elpd_true,elpd_diff
-1.0891237835515737,-0.5564090241755641,-0.5327147593760095
-0.2093631249641863,-0.5645600720757855,0.3551969471115992
-0.0929074764133766,-0.09697343222977395,0.004065955816397349
-0.5268038186986317,-0.4442053714768166,-0.08259844722181509
-1.0992667681838437,-0.5515250451452225,-0.5477417230386212
-0.5157185198688241,-0.4756858687746597,-0.04003265109416443
-0.11057469599389158,-0.4756858687746597,0.3651111727807681
-0.18976449082167335,-0.16752645654656106,-0.022238034275112284
-0.1076826488274385,-0.07875804798216457,-0.02892460084527393
-0.9089959852738128,-1.0781408040640539,0.16914481879024112
-2.5378438937294643,-3.1868879816927347,0.6490440879632704
-0.1095124469778117,-0.08041981946985821,-0.029092627507953495
-0.015463313439244786,-0.008537308471559868,-0.006926004967684918
-0.13793616935830322,-0.060243734262622084,-0.07769243509568113
-0.0047718817408810565,-0.0012183495374298303,-0.0035535322034512262
-0.28159394159608553,-0.22173348006377225,-0.05986046153231328
-0.41808192915436315,-0.34596059456549355,-0.0721213345888696
-0.20604115115963317,-0.17497103088859056,-0.03107012027104261
-0.4648112099340249,-0.39046251989811953,-0.07434869003590538
-0.41808192915436315,-0.34596059456549355,-0.0721213345888696
-0.08609451739760665,-0.044173763137425937,-0.041920754260180715
-0.24494064441181784,-0.13581781981978835,-0.10912282459202949
-0.4051380289090343,-0.34596059456549355,-0.059177434343540725
-0.2100157373073248,-0.17497103088859056,-0.03504470641873425
-0.5116079144030259,-0.8407432802749497,0.3291353658719238
-0.83839162103392,-0.9046192108305959,0.06622758979667598
-0.12477618630975229,-0.15242353311173318,0.027647346801980888
-0.40374324369271086,-0.2925435089542141,-0.11119973473849676
-0.5584018258345713,-0.5186830116872931,-0.03971881414727818
-0.3070915411020563,-0.4756858687746597,0.1685943276726034
-0.21988126213407178,-0.1529409286714003,-0.06694033346267148
-0.15339502243846326,-0.16938134384688475,0.01598632140842149
-0.5275950661707363,-0.4573301476254823,-0.07026491854525396
-0.5257583894276019,-0.4207074650664575,-0.10505092436114438
-0.525306632408066,-0.4683230937740852,-0.05698353863398076
-0.8987260330984466,-0.8697891747015483,-0.028936858396898302
-0.35181088801148963,-0.22492079777214258,-0.12689009023934705
-0.5753983257101032,-0.6108373106044125,0.0354389848943093
-0.33076969207382945,-0.2891737301984083,-0.04159596187542114
-0.31054866236295986,-0.22492079777214258,-0.08562786459081728
-0.525306632408066,-0.47775413855260673,-0.04755249385545923
-0.3070915411020563,-0.4683230937740852,0.16123155267202893
-0.5227091980656624,-0.6108373106044125,0.08812811253875008
-0.3226018880807926,-0.4756858687746597,0.15308398069386708
-1.3276787546181579,-1.0594510492731182,-0.2682277053450397
-0.5268038186986317,-0.8407432802749497,0.313939461576318
-0.8515819869355052,-0.8584964796109853,0.006914492675480055
-0.83839162103392,-0.8689731164191841,0.030581495385264112
-0.16353343098698936,-0.09034076953416204,-0.07319266145282732
-0.3328330768671677,-0.34379760485547983,0.010964527988312156
-0.36659452985704455,-0.40225062356569197,0.03565609370864742
-0.11764319345009788,-0.04217728556436917,-0.07546590788572871
-0.12812905594687507,-0.10867180984915947,-0.019457246097715597
-0.4513941238617383,-0.6108373106044125,0.15944318674267421
-0.36659452985704455,-0.2738380848314854,-0.09275644502555913
-0.14113002878217884,-0.152578785143632,0.01144875636145315
-0.9737297105368157,-0.6287339448718274,-0.34499576566498824
-0.1678579236793798,-0.2452884211551538,0.07743049747577402
-1.316869972370422,-1.6376953248923325,0.32082535252191047
-0.9576077351353227,-0.8468363481541799,-0.11077138698114286
-0.6034532768465706,-0.6470107559682008,0.043557479121630216
-0.956685800370658,-0.9544201348774299,-0.0022656654932280418
-0.15552248861750329,-0.28940138488985134,0.13387889627234806
-0.12779982378013166,-0.21288049643786522,0.08508067265773356
-1.6865104054161932,-0.452452119971948,-1.2340582854442452
-0.1679160277983378,-0.3149569046830738,0.147040876884736
-1.0915535342392175,-0.8865536342997995,-0.20499989993941803
-0.40901325843419745,-0.48619048990416314,0.07717723146996569
-0.5155312696437644,-1.1070855342176538,0.5915542645738894
-0.40344546334097764,-0.22095063968830075,-0.18249482365267689
-0.6431101721492025,-0.17006396903665255,-0.47304620311254997
-1.1767862467074712,-1.6435982312941935,0.46681198458672224
-0.38960909283000156,-0.26717837782992504,-0.12243071500007652
-0.18963514166398454,-0.2905075484171036,0.10087240675311904
-1.4378613327199607,-1.6376953248923325,0.19983399217237174
-0.09309019050300904,-0.1190502623653682,0.025960071862359158
-0.54631322737532,-0.5927438780529792,0.04643065067765928
-0.17901708351133827,-0.20193368857845861,0.022916605067120344
-0.3119375427357376,-0.28940138488985134,-0.02253615784588625
-0.2395545184142538,-0.24040459818335513,8.500797691013418e-4
-1.1676571407808831,-0.9646652149444366,-0.20299192583644654
-0.24602188781616618,-0.8509560861838477,0.6049341983676815
-1.3325785354864257,-0.395545523233924,-0.9370330122525017
-0.36910215940919855,-1.1647411036740856,0.795638944264887
-1.3325785354864257,-0.395545523233924,-0.9370330122525017
-0.5744140567747165,-0.6470107559682008,0.07259669919348433
-0.40901325843419745,-0.4798289699259346,0.07081571149173715
-1.1489535685105867,-0.9646652149444366,-0.18428835356615014
-0.823988246286457,-1.1070855342176538,0.2830972879311968
-0.5052796498848764,-0.36390971580530795,-0.14136993407956844
-0.6767102814097452,-0.8679603796920512,0.191250098282306
-1.0873984388083402,-0.4798289699259346,-0.6075694688824056
-0.8377509021155936,-1.0026977575017675,0.16494685538617393
-0.4900728701726882,-0.38296049648941555,-0.10711237368327264
-0.34643241918956136,-0.8826463394643733,0.536213920274812
-0.7875771157887863,-1.010784192678793,0.22320707689000674
-0.6556443075714977,-0.4370252754799715,-0.21861903209152622
-0.4900728701726882,-0.48877829827235963,-0.001294571900328556
-0.3407635734255141,-0.565008170256033,0.2242445968305189
-0.38517427800486725,-0.542289485001322,0.15711520699645476
-0.7766103913481839,-0.5322422330780849,-0.24436815827009895
-0.6275332389107948,-0.5475486511345489,-0.07998458777624595
-0.9737297105368157,-1.010784192678793,0.037054482141977374
-0.4461247806667785,-0.569592049495407,0.12346726882862846
-0.5652483096618353,-0.6516406424575161,0.08639233279568082
-0.2282486117821616,-0.659797006129371,0.4315483943472094
-0.37458034853921074,-0.8972142526040479,0.5226339040648371
-0.6034532768465706,-0.659797006129371,0.0563437292828004
-0.35750995279118936,-0.9503008194848785,0.5927908666936892
-0.20739777662015868,-0.6516406424575161,0.4442428658373574
-0.48477454340546533,-0.5599620619409817,0.07518751853551642
-0.49228308753124317,-0.5599620619409817,0.06767897440973858
-1.4043540907342766,-1.114848881889909,-0.2895052088443677
-0.30982382565343247,-0.4927217476403669,0.18289792198693444
-0.6647117127688027,-0.14914145166355475,-0.515570261105248
-0.29502707958532604,-1.3548399275965135,1.0598128480111875
-0.1767765839414821,-0.45025642956511547,0.27347984562363337
-0.13028844602792233,-0.19319094584275653,0.0629024998148342
-0.24025148273073782,-1.1470814844185169,0.906830001687779
-0.8151641789327515,-0.42469313470279957,-0.39047104422995194
-1.1024338087402947,-1.157207926178577,0.05477411743828231
-0.16261999877912103,-0.19665407532684398,0.03403407654772295
-0.8384423063937145,-0.6580011293320105,-0.18044117706170404
-0.7651412663530852,-0.7119031377278304,-0.05323812862525479
-0.5564486604895,-0.4221379972693837,-0.1343106632201163
-0.3324984865091487,-0.3054924645161119,-0.02700602199303681
-0.2658355151276659,-0.2670449499866496,0.0012094348589837267
-0.2180764703871212,-0.20611704754513305,-0.011959422841988143
-0.16995875066221622,-0.39744461331196757,0.22748586264975135
-0.2959546507370634,-0.7233203854009735,0.42736573466391015
-0.566309299897295,-0.6584820656804409,0.09217276578314593
-0.5856052640779161,-0.653803954891778,0.06819869081386187
-0.4300817487576927,-0.4927217476403669,0.06263999888267424
-0.29502707958532604,-0.7390363109763891,0.4440092313910631
-0.35566344502512326,-0.4373841047994915,0.081720659774368265
-0.30474447179605324,-0.3669070266718686,0.062162554875815346
-0.264216056848694,-0.3788225497277633,0.11460649287906932
-0.3831765320517482,-0.3669070266718686,-0.01626950537987959
-0.29502707958532604,-0.3774064798340824,0.08237940024875634
-0.29502707958532604,-0.4538863111656495,0.15885923158032345
-1.5437909243877241,-1.3887705657181737,-0.15502035866955044
-0.29502707958532604,-0.3171786633080629,0.022151583722736845
-0.18364691091878527,-0.4241890574718301,0.24054214655304484
-2.8829971124605045,-1.4423475461246849,-1.4406495663358196
-1.7874879480983408,-0.7930668147036828,-0.994421133394658
