bin_center,mean_distance,sem_distance,n_samples,chance_level,chance_ci_95
-2975.0,88.72314653137464,1.8856319871040528,797,90,6.849960520709254
-2925.0,86.96189190154676,1.9156478429927974,797,90,6.849960520709254
-2875.0,83.37011286355175,1.975253122921315,755,90,6.849960520709254
-2825.0,73.68451032540419,1.8836098521061686,799,90,6.849960520709254
-2775.0,76.65278974930737,1.837915749555307,846,90,6.849960520709254
-2725.0,77.39375101617048,1.8330322493764208,895,90,6.849960520709254
-2675.0,80.38466719499455,1.8617857886227,959,90,6.849960520709254
-2625.0,89.57378629575847,1.736497044036711,968,90,6.849960520709254
-2575.0,92.49063185562048,1.7781291588491899,1000,90,6.849960520709254
-2525.0,90.27352274169108,1.8084015005965528,967,90,6.849960520709254
-2475.0,81.80432971299537,1.8011791067644076,966,90,6.849960520709254
-2425.0,80.80427870730016,1.71136153460364,1012,90,6.849960520709254
-2375.0,85.16777208869857,1.7319891782317158,957,90,6.849960520709254
-2325.0,88.18005853795951,1.5807866937581698,1008,90,6.849960520709254
-2275.0,88.6865375988256,1.5235559233265559,1050,90,6.849960520709254
-2225.0,92.24657227178844,1.412103961948498,1090,90,6.849960520709254
-2175.0,95.16084287896022,1.5460436241662772,1000,90,6.849960520709254
-2125.0,93.83610104735175,1.6154895201481734,904,90,6.849960520709254
-2075.0,91.48840947452199,1.7106648981438042,792,90,6.849960520709254
-2025.0,94.45233223924139,1.6121399820084816,810,90,6.849960520709254
-1975.0,87.84544881504718,1.5105612678780609,850,90,6.849960520709254
-1925.0,81.25237812837514,1.6463986442476377,811,90,6.849960520709254
-1875.0,83.3959328725361,1.688123385725548,800,90,6.849960520709254
-1825.0,82.31275269748087,1.7494368158815066,785,90,6.849960520709254
-1775.0,82.7384606271806,1.718989627007241,778,90,6.849960520709254
-1725.0,82.78072060829348,1.8384300423132962,749,90,6.849960520709254
-1675.0,92.25070230877127,2.123767922992821,685,90,6.849960520709254
-1625.0,102.95626498257103,1.9345899969376654,701,90,6.849960520709254
-1575.0,96.59292171119192,1.9171539227129395,700,90,6.849960520709254
-1525.0,97.20280863802556,1.983054529515993,761,90,6.849960520709254
-1475.0,94.44100001364275,1.7418887590189072,934,90,6.849960520709254
-1425.0,90.17348261480124,1.6586020028819022,914,90,6.849960520709254
-1375.0,84.46810871005059,1.695903038451011,931,90,6.849960520709254
-1325.0,88.76777942288962,1.6667403065846194,956,90,6.849960520709254
-1275.0,88.57899375130816,1.6608010124287944,986,90,6.849960520709254
-1225.0,86.76189197624379,1.5995558138987287,1036,90,6.849960520709254
-1175.0,86.59809106894117,1.5228985250103455,1041,90,6.849960520709254
-1125.0,81.79793175284087,1.5208196622471788,1000,90,6.849960520709254
-1075.0,79.0833586482938,1.6077515365258284,904,90,6.849960520709254
-1025.0,82.65512245920821,1.793764634202849,834,90,6.849960520709254
-975.0,84.30742679913307,1.820877567538341,759,90,6.849960520709254
-925.0,81.20675517793575,1.8188859398514687,772,90,6.849960520709254
-875.0,92.4969427292628,1.6380689845449647,948,90,6.849960520709254
-825.0,94.12287907861749,1.569463516484086,924,90,6.849960520709254
-775.0,84.2668467610501,1.5234903076235515,940,90,6.849960520709254
-725.0,78.69692557180635,1.5274999931218074,950,90,6.849960520709254
-675.0,82.10865554483561,1.4997333930021595,963,90,6.849960520709254
-625.0,84.92819551656034,1.4575280033384272,1007,90,6.849960520709254
-575.0,84.54700966274066,1.5348864434557135,1050,90,6.849960520709254
-525.0,81.67316873453831,1.6455529158725226,1017,90,6.849960520709254
-475.0,76.86583443289939,1.611333541069083,957,90,6.849960520709254
-425.0,74.2760311360074,1.6062711209352274,921,90,6.849960520709254
-375.0,75.41550621633132,1.7931981968373072,876,90,6.849960520709254
-325.0,65.6195811687515,1.6098952899866927,800,90,6.849960520709254
-275.0,63.35501043315661,1.6123481735132366,824,90,6.849960520709254
-225.0,68.04627421658121,1.4761045804496253,960,90,6.849960520709254
-175.0,60.46228812918306,1.3819398161237266,987,90,6.849960520709254
-125.0,51.42054722237935,1.2577511939024573,1036,90,6.849960520709254
-75.0,44.112384968623346,1.016401993046329,979,90,6.849960520709254
-25.0,48.540674702331856,1.1685732474774875,938,90,6.849960520709254
25.0,60.242464211881206,1.2166463977303832,1105,90,6.849960520709254
75.0,62.00511652681396,1.355675416919095,1114,90,6.849960520709254
125.0,71.68874949417284,1.578580744160208,949,90,6.849960520709254
175.0,80.6712852009906,1.7542312918057896,901,90,6.849960520709254
225.0,87.40936110566693,1.958938566449374,701,90,6.849960520709254
275.0,70.97217282853909,1.5962101458499098,602,90,6.849960520709254
325.0,74.61903859820103,1.884666251975782,635,90,6.849960520709254
375.0,71.15647078014172,1.9650256395971886,681,90,6.849960520709254
425.0,70.22829874028768,1.748930565630909,643,90,6.849960520709254
475.0,61.16154875170155,1.2496875526958868,752,90,6.849960520709254
525.0,64.83076990215726,1.4976015228129638,795,90,6.849960520709254
575.0,72.22613965559574,1.6328195666221195,877,90,6.849960520709254
625.0,75.72244357021613,1.7782262576096894,845,90,6.849960520709254
675.0,80.53994131007752,1.7703257780202788,800,90,6.849960520709254
725.0,82.56834101476072,1.9587503407671671,751,90,6.849960520709254
