phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
encoding,fixation,14.90624787507113,15.916600208031014,1,1,Object_Land_Pattern_Small,9,,,,,,,,,,,
encoding,image,15.916725750081241,16.9367173750652,1,1,Object_Land_Pattern_Small,9,,,,,,,,,,,
encoding,value,16.936822333023883,22.953815833083354,1,1,Object_Land_Pattern_Small,9,,,,,,,,,,,
encoding,attention,22.953932958072983,25.974952000076883,1,1,Object_Land_Pattern_Small,9,+9,1,0.8973556250566617,,,,,,,,
encoding,fixation,25.975105292047374,27.230474875075743,2,1,Animal_Sea_Pattern_Small,-6,,,,,,,,,,,
encoding,image,27.230638707987964,28.24232016701717,2,1,Animal_Sea_Pattern_Small,-6,,,,,,,,,,,
encoding,value,28.242421042057686,34.253648333018646,2,1,Animal_Sea_Pattern_Small,-6,,,,,,,,,,,
encoding,attention,34.25377504201606,37.27469433308579,2,1,Animal_Sea_Pattern_Small,-6,-6,1,0.6460412080632523,,,,,,,,
encoding,fixation,37.27483716700226,38.53011620801408,3,1,Object_Sea_Solid_Large,2,,,,,,,,,,,
encoding,image,38.5302806670079,39.54185879207216,3,1,Object_Sea_Solid_Large,2,,,,,,,,,,,
encoding,value,39.54199754202273,45.553920042002574,3,1,Object_Sea_Solid_Large,2,,,,,,,,,,,
encoding,attention,45.55404258298222,48.57510845805518,3,1,Object_Sea_Solid_Large,2,+2,1,1.2074923750478774,,,,,,,,
encoding,fixation,48.575251792091876,49.08021604199894,4,1,Object_Land_Pattern_Large,-2,,,,,,,,,,,
encoding,image,49.080323000089265,50.09237529209349,4,1,Object_Land_Pattern_Large,-2,,,,,,,,,,,
encoding,value,50.092484833090566,56.104922124999575,4,1,Object_Land_Pattern_Large,-2,,,,,,,,,,,
encoding,attention,56.10504375002347,59.12464416702278,4,1,Object_Land_Pattern_Large,-2,-2,1,0.6327755420934409,,,,,,,,
encoding,fixation,59.12479495804291,60.13132329203654,5,1,Animal_Land_Solid_Small,-9,,,,,,,,,,,
encoding,image,60.13144095800817,61.143810583045706,5,1,Animal_Land_Solid_Small,-9,,,,,,,,,,,
encoding,value,61.14392091706395,67.15448554197792,5,1,Animal_Land_Solid_Small,-9,,,,,,,,,,,
encoding,attention,67.15460300003178,70.23511604208034,5,1,Animal_Land_Solid_Small,-9,-9,1,0.6123150000348687,,,,,,,,
encoding,fixation,70.23527062498033,71.49109350005165,6,1,Animal_Sea_Solid_Large,2,,,,,,,,,,,
encoding,image,71.49119783309288,72.50485100003425,6,1,Animal_Sea_Solid_Large,2,,,,,,,,,,,
encoding,value,72.50494162505493,78.5206141670933,6,1,Animal_Sea_Solid_Large,2,,,,,,,,,,,
encoding,attention,78.52072120807134,81.53845154203009,6,1,Animal_Sea_Solid_Large,2,+2,1,0.8212403749348596,,,,,,,,
n-back,,,,1,1,,,,1,None,Z,False,None,,,,,
n-back,,,,2,1,,,,0,None,N,True,None,,,,,
n-back,,,,3,1,,,,1,None,B,False,None,,,,,
n-back,,,,4,1,,,,1,None,V,False,None,,,,,
n-back,,,,5,1,,,,1,None,X,False,None,,,,,
n-back,,,,6,1,,,,1,None,Z,False,None,,,,,
n-back,,,,7,1,,,,1,None,B,False,None,,,,,
n-back,,,,8,1,,,,1,None,N,False,None,,,,,
n-back,,,,9,1,,,,1,0.6116993330651894,B,True,1,,,,,
n-back,,,,10,1,,,,1,None,Z,False,None,,,,,
n-back,,,,11,1,,,,0,None,B,True,None,,,,,
n-back,,,,12,1,,,,1,None,B,False,None,,,,,
n-back,,,,13,1,,,,1,None,Z,False,None,,,,,
n-back,,,,14,1,,,,1,None,C,False,None,,,,,
n-back,,,,15,1,,,,0,None,Z,True,None,,,,,
n-back,,,,16,1,,,,1,None,V,False,None,,,,,
n-back,,,,17,1,,,,1,None,B,False,None,,,,,
n-back,,,,18,1,,,,0,None,V,True,None,,,,,
n-back,,,,19,1,,,,0,None,B,True,None,,,,,
n-back,,,,20,1,,,,0,None,V,True,None,,,,,
n-back,,,,21,1,,,,1,None,Z,False,None,,,,,
n-back,,,,22,1,,,,1,None,Z,False,None,,,,,
n-back,,,,23,1,,,,1,1.078913916950114,Z,True,1,,,,,
n-back,,,,24,1,,,,1,None,X,False,None,,,,,
n-back,,,,25,1,,,,0,None,Z,True,None,,,,,
n-back,,,,26,1,,,,1,None,N,False,None,,,,,
n-back,,,,27,1,,,,1,None,B,False,None,,,,,
n-back,,,,28,1,,,,1,None,Z,False,None,,,,,
n-back,,,,29,1,,,,1,0.9277490420499817,B,True,1,,,,,
n-back,,,,30,1,,,,1,None,V,False,None,,,,,
choice,fixation,175.53852870804258,176.79473241697997,1,1,,,,,,,,,Large,,,,
choice,option,176.80390104209073,177.93704829202034,1,1,,,,,,,,,Large,,,,
choice,choice,177.93718133307993,196.01014037500136,1,1,,,1,1,17.061374499928206,,,,Large,,,,
choice,fixation,196.0102710829815,197.51557370799128,2,1,,,,,,,,,Solid,,,,
choice,option,197.52507766708732,198.55403154203668,2,1,,,,,,,,,Solid,,,,
choice,choice,198.55415312503465,211.16207150008995,2,1,,,2,1,11.59739508293569,,,,Solid,,,,
choice,fixation,211.1622058750363,211.66729691706132,3,1,,,,,,,,,Land,,,,
choice,option,211.67670499999076,212.70336304209195,3,1,,,,,,,,,Land,,,,
choice,choice,212.70348179200664,219.5118474169867,3,1,,,2,1,5.798858999973163,,,,Land,,,,
choice,fixation,219.51197029207833,220.51689895801246,4,1,,,,,,,,,Sea,,,,
choice,option,220.52551762503572,221.55411383300088,4,1,,,,,,,,,Sea,,,,
choice,choice,221.55424233304802,231.82618320803158,4,1,,,1,0,9.262546250014566,,,,Sea,,,,
choice,fixation,231.82630645798054,233.08183908299543,5,1,,,,,,,,,Animal,,,,
choice,option,233.09151391708292,234.11956983304117,5,1,,,,,,,,,Animal,,,,
choice,choice,234.1196746249916,245.34430558304302,5,1,,,1,0,10.21451983298175,,,,Animal,,,,
choice,fixation,245.34451262501534,246.59955554199405,6,1,,,,,,,,,Pattern,,,,
choice,option,246.60923445806839,247.63682608306408,6,1,,,,,,,,,Pattern,,,,
choice,choice,247.63694887503516,261.2117937920848,6,1,,,2,0,12.563829999999143,,,,Pattern,,,,
choice,fixation,261.21193062502425,262.71729208307806,7,1,,,,,,,,,Object,,,,
choice,option,262.7270717920037,263.75432016700506,7,1,,,,,,,,,Object,,,,
choice,choice,263.754437042051,274.56551033305004,7,1,,,1,1,9.80157733289525,,,,Object,,,,
choice,fixation,274.5656557499897,275.5707780000521,8,1,,,,,,,,,Small,,,,
choice,option,275.57966158306226,276.60606625000946,8,1,,,,,,,,,Small,,,,
choice,choice,276.6061851250706,281.7413330420386,8,1,,,1,0,4.125786749995314,,,,Small,,,,
memory,free_recall,333.0038082919782,374.00206495798193,0,1,,,,,,,,,,,,,
