game,original_item,item,onset,offset
1,MINUS,MINUS,7.4,8.3
1,2,2,8.3,8.5
1,PLUS,PLUS,18.4,18.9
1,2,2,18.9,19.8
1,MINUS,MINUS,29.4,30.0
1,6,6,30.0,30.2
1,PLUS,PLUS,38.1,38.6
1,9,9,42.4,42.9
1,MINUS,MINUS,49.0,49.3
1,6,6,49.3,50.0
1,MINUS,MINUS,61.7,63.3
1,9,9,61.7,63.3
2,MINUS,MINUS,2.6,4.6
2,2,2,2.6,4.6
2,PLUS,PLUS,17.2,17.8
2,6,6,17.8,18.2
2,PLUS,PLUS,27.2,27.5
2,7,7,27.5,28.1
2,MINUS,MINUS,32.9,33.6
2,6,6,35.5,35.9
2,PLUS,PLUS,50.2,50.4
2,6,6,50.4,50.6
2,MINUS,MINUS,60.4,61.6
2,9,9,60.4,61.6
3,NEGATIVE,NEGATIVE,10.9,11.4
3,5,5,11.4,11.7
3,POSITIVE,POSITIVE,25.1,25.4
3,2,2,25.9,26.2
3,NEGATIVE,NEGATIVE,39.2,39.5
3,6,6,39.5,40.0
3,NEGATIVE,NEGATIVE,4.2,4.7
3,6,6,4.7,4.9
3,NEGATIVE,NEGATIVE,10.9,11.6
3,2,2,11.6,12.0
3,POSITIVE,POSITIVE,26.8,27.4
3,5,5,27.4,27.8
4,PLUS,PLUS,3.5,4.1
4,5,5,4.1,4.3
4,MINUS,MINUS,14.8,15.2
4,7,7,15.2,15.4
4,PLUS,PLUS,18.7,19.0
4,7,7,19.0,19.2
4,PLUS,PLUS,23.2,23.6
4,2,2,23.6,24.2
4,MINUS,MINUS,29.0,29.6
4,2,2,29.0,29.6
4,PLUS,PLUS,33.8,34.1
4,6,6,35.9,36.2
5,MINUS,MINUS,3.8,4.4
5,7,7,4.4,4.8
5,PLUS,PLUS,9.5,9.7
5,7,7,9.7,11.2
5,PLUS,PLUS,17.1,17.7
5,2,2,17.7,18.0
5,PLUS,PLUS,23.1,23.4
5,8,8,23.4,23.5
5,MINUS,MINUS,27.6,28.1
5,5,5,28.1,28.4
5,PLUS,PLUS,31.9,32.9
5,8,8,32.9,33.2
6,MINUS,MINUS,2.5,4.0
6,2,2,4.0,4.4
6,PLUS,PLUS,9.7,10.3
6,7,7,10.3,10.8
6,PLUS,PLUS,17.3,17.7
6,8,8,17.7,18.1
6,PLUS,PLUS,25.0,25.2
6,7,7,25.2,25.5
6,PLUS,PLUS,32.8,33.3
6,2,2,33.3,33.6
6,MINUS,MINUS,37.2,37.9
6,1,1,37.9,38.3
7,PLUS,PLUS,3.8,4.6
7,4,4,4.6,5.3
7,PLUS,PLUS,12.4,12.4
7,7,7,12.4,12.8
7,MINUS,MINUS,15.5,16.9
7,2,2,16.9,17.6
7,MINUS,MINUS,21.0,21.5
7,6,6,21.5,21.7
7,PLUS,PLUS,24.9,25.5
7,6,6,25.5,26.1
7,MINUS,MINUS,29.0,29.5
7,6,6,29.5,29.8
