subject_id,game,trial_number,option,rt_s,total_fix_time_ms,n_fixations,total_fix_time_s,true_offer_value,recalled_offer_value,accept
103,3,18,Sea,29.658429875038564,15054.0,23,15.054,5.0,5.0,1.0
103,3,19,Small,10.497171583003365,5631.0,13,5.631,5.0,5.0,0.0
103,3,20,Pattern,9.244526749942452,5741.0,9,5.741,11.0,11.0,1.0
103,3,21,Solid,2.633825666969642,1688.0,1,1.688,-1.0,-1.0,0.0
103,3,22,Object,4.2468404999235645,1813.0,2,1.813,6.0,6.0,1.0
103,3,23,Land,14.673821666045114,9283.0,12,9.283,5.0,5.0,1.0
103,3,24,Large,21.41356308304239,11852.0,16,11.852,5.0,5.0,1.0
103,4,25,Pattern,15.61622433399316,7351.0,14,7.351,-3.0,-3.0,1.0
103,4,26,Land,14.085815540980548,5614.0,11,5.614,1.0,-1.0,0.0
103,4,27,Large,11.486993000027724,6297.0,11,6.297,3.0,1.0,1.0
103,4,28,Solid,14.811134500079788,8592.0,11,8.592,3.0,1.0,0.0
103,4,29,Animal,24.573432959034108,11647.0,23,11.647,3.0,1.0,1.0
103,4,30,Sea,7.447224667062983,3478.0,3,3.478,-1.0,-1.0,0.0
103,4,31,Small,6.951357625075616,2201.0,5,2.201,-3.0,-3.0,0.0
103,4,32,Object,18.69697479205206,8631.0,20,8.631,-3.0,-3.0,1.0
103,5,33,Solid,37.46965962497052,17639.0,39,17.639,-3.0,-1.0,1.0
103,5,34,Small,16.790348042035475,7651.0,10,7.651,-4.0,-2.0,0.0
103,5,35,Pattern,18.815463667036965,12056.0,13,12.056,1.0,-4.0,0.0
103,5,36,Animal,25.198714207974263,13484.0,17,13.484,-3.0,-1.0,0.0
103,5,37,Large,16.49158237501979,9233.0,11,9.233,2.0,-3.0,0.0
103,5,38,Sea,8.83203249995131,4991.0,8,4.991,-4.0,-2.0,0.0
103,6,41,Pattern,67.30460041598417,34739.0,56,34.739,-3.0,-3.0,0.0
103,6,42,Large,17.598854375071824,9018.0,17,9.018,-2.0,-2.0,0.0
103,6,43,Small,17.13334058399778,10753.0,20,10.753,1.0,1.0,1.0
103,6,44,Land,28.71283787500579,16756.0,31,16.756,1.0,1.0,1.0
103,6,45,Animal,17.063075124984607,9584.0,23,9.584,-2.0,-2.0,0.0
103,6,47,Solid,9.849985375069082,5035.0,11,5.035,2.0,2.0,0.0
103,6,48,Sea,13.821856584050693,8549.0,10,8.549,-2.0,-2.0,0.0
103,7,49,Animal,4.5658652919810265,2861.0,3,2.861,-1.0,-1.0,0.0
103,7,50,Land,7.117545707966201,3700.0,9,3.7,-1.0,-7.0,0.0
103,7,51,Solid,10.529879999929108,5924.0,14,5.924,-2.0,4.0,1.0
103,7,52,Large,10.513634916977026,6421.0,4,6.421,-1.0,-1.0,0.0
103,7,53,Sea,8.95531187497545,5143.0,15,5.143,-2.0,4.0,1.0
103,7,54,Pattern,3.628575499984436,2997.0,2,2.997,-1.0,-7.0,0.0
103,7,55,Object,17.422590582980774,11483.0,20,11.483,-2.0,-2.0,0.0
103,7,56,Small,6.19561662490014,2305.0,8,2.305,-2.0,-2.0,0.0
104,1,5,Object,2.618371875025332,131.0,1,0.131,1.0,6.0,1.0
104,2,9,Animal,11.362428708001971,1644.0,3,1.644,2.0,-5.0,0.0
104,2,10,Land,3.351680124993436,593.0,2,0.593,7.0,9.0,1.0
104,2,12,Solid,7.782831375021488,5665.0,9,5.665,-1.0,-8.0,0.0
104,2,13,Small,4.0416492079384625,3079.0,1,3.079,2.0,-7.0,1.0
104,2,14,Object,1.187969999969937,431.0,1,0.431,4.0,4.0,1.0
104,2,15,Large,1.6605947919888422,860.0,2,0.86,4.0,6.0,1.0
104,2,16,Pattern,3.759918999974616,2454.0,1,2.454,7.0,7.0,1.0
104,3,17,Object,3.7604143749922514,158.0,1,0.158,1.0,1.0,1.0
104,3,20,Sea,4.086700291954912,284.0,2,0.284,-2.0,-6.0,0.0
104,3,21,Large,5.473612417001277,903.0,5,0.903,-2.0,-6.0,0.0
104,3,22,Solid,1.2939922499936074,237.0,1,0.237,1.0,2.0,1.0
104,4,25,Small,1.3051365420687944,151.0,1,0.151,3.0,5.0,1.0
104,4,28,Land,4.811406249995343,689.0,3,0.689,2.0,1.0,1.0
104,5,33,Pattern,1.0543427090160549,23.0,1,0.023,-7.0,-7.0,1.0
104,5,34,Animal,9.378299625008369,793.0,2,0.793,-2.0,-1.0,1.0
104,5,35,Large,0.7599747499916703,81.0,1,0.081,-3.0,-8.0,0.0
104,5,37,Small,1.0646406250307336,324.0,2,0.324,-6.0,-3.0,0.0
104,5,38,Land,3.4867622080491856,264.0,2,0.264,-3.0,-5.0,0.0
104,5,39,Solid,2.8579910829430446,126.0,1,0.126,-2.0,-4.0,1.0
104,6,41,Solid,2.7241994170472026,192.0,2,0.192,-4.0,9.0,0.0
104,6,42,Small,6.599914000020362,672.0,3,0.672,-2.0,9.0,1.0
104,6,43,Object,3.878611791995354,905.0,3,0.905,-2.0,3.0,1.0
104,6,44,Sea,4.069019917049445,245.0,1,0.245,-1.0,1.0,1.0
104,6,48,Land,11.465849000029266,1117.0,5,1.117,-2.0,9.0,0.0
104,7,49,Object,9.729151666979304,1119.0,2,1.119,3.0,10.0,1.0
104,7,50,Small,2.8362104169791564,461.0,2,0.461,-4.0,3.0,1.0
104,7,51,Large,1.511956917005591,482.0,1,0.482,16.0,16.0,1.0
104,7,52,Sea,11.2331016670214,2326.0,6,2.326,9.0,9.0,1.0
104,7,53,Solid,6.256807332974859,1431.0,4,1.431,9.0,9.0,1.0
104,7,54,Animal,6.391611875034869,445.0,3,0.445,9.0,9.0,1.0
104,7,55,Pattern,5.509306167019531,312.0,2,0.312,3.0,10.0,1.0
104,7,56,Land,9.435082374955527,2517.0,6,2.517,3.0,10.0,1.0
105,1,1,Large,6.351288583944552,3548.0,6,3.548,-11.0,8.0,1.0
105,1,2,Object,3.798770499997772,682.0,1,0.682,5.0,3.0,0.0
105,1,3,Sea,1.113639457966201,360.0,2,0.36,1.0,12.0,1.0
