seed,mean_loglik_test_free3,mean_loglik_test_theta1,summary_free3,summary_theta1
1000,-336.050195652063,-346.805191976766,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1000/addm_kfold_fit_summary_free3-rtTrans.csv,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1000/addm_kfold_fit_summary_theta1-rtTrans.csv
1001,-336.001322515694,-346.559168218375,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1001/addm_kfold_fit_summary_free3-rtTrans.csv,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1001/addm_kfold_fit_summary_theta1-rtTrans.csv
1002,-335.848606910380,-345.351155960059,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1002/addm_kfold_fit_summary_free3-rtTrans.csv,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1002/addm_kfold_fit_summary_theta1-rtTrans.csv
1003,-335.678860196464,-345.848979854090,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1003/addm_kfold_fit_summary_free3-rtTrans.csv,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1003/addm_kfold_fit_summary_theta1-rtTrans.csv
1004,-335.554708510537,-346.874639563724,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1004/addm_kfold_fit_summary_free3-rtTrans.csv,output/model_fits/kfold/rtTrans_recalled_final/runs/seed1004/addm_kfold_fit_summary_theta1-rtTrans.csv
