subject,phase,event,trial_number,game,option,choice,rt,roi_content,item_index,is_center,is_relevant,fix_start,fix_end,fix_duration_bounded
128,choice,choice,1,1.0,Object,2.0,4.884646250167862,Object_Sea_Solid_Large,0,0,1,3274935.0,3276194.0,1259.0
128,choice,choice,1,1.0,Object,2.0,4.884646250167862,fixation,-1,1,0,3276387.0,3277303.0,916.0
128,choice,choice,1,1.0,Object,2.0,4.884646250167862,Animal_Sea_Solid_Small,1,0,0,3278243.0,3278618.0,375.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,Object_Sea_Solid_Large,0,0,1,3281424.0,3281791.0,367.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,Animal_Sea_Pattern_Small,2,0,0,3282181.0,3282385.0,204.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,Object_Sea_Solid_Large,0,0,1,3282408.0,3283868.0,1460.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,fixation,-1,1,0,3283972.0,3285804.0,1832.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,Object_Sea_Solid_Large,0,0,1,3285842.0,3286284.0,442.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,fixation,-1,1,0,3286332.0,3287306.0,974.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,Object_Land_Pattern_Large,3,0,1,3288201.0,3288274.0,73.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,Object_Sea_Solid_Large,0,0,1,3288456.0,3288762.0,306.0
128,choice,choice,2,1.0,Large,2.0,8.791384333046153,fixation,-1,1,0,3288777.0,3289963.0,1186.0
128,choice,choice,3,1.0,Small,1.0,3.1336015828419477,fixation,-1,1,0,3293440.0,3293720.0,280.0
128,choice,choice,3,1.0,Small,1.0,3.1336015828419477,Animal_Sea_Pattern_Small,2,0,1,3294842.0,3295040.0,198.0
128,choice,choice,3,1.0,Small,1.0,3.1336015828419477,fixation,-1,1,0,3295062.0,3295344.0,282.0
128,choice,choice,4,1.0,Animal,1.0,3.613859999924898,Animal_Sea_Solid_Small,1,0,1,3299194.0,3299838.0,644.0
128,choice,choice,4,1.0,Animal,1.0,3.613859999924898,Animal_Sea_Pattern_Small,2,0,1,3300111.0,3300406.0,295.0
128,choice,choice,4,1.0,Animal,1.0,3.613859999924898,Animal_Sea_Solid_Small,1,0,1,3300432.0,3301666.0,1234.0
128,choice,choice,5,1.0,Land,1.0,4.936783249955624,fixation,-1,1,0,3306227.0,3306250.0,23.0
128,choice,choice,5,1.0,Land,1.0,4.936783249955624,Object_Sea_Solid_Large,0,0,0,3307187.0,3307345.0,158.0
128,choice,choice,5,1.0,Land,1.0,4.936783249955624,fixation,-1,1,0,3307365.0,3307934.0,569.0
128,choice,choice,5,1.0,Land,1.0,4.936783249955624,Object_Sea_Solid_Large,0,0,0,3308373.0,3308560.0,187.0
128,choice,choice,5,1.0,Land,1.0,4.936783249955624,fixation,-1,1,0,3308581.0,3308975.0,394.0
128,choice,choice,5,1.0,Land,1.0,4.936783249955624,Object_Sea_Solid_Large,0,0,0,3309000.0,3309390.0,390.0
