phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
encoding,fixation,9.80073854199145,10.566921041929163,1,1,Object_Sea_Solid_Small,8,,,,,,,,,,,
encoding,image,10.56704633391928,11.587906959000975,1,1,Object_Sea_Solid_Small,8,,,,,,,,,,,
encoding,value,11.588019917020574,17.60418754199054,1,1,Object_Sea_Solid_Small,8,,,,,,,,,,,
encoding,attention,17.604307999950834,20.62230012496002,1,1,Object_Sea_Solid_Small,8,+8,1,1.6707416250137612,,,,,,,,
encoding,fixation,20.622465916909277,21.377848999924026,2,1,Object_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,image,21.37799433397595,22.388887083972804,2,1,Object_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,value,22.388987625017762,28.400941249914467,2,1,Object_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,attention,28.401070291991346,31.420801333966665,2,1,Object_Sea_Pattern_Large,-3,-3,1,2.362312541110441,,,,,,,,
encoding,fixation,31.421031459001824,32.42604166700039,3,1,Animal_Land_Solid_Small,-7,,,,,,,,,,,
encoding,image,32.42620104202069,33.43721754197031,3,1,Animal_Land_Solid_Small,-7,,,,,,,,,,,
encoding,value,33.43732162495144,39.448844374972396,3,1,Animal_Land_Solid_Small,-7,,,,,,,,,,,
encoding,attention,39.448942333925515,42.46654141694307,3,1,Animal_Land_Solid_Small,-7,-7,1,1.3592365409713238,,,,,,,,
encoding,fixation,42.46667733392678,43.97168399998918,4,1,Object_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,image,43.971794624929316,44.983091083937325,4,1,Object_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,value,44.983198541915044,50.995783916907385,4,1,Object_Sea_Solid_Large,-2,,,,,,,,,,,
encoding,attention,50.99591908394359,54.01414808398113,4,1,Object_Sea_Solid_Large,-2,-2,1,1.6061416660668328,,,,,,,,
encoding,fixation,54.014306749915704,54.76945841696579,5,1,Animal_Land_Pattern_Large,3,,,,,,,,,,,
encoding,image,54.769570166943595,55.781956334016286,5,1,Animal_Land_Pattern_Large,3,,,,,,,,,,,
encoding,value,55.78208479192108,61.79337441700045,5,1,Animal_Land_Pattern_Large,3,,,,,,,,,,,
encoding,attention,61.79348737502005,64.85453270899598,5,1,Animal_Land_Pattern_Large,3,+3,1,1.4721834160154685,,,,,,,,
encoding,fixation,64.8546984589193,65.35998683399521,6,1,Animal_Land_Pattern_Small,1,,,,,,,,,,,
encoding,image,65.36011779191904,66.37135054194368,6,1,Animal_Land_Pattern_Small,1,,,,,,,,,,,
encoding,value,66.37155425001401,72.38300266698934,6,1,Animal_Land_Pattern_Small,1,,,,,,,,,,,
encoding,attention,72.38311766693369,75.40038299991284,6,1,Animal_Land_Pattern_Small,1,+1,1,0.6533736248966306,,,,,,,,
n-back,,,,1,1,,,,1,None,V,False,None,,,,,
n-back,,,,2,1,,,,1,None,C,False,None,,,,,
