game,original_item,item,onset,offset
1,+,+,2.4,3.0
1,2,2,3.0,3.4
1,MINUS,MINUS,9.0,9.8
1,2,2,9.8,10.1
1,MINUS,MINUS,12.4,13.3
1,3,3,13.3,13.6
1,+,+,17.9,18.6
1,1,1,18.6,18.7
1,PLUS,PLUS,24.0,24.1
1,1,1,24.1,24.7
1,MINUS,MINUS,27.6,28.0
1,2,2,28.0,28.4
2,PLUS,PLUS,4.2,4.7
2,8,8,4.7,5.0
2,PLUS,PLUS,7.8,8.1
2,3,3,8.1,8.6
2,PLUS,PLUS,12.7,13.0
2,8,8,13.0,13.3
2,PLUS,PLUS,17.7,18.1
2,2,2,18.1,19.2
2,MINUS,MINUS,22.6,23.2
2,3,3,23.2,24.0
2,MINUS,MINUS,26.9,27.7
2,8,8,27.7,28.1
3,MINUS,MINUS,1.8,3.4
3,1,1,4.1,4.7
3,MINUS,MINUS,8.3,8.9
3,5,5,8.9,9.2
3,MINUS,MINUS,12.2,12.6
3,2,2,12.6,13.6
3,MINUS,MINUS,16.9,17.5
3,3,3,17.5,17.7
3,PLUS,PLUS,19.9,20.7
3,8,8,20.7,21.1
3,PLUS,PLUS,24.6,25.1
3,5,5,26.9,27.2
4,NEGATIVE,NEGATIVE,3.6,4.4
4,1,1,5.2,5.8
4,PLUS,PLUS,9.4,9.9
4,2,2,15.7,15.8
4,MINUS,MINUS,19.4,19.9
4,3,3,19.9,21.2
4,PLUS,PLUS,24.8,25.1
4,3,3,25.1,25.7
4,PLUS,PLUS,28.9,29.1
4,5,5,29.1,29.5
4,PLUS,PLUS,32.1,32.4
4,8,8,33.7,33.9
5,PLUS,PLUS,2.0,2.7
5,8,8,2.7,3.1
5,MINUS,MINUS,5.4,6.0
5,3,3,6.0,6.3
5,MINUS,MINUS,9.8,10.4
5,2,2,10.4,10.8
5,MINUS,MINUS,14.3,14.7
5,1,1,14.7,14.9
5,MINUS,MINUS,18.3,18.6
5,7,7,18.6,19.0
5,PLUS,PLUS,22.7,22.9
5,8,8,22.9,23.3
6,+,+,0.4,2.0
6,5,5,2.0,2.2
6,MINUS,MINUS,5.3,6.3
6,2,2,6.3,7.0
6,MINUS,MINUS,10.2,11.2
6,5,5,11.2,11.8
6,PLUS,PLUS,14.2,15.1
6,9,9,15.1,15.4
6,MINUS,MINUS,17.7,18.9
6,1,1,18.9,19.4
6,MINUS,MINUS,22.1,22.4
6,3,3,22.4,22.8
7,PLUS,PLUS,1.5,2.6
7,5,5,2.6,3.0
7,PLUS,PLUS,6.1,6.8
7,1,1,6.8,7.6
7,MINUS,MINUS,10.8,12.0
7,8,8,12.0,12.6
7,PLUS,PLUS,16.1,16.8
7,3,3,18.5,18.8
7,PLUS,PLUS,20.7,21.6
7,5,5,21.6,22.5
7,MINUS,MINUS,25.1,26.2
7,8,8,26.2,26.8
