phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
choice,option,208.7855862090364,209.8128530839458,4,1,,,,,,,,,Small,,,,
choice,choice,209.81296787504107,213.06702391710132,4,1,,,1,1,2.241690833121538,,,,Small,,,,
choice,fixation,213.06714358413592,213.5723417501431,5,1,,,,,,,,,Animal,,,,
choice,option,213.58253645896912,214.60970445908606,5,1,,,,,,,,,Animal,,,,
choice,choice,214.60980650014244,221.18509741709568,5,1,,,1,0,5.565580290975049,,,,Animal,,,,
choice,fixation,221.1852136249654,222.19099341705441,6,1,,,,,,,,,Sea,,,,
choice,option,222.19962245901115,223.2269141669385,6,1,,,,,,,,,Sea,,,,
choice,choice,223.22702695894986,230.19391929195262,6,1,,,1,1,5.956377957947552,,,,Sea,,,,
choice,fixation,230.19404695904814,231.70051779202186,7,1,,,,,,,,,Pattern,,,,
choice,option,231.70972037501633,232.73811158398166,7,1,,,,,,,,,Pattern,,,,
choice,choice,232.73822987498716,237.08914733398706,7,1,,,2,1,3.3413581249769777,,,,Pattern,,,,
choice,fixation,237.08927258406766,238.59421512507834,8,1,,,,,,,,,Large,,,,
choice,option,238.60345012508333,239.6327792920638,8,1,,,,,,,,,Large,,,,
choice,choice,239.63289041700773,243.6572954589501,8,1,,,2,1,3.014820500044152,,,,Large,,,,
memory,free_recall,313.22779670893215,331.1502049169503,0,1,,,,,,,,,,,,,
memory,value_recall,376.52251375000924,380.70015024999157,1,1,Animal_Sea_Solid_Small,,,,4.173656958155334,,,,,1,,,
memory,value_recall,382.2507601249963,386.701039833948,2,1,Animal_Land_Pattern_Large,,,,4.446077041095123,,,,,-8,,,
memory,value_recall,388.75032079196535,390.41829650010914,3,1,Object_Land_Pattern_Large,,,,1.6640036669559777,,,,,-3,,,
memory,value_recall,392.46428225003183,395.47543662507087,4,1,Object_Land_Solid_Large,,,,3.0072305828798562,,,,,9,,,
memory,value_recall,397.5236520001199,401.61506225005724,5,1,Animal_Sea_Pattern_Small,,,,4.086956124985591,,,,,5,,,
memory,value_recall,402.6620612919796,405.3620695839636,6,1,Object_Sea_Solid_Small,,,,2.6965253751259297,,,,,-5,,,
memory,spatial_recall,430.5512186670676,436.393081584014,6,1,Object_Land_Solid_Large,,,1,5.838581457966939,,,,,,"[329, -190]","[329, -190]",
memory,spatial_recall,437.9500787919387,442.0236183749512,6,1,Animal_Sea_Solid_Small,,,0,4.069550167070702,,,,,,"[-329, 190]","[-329, -190]",
memory,spatial_recall,444.0824798340909,448.9903645000886,6,1,Animal_Land_Pattern_Large,,,1,4.904001708142459,,,,,,"[0, -380]","[0, -380]",
memory,spatial_recall,450.7996223750524,455.4015823339578,6,1,Animal_Sea_Pattern_Small,,,0,4.59799520811066,,,,,,"[-329, -190]","[-329, 190]",
memory,spatial_recall,456.7119887089357,458.57714512501843,6,1,Object_Land_Pattern_Large,,,1,1.8613148329313844,,,,,,"[0, 380]","[0, 380]",
memory,spatial_recall,460.1301164999604,462.14339733403176,6,1,Object_Sea_Solid_Small,,,1,2.0093420001212507,,,,,,"[329, 189]","[329, 189]",
encoding,fixation,6.318418582901359,7.073777874931693,7,2,Animal_Land_Solid_Large,8,,,,,,,,,,,
encoding,image,7.073884749785066,8.086374832782894,7,2,Animal_Land_Solid_Large,8,,,,,,,,,,,
encoding,value,8.086472749942914,14.100178291788325,7,2,Animal_Land_Solid_Large,8,,,,,,,,,,,
encoding,attention,14.100293457973748,17.119177457876503,7,2,Animal_Land_Solid_Large,8,+8,1,1.8609837079420686,,,,,,,,
encoding,fixation,17.1193402078934,18.1246312498115,8,2,Object_Land_Solid_Small,-8,,,,,,,,,,,
encoding,image,18.12473312485963,19.136088624829426,8,2,Object_Land_Solid_Small,-8,,,,,,,,,,,
encoding,value,19.136207291856408,25.148572041885927,8,2,Object_Land_Solid_Small,-8,,,,,,,,,,,
encoding,attention,25.148686499800533,28.1682674579788,8,2,Object_Land_Solid_Small,-8,-8,1,1.0371346669271588,,,,,,,,
encoding,fixation,28.168405041797087,29.423499832861125,9,2,Object_Sea_Pattern_Large,8,,,,,,,,,,,
encoding,image,29.4236259998288,30.435439791996032,9,2,Object_Sea_Pattern_Large,8,,,,,,,,,,,
encoding,value,30.435541541781276,36.447517291875556,9,2,Object_Sea_Pattern_Large,8,,,,,,,,,,,
encoding,attention,36.44764249981381,39.460393166868016,9,2,Object_Sea_Pattern_Large,8,None,None,None,,,,,,,,
encoding,fixation,39.46051462483592,40.21539262495935,10,2,Animal_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,image,40.21554295788519,41.226130791939795,10,2,Animal_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,value,41.226259666960686,47.237220166949555,10,2,Animal_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,attention,47.23736487491988,50.25412045791745,10,2,Animal_Sea_Pattern_Large,-3,-3,1,0.6616256248671561,,,,,,,,
encoding,fixation,50.25431245798245,51.25940083293244,11,2,Animal_Land_Solid_Small,4,,,,,,,,,,,
encoding,image,51.2595266669523,52.26967495796271,11,2,Animal_Land_Solid_Small,4,,,,,,,,,,,
encoding,value,52.269782999996096,58.28108545788564,11,2,Animal_Land_Solid_Small,4,,,,,,,,,,,
encoding,attention,58.2812193329446,61.2979327919893,11,2,Animal_Land_Solid_Small,4,+4,1,0.6993200839497149,,,,,,,,
encoding,fixation,61.29807837493718,62.55310787493363,12,2,Object_Sea_Pattern_Small,3,,,,,,,,,,,
encoding,image,62.55321874981746,63.56439904193394,12,2,Object_Sea_Pattern_Small,3,,,,,,,,,,,
encoding,value,63.564518082886934,69.57660024985671,12,2,Object_Sea_Pattern_Small,3,,,,,,,,,,,
encoding,attention,69.57672516698949,72.59348591696471,12,2,Object_Sea_Pattern_Small,3,+3,1,2.07643675012514,,,,,,,,
n-back,,,,31,2,,,,1,None,C,False,None,,,,,
n-back,,,,32,2,,,,1,None,V,False,None,,,,,
n-back,,,,33,2,,,,1,None,Z,False,None,,,,,
n-back,,,,34,2,,,,0,None,V,True,None,,,,,
n-back,,,,35,2,,,,1,None,N,False,None,,,,,
n-back,,,,36,2,,,,1,0.3756573749706149,V,True,1,,,,,
n-back,,,,37,2,,,,1,None,Z,False,None,,,,,
n-back,,,,38,2,,,,1,None,C,False,None,,,,,
n-back,,,,39,2,,,,1,None,C,False,None,,,,,
n-back,,,,40,2,,,,1,None,B,False,None,,,,,
n-back,,,,41,2,,,,1,0.37585179205052555,C,True,1,,,,,
n-back,,,,42,2,,,,0,None,B,True,None,,,,,
n-back,,,,43,2,,,,1,1.0359913751017302,C,True,1,,,,,
n-back,,,,44,2,,,,0,None,B,True,None,,,,,
n-back,,,,45,2,,,,1,None,Z,False,None,,,,,
n-back,,,,46,2,,,,1,None,Z,False,None,,,,,
