game,original_item,item,onset,offset
1,HOUSE,Object_Land_Pattern_Large,21.0,21.6
1,LADYBUG,Animal_Land_Pattern_Small,22.0,22.8
2,HOUSE,Object_Land_Pattern_Large,2.7,3.8
2,LADYBUG,Animal_Land_Pattern_Small,5.7,7.8
2,ZEBRA,Animal_Land_Pattern_Large,10.4,11.3
3,LION,Animal_Land_Solid_Large,2.0,4.0
3,HAT,Object_Land_Pattern_Small,3.7,4.5
3,SEAL,Animal_Sea_Solid_Large,6.3,6.4
3,WELL,Animal_Sea_Pattern_Large,6.4,7.1
4,BOAT,Object_Sea_Pattern_Large,2.4,4.3
4,BIRD,Animal_Land_Solid_Small,5.3,6.0
4,HOUSE,Object_Land_Pattern_Large,7.7,8.6
4,CRAB,Animal_Sea_Solid_Small,9.9,10.5
5,HOUSE,Object_Land_Pattern_Large,2.4,4.3
5,ZEBRA,Animal_Land_Pattern_Large,4.1,5.2
5,LADYBUG,Animal_Land_Pattern_Small,9.7,10.8
5,COUCH,Object_Land_Solid_Large,11.4,12.4
5,CRAB,Animal_Sea_Solid_Small,14.0,14.7
6,LION,Animal_Land_Solid_Large,3.1,4.2
6,HAT,Object_Land_Pattern_Small,4.4,5.3
6,SEAL,Animal_Sea_Solid_Large,7.0,8.0
6,WHALE,Animal_Sea_Pattern_Large,8.0,8.5
7,LION,Animal_Land_Solid_Large,2.0,3.0
7,BOAT,Object_Sea_Pattern_Large,4.1,4.9
7,SEAL,Animal_Sea_Solid_Large,10.8,11.4
7,BOWTIE,Object_Land_Solid_Small,16.0,16.9
