phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
encoding,fixation,20.02644925005734,20.547458041924983,1,1,Object_Land_Pattern_Large,8,,,,,,,,,,,
encoding,image,20.547677125083283,21.573261708021164,1,1,Object_Land_Pattern_Large,8,,,,,,,,,,,
encoding,value,21.5733834579587,27.591062207939103,1,1,Object_Land_Pattern_Large,8,,,,,,,,,,,
encoding,attention,27.59118445799686,30.609649042133242,1,1,Object_Land_Pattern_Large,8,+8,1,0.9605983749497682,,,,,,,,
encoding,fixation,30.609817249933258,31.616838000016287,2,1,Animal_Sea_Solid_Small,2,,,,,,,,,,,
encoding,image,31.61694954195991,32.628433167003095,2,1,Animal_Sea_Solid_Small,2,,,,,,,,,,,
encoding,value,32.62854791712016,38.64141520811245,2,1,Animal_Sea_Solid_Small,2,,,,,,,,,,,
encoding,attention,38.64155595796183,41.65869191708043,2,1,Animal_Sea_Solid_Small,2,+2,1,0.6563083750661463,,,,,,,,
encoding,fixation,41.658837999915704,42.915377917001024,3,1,Animal_Land_Pattern_Small,-8,,,,,,,,,,,
encoding,image,42.915499333059415,43.92676145792939,3,1,Animal_Land_Pattern_Small,-8,,,,,,,,,,,
encoding,value,43.92689966713078,49.93949937494472,3,1,Animal_Land_Pattern_Small,-8,,,,,,,,,,,
encoding,attention,49.93962466693483,52.95763941691257,3,1,Animal_Land_Pattern_Small,-8,-8,1,1.0912216668948531,,,,,,,,
encoding,fixation,52.95780420792289,54.4623324170243,4,1,Object_Sea_Solid_Large,-1,,,,,,,,,,,
encoding,image,54.46244075009599,55.473910541972145,4,1,Object_Sea_Solid_Large,-1,,,,,,,,,,,
encoding,value,55.474012332968414,61.48679937492125,4,1,Object_Sea_Solid_Large,-1,,,,,,,,,,,
encoding,attention,61.486900750081986,64.55698699993081,4,1,Object_Sea_Solid_Large,-1,-1,1,0.7396275410428643,,,,,,,,
encoding,fixation,64.55714641697705,66.06277587497607,5,1,Animal_Land_Solid_Small,2,,,,,,,,,,,
encoding,image,66.06290133297443,67.07388179190457,5,1,Animal_Land_Solid_Small,2,,,,,,,,,,,
encoding,value,67.07399970805272,73.08483750000596,5,1,Animal_Land_Solid_Small,2,,,,,,,,,,,
encoding,attention,73.08495154208504,76.10302195791155,5,1,Animal_Land_Solid_Small,2,+2,1,1.2404977090191096,,,,,,,,
encoding,fixation,76.10316870803945,77.1090042500291,6,1,Object_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,image,77.10916795791127,78.1202436669264,6,1,Object_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,value,78.12037066696212,84.13143554213457,6,1,Object_Sea_Pattern_Large,-3,,,,,,,,,,,
encoding,attention,84.13156879204325,87.14830379211344,6,1,Object_Sea_Pattern_Large,-3,-3,1,0.9890599579084665,,,,,,,,
n-back,,,,1,1,,,,1,None,X,False,None,,,,,
n-back,,,,2,1,,,,0,None,Z,True,None,,,,,
n-back,,,,3,1,,,,0,0.8953383748885244,Z,False,1,,,,,
n-back,,,,4,1,,,,1,None,N,False,None,,,,,
n-back,,,,5,1,,,,1,None,C,False,None,,,,,
n-back,,,,6,1,,,,1,0.945167750120163,N,True,1,,,,,
n-back,,,,7,1,,,,0,1.170717207947746,Z,False,1,,,,,
n-back,,,,8,1,,,,1,0.9668022498954087,N,True,1,,,,,
n-back,,,,9,1,,,,1,None,X,False,None,,,,,
n-back,,,,10,1,,,,1,None,V,False,None,,,,,
n-back,,,,11,1,,,,1,0.5488600418902934,X,True,1,,,,,
n-back,,,,12,1,,,,0,None,V,True,None,,,,,
n-back,,,,13,1,,,,1,None,Z,False,None,,,,,
n-back,,,,14,1,,,,1,None,X,False,None,,,,,
n-back,,,,15,1,,,,0,0.45218287501484156,X,False,1,,,,,
n-back,,,,16,1,,,,1,None,N,False,None,,,,,
n-back,,,,17,1,,,,1,None,Z,False,None,,,,,
n-back,,,,18,1,,,,1,0.6886239580344409,N,True,1,,,,,
n-back,,,,19,1,,,,1,None,X,False,None,,,,,
n-back,,,,20,1,,,,0,None,N,True,None,,,,,
n-back,,,,21,1,,,,1,None,V,False,None,,,,,
n-back,,,,22,1,,,,1,None,Z,False,None,,,,,
n-back,,,,23,1,,,,1,None,X,False,None,,,,,
n-back,,,,24,1,,,,1,0.8338198331184685,Z,True,1,,,,,
n-back,,,,25,1,,,,0,None,X,True,None,,,,,
n-back,,,,26,1,,,,1,None,V,False,None,,,,,
n-back,,,,27,1,,,,1,None,B,False,None,,,,,
n-back,,,,28,1,,,,1,None,Z,False,None,,,,,
n-back,,,,29,1,,,,0,0.6219642090145499,Z,False,1,,,,,
n-back,,,,30,1,,,,1,0.8443459998816252,Z,True,1,,,,,
choice,fixation,191.85844095796347,193.11627041711472,1,1,,,,,,,,,Animal,,,,
choice,option,193.12736737495288,194.3710007921327,1,1,,,,,,,,,Animal,,,,
choice,choice,194.37112362496555,208.50660408311523,1,1,,,2,1,13.124133249977604,,,,Animal,,,,
choice,fixation,208.50674533308484,209.26163445808925,2,1,,,,,,,,,Small,,,,
choice,option,209.27052441705018,210.29917579190806,2,1,,,,,,,,,Small,,,,
choice,choice,210.2993227080442,227.67319141700864,2,1,,,2,1,16.362729375017807,,,,Small,,,,
choice,fixation,227.67332033300772,228.17843387508765,3,1,,,,,,,,,Large,,,,
choice,option,228.18777687498368,229.21523420792073,3,1,,,,,,,,,Large,,,,
choice,choice,229.21537004201673,231.3359827080276,3,1,,,1,1,1.1109989578835666,,,,Large,,,,
choice,fixation,231.3361063329503,231.8411642080173,4,1,,,,,,,,,Object,,,,
choice,option,231.8506509999279,232.8770522500854,4,1,,,,,,,,,Object,,,,
choice,choice,232.87720400001854,245.38687816704623,4,1,,,1,1,11.498573541874066,,,,Object,,,,
choice,fixation,245.38699320796877,246.39205699996091,5,1,,,,,,,,,Sea,,,,
choice,option,246.40061637503095,247.42814050009474,5,1,,,,,,,,,Sea,,,,
choice,choice,247.42827683291398,254.45741012506187,5,1,,,2,1,6.019751667045057,,,,Sea,,,,
choice,fixation,254.45756445801817,255.46291487501003,6,1,,,,,,,,,Pattern,,,,
choice,option,255.472958792001,256.5011808751151,6,1,,,,,,,,,Pattern,,,,
choice,choice,256.5013546249829,275.67309433291666,6,1,,,1,0,18.16091166716069,,,,Pattern,,,,
choice,fixation,275.6732246670872,276.1781786249485,7,1,,,,,,,,,Solid,,,,
choice,option,276.18745916709304,277.2163556669839,7,1,,,,,,,,,Solid,,,,
choice,choice,277.21646833303384,292.64276258298196,7,1,,,1,1,14.414961708011106,,,,Solid,,,,
choice,fixation,292.64291441696696,293.89911499992013,8,1,,,,,,,,,Land,,,,
choice,option,293.9084845830221,294.93643666710705,8,1,,,,,,,,,Land,,,,
choice,choice,294.93654699996114,309.4200984579511,8,1,,,1,1,13.47247991594486,,,,Land,,,,
memory,free_recall,376.27428700006567,423.690282125026,0,1,,,,,,,,,,,,,
