subject_id,firstfix_prop_time_relevant,revisit_prop_time_relevant,group
H101,0.6049475081452877,0.462026825971902,human
H103,0.5849332186500917,0.5759154593087378,human
H104,0.6161550096063443,0.1790708164185836,human
H105,0.447567788925615,0.5490881838621035,human
H106,0.6673895562757377,0.4846068120080797,human
H108,0.650828434660523,0.5549734945609588,human
H109,0.5043160793292287,0.8374693406434858,human
H110,0.502946381687703,0.5916930783566587,human
H111,0.4157047724750277,0.0,human
H113,0.4020855571064948,0.6079932990307526,human
H114,0.6159678542943392,0.7441557491703312,human
H115,0.5678809057699228,0.4887900167696514,human
H116,0.5398076676131094,0.5745981400719209,human
H117,0.5133262935586062,0.5546696899876873,human
H118,0.5732827099658023,0.6895904318197622,human
H119,0.5822525211094296,0.5103653005689783,human
H120,0.4501790423912344,0.5828031437125748,human
H122,0.608099631386424,0.7144191721797487,human
H123,0.4986491702045542,0.5730527911514114,human
H124,0.5676614657506377,0.5646839281548869,human
H125,0.6141837214242949,0.7377147803240044,human
H126,0.5858544562551103,0.645759885659838,human
H127,0.6322455499771794,0.3925020712510356,human
H128,0.5902889667250438,0.4682602257648891,human
H129,0.5340284513417394,1.0,human
H132,0.6470107209927021,0.5784278052122959,human
H133,0.6574337390513024,0.5921440783078006,human
H134,0.4796129032258064,0.5105391892377972,human
H135,0.5677018494218454,0.5318188083250229,human
H136,0.5269225910912577,0.4587920567959667,human
H137,0.6415148839693492,0.71610779674964,human
H138,0.690422195416164,0.6975202342001033,human
H139,0.4749169725572452,0.4725041514659964,human
H140,0.5067822721551093,0.5867034540236452,human
H141,0.5448229663003901,0.5717338873367243,human
H142,0.6214251302938729,0.6095873884018338,human
H144,0.5923092125695248,0.5912061461817266,human
H146,0.7336712390516975,0.6141253741158335,human
H148,0.4601790579992215,0.4318884458753544,human
H149,0.5954317934049961,0.6517504172305116,human
H150,0.5567816424832732,0.6486997150412035,human
N901,0.5529996881520275,0.5833469855832241,nn
N902,0.5532353280060728,0.5707945191340025,nn
N903,0.5485038728660613,0.5720545699126489,nn
N904,0.5531068836974834,0.5752087290718735,nn
N905,0.5531279466805694,0.5779014985241807,nn
