subject_id,fixation_position,prop_relevant,group
H110,35,0.3333333333333333,human
H110,36,0.5,human
H110,37,0.625,human
H110,38,0.8333333333333334,human
H110,39,0.6666666666666666,human
H110,40,0.5,human
H110,41,0.6666666666666666,human
H110,42,0.3333333333333333,human
H110,43,0.8,human
H110,44,0.6,human
H110,45,0.0,human
H110,46,0.0,human
H110,47,0.3333333333333333,human
H110,48,1.0,human
H110,49,0.5,human
H110,50,0.5,human
H110,51,0.0,human
H110,52,0.5,human
H110,53,1.0,human
H110,54,0.0,human
H110,55,1.0,human
H110,56,1.0,human
H110,57,0.0,human
H110,58,0.5,human
H110,59,0.5,human
H110,60,1.0,human
H110,61,0.5,human
H110,62,0.5,human
H110,63,0.5,human
H110,64,1.0,human
H110,65,1.0,human
H110,66,0.0,human
H110,67,0.0,human
H110,68,0.0,human
H110,69,0.0,human
H110,70,1.0,human
H110,71,0.0,human
H110,72,1.0,human
H110,73,1.0,human
H110,74,1.0,human
H110,75,1.0,human
H110,76,1.0,human
H111,1,0.36666666666666664,human
H111,2,0.6428571428571429,human
H111,3,0.2,human
H111,4,0.5,human
H111,5,0.0,human
H113,1,0.4878048780487805,human
H113,2,0.38461538461538464,human
H113,3,0.5714285714285714,human
H113,4,0.25,human
H113,5,0.75,human
H113,6,1.0,human
H113,7,0.0,human
H113,8,0.0,human
H114,1,0.7142857142857143,human
H114,2,0.44642857142857145,human
H114,3,0.6071428571428571,human
H114,4,0.5714285714285714,human
H114,5,0.6666666666666666,human
H114,6,0.75,human
H114,7,0.52,human
H114,8,0.8085106382978723,human
H114,9,0.5,human
H114,10,0.7142857142857143,human
H114,11,0.7419354838709677,human
H114,12,0.52,human
H114,13,0.631578947368421,human
H114,14,0.5333333333333333,human
H114,15,0.6923076923076923,human
H114,16,0.6363636363636364,human
H114,17,0.6666666666666666,human
H114,18,0.6666666666666666,human
H114,19,0.6666666666666666,human
H114,20,0.5714285714285714,human
H114,21,0.6666666666666666,human
H114,22,0.8,human
H114,23,0.25,human
H114,24,0.75,human
H114,25,0.75,human
H114,26,0.3333333333333333,human
H114,27,1.0,human
H114,28,0.3333333333333333,human
H114,29,0.6666666666666666,human
H114,30,0.3333333333333333,human
H114,31,1.0,human
H114,32,0.6666666666666666,human
H114,33,1.0,human
H114,34,0.5,human
H114,35,0.5,human
H114,36,1.0,human
H114,37,1.0,human
H114,38,1.0,human
H115,1,0.46,human
H115,2,0.5227272727272727,human
H115,3,0.45,human
H115,4,0.6470588235294118,human
H115,5,0.4482758620689655,human
H115,6,0.5,human
H115,7,0.45454545454545453,human
H115,8,0.47058823529411764,human
H115,9,0.6,human
H115,10,0.7692307692307693,human
H115,11,0.3,human
H115,12,0.5,human
H115,13,0.8,human
H115,14,0.625,human
H115,15,0.42857142857142855,human
H115,16,0.42857142857142855,human
H115,17,0.5,human
H115,18,0.0,human
H115,19,1.0,human
H115,20,0.0,human
H116,1,0.6607142857142857,human
H116,2,0.5,human
H116,3,0.5454545454545454,human
H116,4,0.509090909090909,human
H116,5,0.4727272727272727,human
H116,6,0.6,human
H116,7,0.5555555555555556,human
H116,8,0.5294117647058824,human
H116,9,0.4,human
H116,10,0.6458333333333334,human
H116,11,0.4888888888888889,human
H116,12,0.42857142857142855,human
H116,13,0.6190476190476191,human
H116,14,0.4878048780487805,human
H116,15,0.5526315789473685,human
H116,16,0.5675675675675675,human
H116,17,0.5714285714285714,human
H116,18,0.5142857142857142,human
H116,19,0.48484848484848486,human
H116,20,0.59375,human
H116,21,0.59375,human
H116,22,0.6451612903225806,human
H116,23,0.5483870967741935,human
H116,24,0.7096774193548387,human
H116,25,0.4482758620689655,human
H116,26,0.5517241379310345,human
H116,27,0.5714285714285714,human
H116,28,0.5185185185185185,human
H116,29,0.6538461538461539,human
H116,30,0.56,human
H116,31,0.4583333333333333,human
H116,32,0.6086956521739131,human
H116,33,0.5652173913043478,human
H116,34,0.4,human
H116,35,0.5789473684210527,human
H116,36,0.5,human
H116,37,0.5882352941176471,human
H116,38,0.4375,human
H116,39,0.25,human
H116,40,0.4666666666666667,human
H116,41,0.5,human
H116,42,0.7142857142857143,human
H116,43,0.35714285714285715,human
H116,44,0.8461538461538461,human
H116,45,0.5,human
H116,46,0.4166666666666667,human
H116,47,0.5,human
H116,48,0.6666666666666666,human
H116,49,0.5,human
H116,50,0.4,human
H116,51,0.6666666666666666,human
H116,52,0.2222222222222222,human
H116,53,0.75,human
H116,54,0.125,human
H116,55,0.875,human
H116,56,0.5,human
H116,57,0.625,human
H116,58,0.625,human
H116,59,0.7142857142857143,human
H116,60,0.5,human
H116,61,0.5,human
H116,62,0.5,human
H116,63,0.5,human
H116,64,0.5,human
H116,65,0.5,human
H116,66,0.75,human
H116,67,0.6666666666666666,human
H116,68,0.5,human
H116,69,0.0,human
H116,70,0.5,human
H116,71,1.0,human
H116,72,1.0,human
H116,73,0.0,human
H116,74,1.0,human
H116,75,0.5,human
H116,76,1.0,human
H116,77,0.0,human
H116,78,0.5,human
H116,79,0.5,human
H116,80,1.0,human
H116,81,1.0,human
H116,82,1.0,human
H116,83,0.0,human
H116,84,1.0,human
H116,85,0.0,human
H116,86,1.0,human
H116,87,1.0,human
H116,88,0.0,human
H116,89,1.0,human
H116,90,0.0,human
H117,1,0.5306122448979592,human
H117,2,0.4418604651162791,human
H117,3,0.48484848484848486,human
H117,4,0.5185185185185185,human
H117,5,0.5714285714285714,human
H117,6,0.4375,human
H117,7,0.46153846153846156,human
H117,8,0.3333333333333333,human
H117,9,0.125,human
H117,10,0.8571428571428571,human
H117,11,0.14285714285714285,human
H117,12,1.0,human
H117,13,0.25,human
H117,14,0.6666666666666666,human
H117,15,0.0,human
H117,16,1.0,human
H117,17,0.0,human
H117,18,1.0,human
H117,19,0.0,human
H117,20,1.0,human
H117,21,0.0,human
H117,22,1.0,human
H117,23,0.0,human
H117,24,1.0,human
H117,25,0.0,human
H117,26,1.0,human
H117,27,0.0,human
H117,28,1.0,human
H117,29,1.0,human
H117,30,1.0,human
H117,31,0.0,human
H117,32,1.0,human
H117,33,0.0,human
H117,34,1.0,human
H117,35,0.0,human
H118,1,0.5789473684210527,human
H118,2,0.6333333333333333,human
H118,3,0.6296296296296297,human
H118,4,0.375,human
H118,5,0.4444444444444444,human
H118,6,0.42857142857142855,human
H118,7,0.6153846153846154,human
H118,8,0.6363636363636364,human
H118,9,0.6666666666666666,human
H118,10,0.5555555555555556,human
H118,11,0.625,human
H118,12,0.8,human
H118,13,0.2,human
H118,14,0.3333333333333333,human
H118,15,1.0,human
H118,16,1.0,human
H118,17,1.0,human
H118,18,0.0,human
H118,19,1.0,human
H118,20,0.0,human
H118,21,1.0,human
H118,22,0.0,human
H118,23,1.0,human
H118,24,0.0,human
H118,25,1.0,human
H118,26,0.0,human
H118,27,1.0,human
H119,1,0.47058823529411764,human
H119,2,0.6097560975609756,human
H119,3,0.42424242424242425,human
H119,4,0.5,human
H119,5,0.45,human
H119,6,0.5,human
H119,7,0.5333333333333333,human
H119,8,0.5833333333333334,human
H119,9,0.45454545454545453,human
H119,10,0.7,human
H119,11,0.3333333333333333,human
H119,12,0.6666666666666666,human
H119,13,1.0,human
H119,14,0.0,human
H119,15,1.0,human
H119,16,0.0,human
H119,17,1.0,human
H120,1,0.52,human
H120,2,0.5238095238095238,human
H120,3,0.48717948717948717,human
H120,4,0.3870967741935484,human
H120,5,0.7272727272727273,human
H120,6,0.4444444444444444,human
H120,7,0.5714285714285714,human
H120,8,0.6666666666666666,human
H120,9,0.3,human
H120,10,0.3333333333333333,human
H120,11,0.3333333333333333,human
H120,12,0.375,human
H120,13,1.0,human
H120,14,0.5,human
H120,15,0.25,human
H120,16,0.6666666666666666,human
H120,17,0.5,human
H120,18,0.0,human
H120,19,1.0,human
H120,20,1.0,human
H120,21,1.0,human
H120,22,0.0,human
H120,23,0.0,human
H120,24,0.0,human
H122,1,0.5370370370370371,human
H122,2,0.574468085106383,human
H122,3,0.6153846153846154,human
H122,4,0.6071428571428571,human
H122,5,0.45,human
H122,6,0.7058823529411765,human
H122,7,0.8,human
H122,8,0.7692307692307693,human
H122,9,0.5833333333333334,human
H122,10,0.625,human
H122,11,0.42857142857142855,human
H122,12,0.5,human
H122,13,0.5,human
H122,14,1.0,human
H122,15,1.0,human
H122,16,0.0,human
H122,17,1.0,human
H123,1,0.6071428571428571,human
H123,2,0.4642857142857143,human
H123,3,0.5892857142857143,human
H123,4,0.5283018867924528,human
H123,5,0.5192307692307693,human
H123,6,0.6170212765957447,human
H123,7,0.5365853658536586,human
H123,8,0.5151515151515151,human
H123,9,0.45454545454545453,human
H123,10,0.5625,human
H123,11,0.6363636363636364,human
H123,12,0.42857142857142855,human
H123,13,0.8,human
H123,14,0.5,human
H123,15,0.5,human
H123,16,0.6666666666666666,human
H123,17,0.5,human
H123,18,1.0,human
H123,19,0.0,human
H123,20,1.0,human
H124,1,0.6274509803921569,human
H124,2,0.6511627906976745,human
H124,3,0.5,human
H124,4,0.7058823529411765,human
H124,5,0.3793103448275862,human
H124,6,0.52,human
H124,7,0.5217391304347826,human
H124,8,0.6470588235294118,human
H124,9,0.7,human
H124,10,0.4,human
H124,11,0.4444444444444444,human
H124,12,0.6666666666666666,human
H124,13,0.0,human
H124,14,0.5,human
H124,15,1.0,human
H124,16,1.0,human
H124,17,0.0,human
H125,1,0.7142857142857143,human
H125,2,0.5769230769230769,human
H125,3,0.6938775510204082,human
H125,4,0.6530612244897959,human
H125,5,0.6666666666666666,human
H125,6,0.4772727272727273,human
H125,7,0.8780487804878049,human
H125,8,0.5526315789473685,human
H125,9,0.6060606060606061,human
H125,10,0.5625,human
H125,11,0.5161290322580645,human
H125,12,0.6428571428571429,human
H125,13,0.56,human
H125,14,0.6521739130434783,human
H125,15,0.65,human
H125,16,0.6470588235294118,human
H125,17,0.625,human
H125,18,0.6428571428571429,human
H125,19,0.5454545454545454,human
H125,20,0.5,human
H125,21,0.7,human
H125,22,0.7,human
H125,23,0.7,human
H125,24,0.5,human
H125,25,0.7142857142857143,human
H125,26,0.5,human
H125,27,0.8333333333333334,human
H125,28,0.8333333333333334,human
H125,29,0.6666666666666666,human
H125,30,0.6666666666666666,human
H125,31,0.6,human
H125,32,0.6666666666666666,human
H125,33,0.5,human
H125,34,0.5,human
H126,1,0.6111111111111112,human
H126,2,0.6538461538461539,human
H126,3,0.5882352941176471,human
H126,4,0.5555555555555556,human
H126,5,0.6136363636363636,human
H126,6,0.6341463414634146,human
H126,7,0.5641025641025641,human
H126,8,0.5263157894736842,human
H126,9,0.5625,human
H126,10,0.5666666666666667,human
H126,11,0.5517241379310345,human
H126,12,0.5555555555555556,human
H126,13,0.44,human
H126,14,0.4782608695652174,human
H126,15,0.6,human
H126,16,0.6111111111111112,human
H126,17,0.5,human
H126,18,0.75,human
H126,19,0.45454545454545453,human
H126,20,0.6,human
H126,21,0.25,human
H126,22,0.0,human
H126,23,0.6666666666666666,human
H126,24,0.0,human
H126,25,1.0,human
H126,26,0.0,human
H126,27,1.0,human
H126,28,1.0,human
H126,29,1.0,human
H126,30,0.0,human
H126,31,1.0,human
H126,32,0.0,human
H126,33,1.0,human
H127,1,0.55,human
H127,2,0.5714285714285714,human
H127,3,0.5714285714285714,human
H127,4,0.6666666666666666,human
H127,5,0.3333333333333333,human
H127,6,0.5,human
H127,7,0.5,human
H127,8,1.0,human
H127,9,0.5,human
H127,10,0.5,human
H127,11,0.5,human
H127,12,1.0,human
H127,13,0.0,human
H128,1,0.6956521739130435,human
H128,2,0.5,human
H128,3,0.6521739130434783,human
H128,4,0.631578947368421,human
H128,5,0.7058823529411765,human
H128,6,0.36363636363636365,human
H128,7,0.5,human
H128,8,0.0,human
H128,9,0.6666666666666666,human
H128,10,0.6666666666666666,human
H128,11,0.5,human
H128,12,0.5,human
H128,13,1.0,human
H128,14,0.0,human
H129,1,0.5,human
H129,2,0.4090909090909091,human
H129,3,0.6666666666666666,human
H129,4,1.0,human
H129,5,0.0,human
H129,6,1.0,human
H132,1,0.5576923076923077,human
