subject,relevance_label,mean_prop
101,relevant,0.5786452579604398
103,relevant,0.5759415524654494
104,relevant,0.604996268073729
105,relevant,0.3826356427713983
106,relevant,0.644686752630678
108,relevant,0.6273209857176091
109,relevant,0.5529806559198058
110,relevant,0.5684551958769191
111,relevant,0.3644419856151322
113,relevant,0.4328126362201582
114,relevant,0.7005499647131918
115,relevant,0.5483600196418628
116,relevant,0.5927388979120074
117,relevant,0.5509117263399386
118,relevant,0.6019736549942438
119,relevant,0.5015301937694757
120,relevant,0.5062481821125665
122,relevant,0.6030746903840474
123,relevant,0.531590112185971
124,relevant,0.6285963583318088
125,relevant,0.6838992780667194
126,relevant,0.5666981193033137
127,relevant,0.5529406042939539
128,relevant,0.6218153791884315
129,relevant,0.5087544344603593
132,relevant,0.6306200285533108
133,relevant,0.6556699603140859
134,relevant,0.4966883823248627
135,relevant,0.5235208568229134
136,relevant,0.4631174601074914
137,relevant,0.6578722373088023
138,relevant,0.6975554506390463
139,relevant,0.5137879271396399
140,relevant,0.5852007433760856
141,relevant,0.5700334843609725
142,relevant,0.5208872586669873
144,relevant,0.5894861813006197
146,relevant,0.7146981573530232
148,relevant,0.47700848616496233
149,relevant,0.6259084611574196
150,relevant,0.6541793996257229
