subject,game,trial_number,decision_label,category,prop,chance,valence_label,delta_from_chance
101,1,1,leave,rel_pos,0.10300429184549356,0.3333333333333333,positive,-0.23032904148783975
101,1,4,take,rel_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,1,5,leave,rel_pos,0.31805359661495064,0.3333333333333333,positive,-0.015279736718382675
101,1,6,take,rel_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,1,7,take,rel_pos,1.0,0.3333333333333333,positive,0.6666666666666667
101,1,8,leave,rel_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,2,9,leave,rel_pos,0.36361940298507467,0.3333333333333333,positive,0.030286069651741354
101,2,10,leave,rel_pos,0.18467307241621747,0.3333333333333333,positive,-0.14866026091711584
101,2,11,take,rel_pos,0.2422640536358948,0.3333333333333333,positive,-0.09106927969743853
101,2,13,leave,rel_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,2,14,leave,rel_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,2,15,leave,rel_pos,0.4737142857142857,0.16666666666666666,positive,0.307047619047619
101,2,16,take,rel_pos,0.3621586475942783,0.3333333333333333,positive,0.02882531426094498
101,3,17,take,rel_pos,0.5943702634428004,0.3333333333333333,positive,0.2610369301094671
101,3,19,leave,rel_pos,0.2394753543473662,0.16666666666666666,positive,0.07280868768069954
101,3,20,take,rel_pos,0.3634118967452301,0.3333333333333333,positive,0.030078563411896797
101,3,21,take,rel_pos,0.5801630434782609,0.3333333333333333,positive,0.24682971014492755
101,3,22,take,rel_pos,1.0,0.16666666666666666,positive,0.8333333333333334
101,3,23,take,rel_pos,0.3383730834752981,0.3333333333333333,positive,0.005039750141964783
101,3,24,take,rel_pos,0.3074372335386073,0.16666666666666666,positive,0.14077056687194064
101,4,25,take,rel_pos,0.3340837460603332,0.3333333333333333,positive,0.0007504127269998828
101,4,26,take,rel_pos,0.32463339163191174,0.3333333333333333,positive,-0.008699941701421576
101,4,27,take,rel_pos,0.3349480968858132,0.3333333333333333,positive,0.0016147635524798587
101,4,28,take,rel_pos,0.4970010905125409,0.3333333333333333,positive,0.16366775717920756
101,4,29,leave,rel_pos,0.2613972304341061,0.3333333333333333,positive,-0.0719361028992272
101,4,30,take,rel_pos,0.34795942439254546,0.3333333333333333,positive,0.014626091059212143
101,4,31,take,rel_pos,0.6409691629955947,0.3333333333333333,positive,0.3076358296622614
101,4,32,take,rel_pos,0.5965743440233237,0.3333333333333333,positive,0.26324101068999034
101,5,33,take,rel_pos,0.20516271103498898,0.16666666666666666,positive,0.038496044368322324
101,5,34,take,rel_pos,0.2880232076253626,0.16666666666666666,positive,0.12135654095869594
101,5,35,take,rel_pos,0.1620352985354863,0.16666666666666666,positive,-0.004631368131180369
101,5,36,take,rel_pos,0.2945205479452055,0.16666666666666666,positive,0.12785388127853883
101,6,41,take,rel_pos,0.1793731778425656,0.16666666666666666,positive,0.012706511175898938
101,6,42,take,rel_pos,0.36297071129707115,0.16666666666666666,positive,0.1963040446304045
101,6,43,leave,rel_pos,0.26461038961038963,0.16666666666666666,positive,0.09794372294372297
101,6,44,take,rel_pos,0.21400159108989658,0.16666666666666666,positive,0.047334924423229924
101,6,45,leave,rel_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,6,46,take,rel_pos,0.27063634040378226,0.16666666666666666,positive,0.1039696737371156
101,6,47,take,rel_pos,0.17547250859106528,0.16666666666666666,positive,0.008805841924398622
101,6,48,take,rel_pos,0.9134768740031898,0.16666666666666666,positive,0.7468102073365231
101,7,49,leave,rel_pos,0.0,0.3333333333333333,positive,-0.3333333333333333
101,7,50,leave,rel_pos,0.6170070304653499,0.3333333333333333,positive,0.28367369713201657
101,7,51,leave,rel_pos,0.36967187979147503,0.3333333333333333,positive,0.03633854645814172
101,7,52,leave,rel_pos,0.0,0.3333333333333333,positive,-0.3333333333333333
101,7,53,leave,rel_pos,0.15311510031678988,0.3333333333333333,positive,-0.18021823301654344
101,7,54,leave,rel_pos,0.3213123644251627,0.3333333333333333,positive,-0.012020968908170615
101,7,55,leave,rel_pos,0.23285070021362447,0.3333333333333333,positive,-0.10048263311970884
101,7,56,leave,rel_pos,0.22402287893231648,0.3333333333333333,positive,-0.10931045440101683
103,1,1,leave,rel_pos,0.8409142857142857,0.3333333333333333,positive,0.5075809523809525
103,1,2,take,rel_pos,0.7654763761110245,0.3333333333333333,positive,0.43214304277769117
103,1,3,leave,rel_pos,0.1108211202569765,0.16666666666666666,positive,-0.05584554640969015
103,1,4,take,rel_pos,0.0262623104580272,0.16666666666666666,positive,-0.14040435620863945
103,1,5,leave,rel_pos,0.41464681440443213,0.16666666666666666,positive,0.24798014773776547
103,1,6,take,rel_pos,0.062243100411039344,0.16666666666666666,positive,-0.10442356625562732
103,1,7,take,rel_pos,0.46751101321585903,0.3333333333333333,positive,0.1341776798825257
103,1,8,take,rel_pos,0.8462671905697446,0.3333333333333333,positive,0.5129338572364113
103,2,9,take,rel_pos,0.31703938254502273,0.3333333333333333,positive,-0.016293950788310585
103,2,10,leave,rel_pos,0.32988992379339543,0.16666666666666666,positive,0.16322325712672878
103,2,11,take,rel_pos,0.12524461839530332,0.3333333333333333,positive,-0.20808871493803
103,2,12,leave,rel_pos,0.30508736663058605,0.3333333333333333,positive,-0.02824596670274726
103,2,13,take,rel_pos,0.16306089743589744,0.3333333333333333,positive,-0.17027243589743588
103,2,14,leave,rel_pos,0.6090617481956696,0.16666666666666666,positive,0.442395081529003
103,2,15,leave,rel_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
103,2,16,take,rel_pos,0.3427485531657597,0.16666666666666666,positive,0.17608188649909304
103,3,17,take,rel_pos,0.7504711647191858,0.3333333333333333,positive,0.41713783138585253
103,3,18,take,rel_pos,0.1334529028829547,0.16666666666666666,positive,-0.033213763783711964
103,3,19,leave,rel_pos,0.08897176345231753,0.3333333333333333,positive,-0.2443615698810158
103,3,20,take,rel_pos,0.7084131684375544,0.3333333333333333,positive,0.3750798351042211
