n_trials,n_fixations,allfix_count_relevant_per_trial,allfix_duration_mean_relevant,allfix_count_relevant,allfix_count_irrelevant_per_trial,allfix_duration_mean_irrelevant,allfix_count_irrelevant,firstfix_count_relevant_per_trial,firstfix_duration_mean_relevant,firstfix_count_relevant,firstfix_count_irrelevant_per_trial,firstfix_duration_mean_irrelevant,firstfix_count_irrelevant,revisit_count_relevant_per_trial,revisit_duration_mean_relevant,revisit_count_relevant,revisit_count_irrelevant_per_trial,revisit_duration_mean_irrelevant,revisit_count_irrelevant,firstfix_prop_time_relevant,firstfix_prop_time_irrelevant,revisit_prop_time_relevant,revisit_prop_time_irrelevant,time_share_firstfix,time_share_revisit,subject
48,402,4.270833333333333,565.2634146341463,205,4.104166666666667,489.7208121827411,197,2.3333333333333335,671.4107142857143,112,2.0208333333333335,506.25773195876286,97,1.9375,437.4301075268817,93,2.0833333333333335,473.68,100,0.6049475081452877,0.3950524918547122,0.46202682597190203,0.537973174028098,0.5853668873673206,0.4146331126326794,101
53,710,7.09433962264151,659.7367021276596,376,6.30188679245283,541.1197604790419,334,2.0754716981132075,655.3272727272728,110,2.018867924528302,478.05607476635515,107,5.018867924528302,661.5601503759399,266,4.283018867924528,570.8458149779735,227,0.5849332186500917,0.4150667813499083,0.5759154593087378,0.42408454069126217,0.28740540351449995,0.7125945964855,103
33,82,1.3333333333333333,369.6363636363636,44,1.1515151515151516,390.7894736842105,38,1.2121212121212122,376.825,40,0.8787878787878788,323.7931034482759,29,0.12121212121212122,297.75,4,0.2727272727272727,606.6666666666666,9,0.6161550096063443,0.3838449903936557,0.17907081641858366,0.8209291835814163,0.7862377064986823,0.21376229350131773,104
50,128,1.14,345.56140350877195,57,1.42,316.84507042253523,71,0.92,332.6304347826087,46,1.26,299.77777777777777,63,0.22,399.6363636363636,11,0.16,451.25,8,0.447567788925615,0.552432211074385,0.5490881838621035,0.4509118161378966,0.8102528855497357,0.18974711445026426,105
42,185,2.4285714285714284,404.94117647058823,102,1.9761904761904763,342.7590361445783,83,1.5952380952380953,408.7910447761194,67,1.119047619047619,290.4255319148936,47,0.8333333333333334,397.57142857142856,35,0.8571428571428571,411.0833333333333,36,0.6673895562757377,0.3326104437242623,0.4846068120080797,0.5153931879919204,0.5883474545897668,0.4116525454102333,106
56,564,5.607142857142857,977.9554140127389,314,4.464285714285714,819.136,250,2.5535714285714284,1092.4405594405594,143,2.0714285714285716,722.5172413793103,116,3.0535714285714284,882.2163742690059,171,2.392857142857143,902.776119402985,134,0.650828434660523,0.34917156533947696,0.5549734945609588,0.44502650543904115,0.4689369400346187,0.5310630599653813,108
38,93,1.394736842105263,526.5849056603773,53,1.0526315789473684,456.85,40,1.0526315789473684,407.5,40,0.8947368421052632,471.20588235294116,34,0.34210526315789475,893.0,13,0.15789473684210525,375.5,6,0.5043160793292287,0.4956839206707713,0.8374693406434858,0.1625306593565142,0.6998462637767143,0.3001537362232856,109
47,907,10.27659574468085,259.944099378882,483,9.02127659574468,222.52830188679246,424,2.5319148936170213,217.31932773109244,119,2.234042553191489,243.40952380952382,105,7.74468085106383,273.8791208791209,364,6.787234042553192,215.6551724137931,319,0.502946381687703,0.497053618312297,0.5916930783566587,0.4083069216433413,0.23382369659625749,0.7661763034037425,110
30,52,0.7333333333333333,340.5,22,1.0,351.9,30,0.7333333333333333,340.5,22,0.9666666666666667,363.0689655172414,29,0.0,,0,0.03333333333333333,28.0,1,0.41570477247502774,0.5842952275249722,0.0,1.0,0.9984485815602837,0.0015514184397163121,111
41,98,1.1219512195121952,429.82608695652175,46,1.2682926829268293,483.11538461538464,52,0.8536585365853658,419.74285714285713,35,1.024390243902439,520.1428571428571,42,0.2682926829268293,461.90909090909093,11,0.24390243902439024,327.6,10,0.4020855571064948,0.5979144428935053,0.6079932990307526,0.39200670096924733,0.813850403171916,0.18614959682808394,113
56,706,7.964285714285714,501.80269058295966,446,4.642857142857143,361.56538461538463,260,2.5535714285714284,426.65034965034965,143,1.9285714285714286,352.2037037037037,108,5.410714285714286,537.2706270627062,303,2.7142857142857144,368.2171052631579,152,0.6159678542943392,0.38403214570566085,0.7441557491703312,0.2558442508296688,0.31166007469848434,0.6883399253015157,114
50,351,3.6,876.7944444444445,180,3.42,810.1169590643275,171,1.94,959.9587628865979,97,1.84,770.1630434782609,92,1.66,779.6024096385543,83,1.58,856.6455696202531,79,0.5678809057699228,0.43211909423007727,0.48879001676965145,0.5112099832303485,0.5532962379324656,0.4467037620675343,115
56,1661,16.071428571428573,543.0155555555556,900,13.589285714285714,486.6031537450723,761,2.892857142857143,467.08024691358025,162,2.75,418.8766233766234,154,13.178571428571429,559.6842818428185,738,10.839285714285714,503.7858319604613,607,0.5398076676131094,0.46019233238689056,0.5745981400719209,0.42540185992807905,0.16317916134567453,0.8368208386543254,116
49,275,2.7346938775510203,702.320895522388,134,2.877551020408163,585.9432624113475,141,1.346938775510204,736.5454545454545,66,1.510204081632653,622.8108108108108,74,1.3877551020408163,669.1029411764706,68,1.3673469387755102,545.223880597015,67,0.5133262935586062,0.48667370644139385,0.5546696899876873,0.4453303100123127,0.5358486722609193,0.46415132773908074,117
38,227,3.3157894736842106,326.3809523809524,126,2.6578947368421053,245.2970297029703,101,1.7894736842105263,313.0882352941176,68,1.631578947368421,255.59677419354838,62,1.5263157894736843,341.9655172413793,58,1.0263157894736843,228.92307692307693,39,0.5732827099658023,0.4267172900341977,0.6895904318197622,0.3104095681802378,0.5635442115965341,0.4364557884034659,118
51,255,2.549019607843137,554.7153846153847,130,2.450980392156863,473.8,125,1.392156862745098,579.8169014084507,71,1.3137254901960784,440.8358208955224,67,1.1568627450980393,524.5084745762712,59,1.1372549019607843,511.87931034482756,58,0.5822525211094296,0.4177474788905704,0.5103653005689783,0.48963469943102167,0.5383285873090804,0.4616714126909196,119
50,292,2.94,269.94557823129253,147,2.9,269.09655172413795,145,1.76,238.57954545454547,88,1.7,301.67058823529413,85,1.18,316.728813559322,59,1.2,222.95,60,0.4501790423912344,0.5498209576087656,0.5828031437125748,0.41719685628742514,0.5925845923177596,0.4074154076822404,120
54,269,2.9814814814814814,1001.3850931677018,161,2.0,792.2407407407408,108,1.5740740740740742,1015.0470588235294,85,1.2222222222222223,842.4848484848485,66,1.4074074074074074,986.1052631578947,76,0.7777777777777778,713.2857142857143,42,0.608099631386424,0.39190036861357597,0.7144191721797487,0.2855808278202513,0.5749255424762445,0.4250744575237555,122
56,472,4.625,372.13127413127415,259,3.8035714285714284,405.0422535211268,213,2.517857142857143,394.01418439716315,141,2.392857142857143,416.84328358208955,134,2.107142857142857,345.9830508474576,118,1.4107142857142858,385.0253164556962,79,0.49864917020455424,0.5013508297954458,0.5730527911514114,0.4269472088485886,0.6099608006306938,0.39003919936930626,123
51,304,3.392156862745098,349.60115606936415,173,2.5686274509803924,353.3435114503817,131,1.9607843137254901,362.73,100,1.607843137254902,336.9024390243902,82,1.4313725490196079,331.6164383561644,73,0.9607843137254902,380.85714285714283,49,0.5676614657506377,0.43233853424936225,0.5646839281548869,0.4353160718451131,0.5984789592484709,0.401521040751529,124
