subject,game,trial_number,decision_label,category,prop,chance,valence_label,delta_from_chance
101,1,1,leave,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,1,4,take,irr_pos,0.865582191780822,0.3333333333333333,positive,0.5322488584474887
101,1,5,leave,irr_pos,0.19675599435825106,0.16666666666666666,positive,0.0300893276915844
101,1,6,take,irr_pos,0.3671664744329104,0.3333333333333333,positive,0.03383314109957708
101,1,7,take,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,1,8,leave,irr_pos,1.0,0.3333333333333333,positive,0.6666666666666667
101,2,9,leave,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,2,10,leave,irr_pos,0.12233419264119991,0.16666666666666666,positive,-0.04433247402546675
101,2,11,take,irr_pos,0.21157813305827747,0.16666666666666666,positive,0.04491146639161081
101,2,13,leave,irr_pos,0.11461794019933555,0.3333333333333333,positive,-0.21871539313399777
101,2,14,leave,irr_pos,0.24769339957416608,0.3333333333333333,positive,-0.08563993375916723
101,2,15,leave,irr_pos,0.0,0.3333333333333333,positive,-0.3333333333333333
101,2,16,take,irr_pos,0.3602080624187256,0.16666666666666666,positive,0.19354139575205895
101,3,17,take,irr_pos,0.047876819439432214,0.16666666666666666,positive,-0.11878984722723444
101,3,19,leave,irr_pos,0.08229320922360905,0.3333333333333333,positive,-0.25104012410972426
101,3,20,take,irr_pos,0.037037037037037035,0.16666666666666666,positive,-0.12962962962962962
101,3,21,take,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,3,22,take,irr_pos,0.0,0.3333333333333333,positive,-0.3333333333333333
101,3,23,take,irr_pos,0.047913117546848384,0.16666666666666666,positive,-0.11875354911981828
101,3,24,take,irr_pos,0.16200852676456656,0.3333333333333333,positive,-0.17132480656876675
101,4,25,take,irr_pos,0.2803917154434939,0.3333333333333333,positive,-0.05294161788983942
101,4,26,take,irr_pos,0.09242566931252523,0.3333333333333333,positive,-0.2409076640208081
101,4,27,take,irr_pos,0.21141868512110729,0.3333333333333333,positive,-0.12191464821222603
101,4,28,take,irr_pos,0.14667393675027263,0.3333333333333333,positive,-0.1866593965830607
101,4,29,leave,irr_pos,0.2928271355220165,0.3333333333333333,positive,-0.04050619781131681
101,4,30,take,irr_pos,0.2210426987497051,0.3333333333333333,positive,-0.1122906345836282
101,4,31,take,irr_pos,0.17645619187469408,0.3333333333333333,positive,-0.15687714145863924
101,4,32,take,irr_pos,0.1956997084548105,0.3333333333333333,positive,-0.13763362487852282
101,5,33,take,irr_pos,0.3794959628089063,0.16666666666666666,positive,0.21282929614223964
101,5,34,take,irr_pos,0.10360547036883548,0.16666666666666666,positive,-0.06306119629783118
101,5,35,take,irr_pos,0.20672174239579422,0.16666666666666666,positive,0.04005507572912756
101,5,36,take,irr_pos,0.4767884322678843,0.16666666666666666,positive,0.3101217656012176
101,6,41,take,irr_pos,0.15685131195335278,0.16666666666666666,positive,-0.009815354713313879
101,6,42,take,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,6,43,leave,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,6,44,take,irr_pos,0.1785430162518468,0.16666666666666666,positive,0.011876349585180135
101,6,45,leave,irr_pos,0.1874056176381758,0.16666666666666666,positive,0.02073895097150913
101,6,46,take,irr_pos,0.2645029389215436,0.16666666666666666,positive,0.09783627225487693
101,6,47,take,irr_pos,0.11404639175257732,0.16666666666666666,positive,-0.05262027491408934
101,6,48,take,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
101,7,49,leave,irr_pos,0.009549338247612666,0.3333333333333333,positive,-0.32378399508572064
101,7,50,leave,irr_pos,0.2631402745229327,0.3333333333333333,positive,-0.07019305881040061
101,7,51,leave,irr_pos,0.3000613308800981,0.3333333333333333,positive,-0.033272002453235194
101,7,52,leave,irr_pos,0.25782747603833867,0.3333333333333333,positive,-0.07550585729499465
101,7,53,leave,irr_pos,0.04822245688137979,0.3333333333333333,positive,-0.28511087645195354
101,7,54,leave,irr_pos,0.22098698481561824,0.3333333333333333,positive,-0.11234634851771508
101,7,55,leave,irr_pos,0.34084975077142177,0.3333333333333333,positive,0.007516417438088452
101,7,56,leave,irr_pos,0.0,0.3333333333333333,positive,-0.3333333333333333
103,1,1,leave,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
103,1,2,take,irr_pos,0.08178699516606892,0.16666666666666666,positive,-0.08487967150059773
103,1,3,leave,irr_pos,0.07428227263601686,0.3333333333333333,positive,-0.2590510606973164
103,1,4,take,irr_pos,0.8078786931374082,0.3333333333333333,positive,0.4745453598040749
103,1,5,leave,irr_pos,0.5853531855955678,0.3333333333333333,positive,0.2520198522622345
103,1,6,take,irr_pos,0.9377568995889607,0.3333333333333333,positive,0.6044235662556274
103,1,7,take,irr_pos,0.5324889867841409,0.16666666666666666,positive,0.3658223201174743
103,1,8,take,irr_pos,0.0,0.16666666666666666,positive,-0.16666666666666666
103,2,9,take,irr_pos,0.04997031466455571,0.16666666666666666,positive,-0.11669635200211095
103,2,10,leave,irr_pos,0.20254022015241321,0.3333333333333333,positive,-0.1307931131809201
103,2,11,take,irr_pos,0.4322756499860218,0.16666666666666666,positive,0.2656089833193551
103,2,12,leave,irr_pos,0.18432039585588372,0.16666666666666666,positive,0.017653729189217066
103,2,13,take,irr_pos,0.24689503205128205,0.16666666666666666,positive,0.08022836538461539
