perm,cv_accuracy
0,0.5656565656565656
1,0.5896020506573272
2,0.5814527181361353
3,0.5651515151515152
4,0.5766394913603035
5,0.5620298462007003
6,0.5663849550784225
7,0.5840236536216435
8,0.5548223350253807
9,0.5644926421576167
10,0.5662231451571553
11,0.5615679407136692
12,0.5668874676412365
13,0.577696563626212
14,0.5601010101010101
15,0.5640398964519567
16,0.5789020861885183
17,0.5743090806542582
18,0.5799248769098015
19,0.5874173204122443
20,0.5808080808080809
21,0.586868686868687
22,0.5633979387786494
23,0.5799223389675651
24,0.5587305212933353
25,0.5749555860108624
26,0.5739429470585249
27,0.5582508502106492
28,0.5754758641693315
29,0.5589767016902696
30,0.563819095477387
31,0.5667250393381045
32,0.5812268412770926
33,0.5680279956929702
34,0.5761113674819258
35,0.5706106289020861
36,0.5709762600625544
37,0.5727939291391069
38,0.5774123140957311
39,0.5740749200548196
40,0.5795924064768285
41,0.5842075578116187
42,0.5810772701635646
43,0.5996205711941752
44,0.5780802953391785
45,0.5678671133445004
46,0.5662026354919756
47,0.5715454032712916
48,0.5837216384955077
49,0.5871686407219402
50,0.575168773158723
51,0.5821053171306978
52,0.5940265600164077
53,0.5794082961595651
54,0.5556657950058965
55,0.557309273640932
56,0.5742424242424243
57,0.5846835186031166
58,0.5683924673874422
59,0.5665128441778188
60,0.5741002994771839
61,0.5742424242424243
62,0.5767676767676768
63,0.5837419420333994
64,0.591218719861936
65,0.5613726093421525
66,0.5735297133774291
67,0.5824052709839511
68,0.5847596568702096
69,0.5633546520481193
70,0.5811507030099995
71,0.5766574373173358
72,0.5673722146083955
73,0.5663062788690929
74,0.5766661590782194
75,0.59385222786238
76,0.5974747474747475
77,0.5568502281700252
78,0.5494644941881123
79,0.5533097472183766
80,0.5757575757575758
81,0.5932189919499564
82,0.5659488283853766
83,0.5922088909398553
84,0.5694713633799928
85,0.5782828282828283
86,0.5963826078039276
87,0.5861508485873969
88,0.5758717831582153
89,0.5734226689000558
90,0.5707070707070707
91,0.5696969696969696
92,0.5790750141003949
93,0.5916197147352926
94,0.5774884523628243
95,0.5686868686868686
96,0.593723668849297
97,0.573142593447162
98,0.564141414141414
99,0.5964646464646464
100,0.5904040404040404
101,0.5724404852545556
102,0.5601010101010102
103,0.5793595857047634
104,0.5791749987181459
105,0.5777777777777778
106,0.5878787878787879
107,0.5813131313131313
108,0.5685168265570276
109,0.5655550479671082
110,0.5743295903194381
111,0.5591601292108906
112,0.5825465712400386
113,0.5557763565301254
114,0.5644104360184762
115,0.5704814643900938
116,0.5707070707070707
117,0.6001192832851124
118,0.5871763318463825
119,0.5677536789211917
120,0.5678924927668645
121,0.5818181818181819
122,0.5636262118674179
123,0.5758819349271611
124,0.5957262985181766
125,0.5699789775931907
126,0.5751763869854323
127,0.5762626262626263
128,0.5879685176639492
129,0.5527409776153493
130,0.5828282828282829
131,0.5755781161872533
132,0.5718669103091214
133,0.5712121212121212
134,0.5648520379676158
135,0.5634774137312208
136,0.561192325262677
137,0.5580808080808081
138,0.5803594318822746
139,0.5696969696969697
140,0.5784097253946501
141,0.5636084462717629
142,0.5720043070296876
143,0.5873128267600629
144,0.5910715192122228
145,0.5621212121212121
146,0.5831179818489464
147,0.5630120298462007
148,0.57308512258261
149,0.5497641388504333
150,0.5880995888533577
151,0.5688543728744733
152,0.5718838127467569
153,0.5624866758032587
154,0.5889555453007229
155,0.5846305696559504
156,0.5876839460595806
157,0.5860920765443378
158,0.5694051063397797
159,0.5842469925384498
160,0.5837076347228631
161,0.5845718491447134
162,0.568986822540122
163,0.5716710249705172
164,0.5593549710300979
165,0.5715018202327847
166,0.5661616161616162
167,0.5766661590782193
168,0.583535866276983
169,0.5563374865405323
170,0.5829907111314145
171,0.5660017258007207
172,0.5796082653950674
173,0.5713948530531445
174,0.548989898989899
175,0.569920308613776
176,0.5736245705788854
177,0.5784985533729252
178,0.5896959545200752
179,0.5711044454699277
180,0.5625425105324602
181,0.5704942829308312
182,0.5767676767676768
183,0.5777777777777777
184,0.5746637226536724
185,0.5841581645601747
186,0.5788570989078603
187,0.5608319374651033
188,0.5724074920054819
189,0.5804908380285265
190,0.5832368915283489
191,0.5750346100599907
192,0.5792929292929292
193,0.5667307593703532
194,0.5775112938429521
195,0.5836537968517664
196,0.5844511100856279
197,0.5818592011485413
198,0.5854423633318107
199,0.5655956550428912
200,0.5798723273342563
201,0.5880691335465205
202,0.5522435409370082
203,0.584528704126694
204,0.5740926856504747
205,0.573545095626314
206,0.5638800060910614
207,0.575998680270037
208,0.5804223135881428
209,0.5822129928728914
210,0.5872569920308613
211,0.5466143850565961
212,0.5744784528704127
213,0.572281187509614
214,0.5611111111111111
215,0.5823232323232324
216,0.563504390640069
217,0.5758159484290137
218,0.5825389574133293
219,0.5889350356355433
220,0.5892594284554084
221,0.5828282828282827
222,0.5920993858179788
223,0.5869404706968159
224,0.5786965128673671
225,0.5849296990000508
