value_source,feature_set,visit_type,visit_normalization,regularization,n_folds,seed,n_bootstrap,n_sims,n_subjects,n_rows_total,n_rows_cv,cv_mean,cv_sem,perm_mean,perm_sd,perm_lo,perm_hi,perm_p95,perm_p,term,coef_mean,coef_lo,coef_hi
recalled,location_interactions,all,within,l2,10,1,1000,10000,41,1999,1986,0.60269783259733,0.009055991538887502,0.5752670317941037,0.011026583100583446,0.5537485406832141,0.5969696969696969,0.5934376762549352,0.0047,Irrelevant x Reward,-0.09597807004669852,-0.16287672582177465,-0.03572877747490128
recalled,location_interactions,all,within,l2,10,1,1000,10000,41,1999,1986,0.60269783259733,0.009055991538887502,0.5752670317941037,0.011026583100583446,0.5537485406832141,0.5969696969696969,0.5934376762549352,0.0047,Relevant x Reward,0.21702113714997903,0.1579046976207517,0.30467014883719173
