subject,game,recalled_item,time_rel,bin_center,x_rot,y_rot,duration
109,1,Animal_Sea_Pattern_Small,-1461.0,-1450.0,247.33750892026032,-36.798867932588564,238.0
109,1,Animal_Sea_Pattern_Small,-1069.0,-1050.0,123.64874335724184,-112.03409421321224,168.0
109,1,Animal_Sea_Pattern_Small,115.0,150.0,279.2860315483227,-6.862403514020727,209.0
109,1,Animal_Sea_Pattern_Small,365.0,350.0,59.64113576837424,-49.09852262806244,202.0
109,1,Object_Sea_Solid_Large,-2161.0,-2150.0,91.79999999999995,-232.5999999999999,238.0
109,1,Object_Sea_Solid_Large,-1769.0,-1750.0,-35.200000000000045,-163.0999999999999,168.0
109,1,Object_Sea_Solid_Large,283.0,250.0,138.0999999999999,21.40000000000009,132.0
109,1,Animal_Land_Solid_Small,-717.0,-750.0,209.5,-23.500000000000025,266.0
109,1,Animal_Land_Solid_Small,4.0,50.0,149.20000000000005,16.59999999999989,239.0
109,1,Object_Land_Solid_Small,-2610.0,-2650.0,-218.05167959630342,53.723412263472724,438.0
109,1,Object_Land_Solid_Small,-1159.0,-1150.0,107.22437415779606,313.7180638510778,473.0
109,1,Object_Land_Solid_Small,137.0,150.0,76.43838820721476,54.59517202356942,482.0
109,1,Object_Sea_Pattern_Large,-2895.0,-2850.0,160.57524848640026,-211.32448881644262,193.0
109,1,Object_Sea_Pattern_Large,-2247.0,-2250.0,55.88847577293366,-216.80167959630347,225.0
109,1,Object_Sea_Pattern_Large,-1694.0,-1650.0,101.45602910474726,-204.9269971436089,532.0
109,1,Object_Sea_Pattern_Large,-170.0,-150.0,114.29505240657278,-99.3648378219317,119.0
109,1,Object_Sea_Pattern_Large,138.0,150.0,159.1868923304632,-16.519785415358953,414.0
109,2,Animal_Land_Solid_Large,-2931.0,-2950.0,-113.70000000000005,-146.5,162.0
109,2,Animal_Land_Solid_Large,-1271.0,-1250.0,-21.0,-67.79999999999995,239.0
109,2,Animal_Land_Solid_Large,-998.0,-950.0,-233.4000000000001,-208.0999999999999,207.0
109,2,Animal_Land_Solid_Large,-748.0,-750.0,-297.20000000000005,-147.70000000000005,75.0
109,2,Animal_Land_Solid_Large,-8.0,-50.0,-469.0999999999999,-101.79999999999995,79.0
109,2,Animal_Land_Solid_Large,100.0,150.0,-447.5,-53.200000000000045,17.0
109,2,Animal_Sea_Pattern_Large,-2507.0,-2550.0,462.62211861108676,-288.0850141395582,207.0
109,2,Animal_Sea_Pattern_Large,-2266.0,-2250.0,405.2160524967123,152.545209033197,230.0
109,2,Animal_Sea_Pattern_Large,-1641.0,-1650.0,109.42614131981836,-83.9316364421376,22.0
109,2,Animal_Sea_Pattern_Large,-1606.0,-1650.0,77.29563694509234,-99.47997039229789,151.0
109,2,Animal_Sea_Pattern_Large,325.0,350.0,-433.31359968398715,293.92117026322745,189.0
109,3,Animal_Sea_Pattern_Large,-1460.0,-1450.0,429.4224589572633,142.61848317485908,217.0
109,3,Animal_Sea_Pattern_Large,-925.0,-950.0,-11.038507824211386,-131.0807436087194,134.0
109,3,Animal_Sea_Pattern_Large,398.0,350.0,-231.77490318187392,125.64590823036326,204.0
109,3,Animal_Sea_Pattern_Large,632.0,650.0,-35.95613021693018,-136.92215562071445,173.0
109,3,Object_Land_Solid_Small,-2560.0,-2550.0,-338.22245895726303,300.581516825141,217.0
109,3,Object_Land_Solid_Small,-2025.0,-2050.0,119.0385078242114,55.9807436087193,134.0
109,4,Animal_Sea_Solid_Small,-2901.0,-2950.0,46.9000000000001,58.5999999999999,209.0
109,4,Animal_Sea_Solid_Small,-2104.0,-2150.0,7.400000000000104,111.0,383.0
109,4,Animal_Sea_Solid_Small,-1694.0,-1650.0,86.70000000000007,216.0,462.0
109,4,Animal_Sea_Solid_Small,-1209.0,-1250.0,-26.79999999999994,121.70000000000005,128.0
109,4,Animal_Sea_Solid_Small,-735.0,-750.0,-99.09999999999991,38.000000000000014,135.0
109,4,Animal_Sea_Solid_Small,144.0,150.0,61.29999999999995,-64.20000000000006,544.0
109,4,Object_Land_Solid_Small,-2709.0,-2750.0,-118.79529164056618,37.64051917857717,128.0
109,4,Object_Land_Solid_Small,-2235.0,-2250.0,-82.45896534380866,-66.82311751503775,135.0
109,4,Object_Land_Solid_Small,441.0,450.0,-29.991895438331824,-359.3474867144837,229.0
109,4,Object_Sea_Solid_Large,-225.0,-250.0,-70.0,-17.0,324.0
109,4,Object_Sea_Solid_Large,376.0,350.0,51.299999999999955,128.5,202.0
109,4,Object_Sea_Solid_Large,603.0,650.0,-73.79999999999995,18.90000000000009,202.0
109,4,Animal_Sea_Pattern_Small,-1325.0,-1350.0,-20.277568135664552,-69.1217782649107,324.0
109,4,Animal_Sea_Pattern_Small,83.0,50.0,-58.14275126212239,-57.30619927783533,251.0
109,4,Animal_Land_Pattern_Large,-2983.0,-2950.0,-53.21777901934307,282.77589712747505,303.0
109,4,Animal_Land_Pattern_Large,-2659.0,-2650.0,-17.630265140732714,104.13651497465939,199.0
109,4,Animal_Land_Pattern_Large,167.0,150.0,108.17816622064791,140.62991983620654,154.0
109,5,Animal_Land_Solid_Large,-2780.0,-2750.0,-59.700000000000045,-101.70000000000005,175.0
109,5,Animal_Land_Solid_Large,-1713.0,-1750.0,-90.90000000000009,-213.5999999999999,179.0
109,5,Animal_Land_Solid_Large,-1211.0,-1250.0,-111.90000000000009,-245.9000000000001,312.0
109,5,Animal_Land_Solid_Large,-876.0,-850.0,-189.5,-425.0,401.0
109,5,Animal_Land_Solid_Large,-451.0,-450.0,-11.599999999999909,-485.79999999999995,399.0
109,5,Animal_Land_Solid_Large,-8.0,-50.0,-91.70000000000005,-301.9000000000001,230.0
109,5,Object_Sea_Pattern_Small,-2511.0,-2550.0,-157.00564679059337,219.8582426834789,312.0
109,5,Object_Sea_Pattern_Small,-2176.0,-2150.0,-273.3107966083862,376.61181401715123,401.0
109,5,Object_Sea_Pattern_Small,-1751.0,-1750.0,-414.9151411584802,252.9458946838996,399.0
109,5,Object_Sea_Pattern_Small,-1308.0,-1350.0,-215.60306940252195,230.36452952703323,230.0
109,5,Object_Sea_Pattern_Small,555.0,550.0,48.213687249706226,-175.29144406327288,216.0
109,5,Object_Sea_Pattern_Large,-2908.0,-2950.0,307.30306940252217,71.53547047296692,230.0
109,5,Object_Sea_Pattern_Large,-392.0,-350.0,53.619628788734616,334.528078654929,253.0
109,5,Object_Sea_Pattern_Large,508.0,550.0,11.893404861547094,-83.1999814951862,242.0
109,5,Animal_Sea_Solid_Small,-2892.0,-2850.0,-262.9000000000001,213.70000000000007,253.0
109,5,Animal_Sea_Solid_Small,-1538.0,-1550.0,145.79999999999998,151.20000000000002,268.0
109,5,Animal_Sea_Solid_Small,-932.0,-950.0,88.50000000000004,386.9000000000001,319.0
109,5,Animal_Sea_Solid_Small,-593.0,-550.0,183.40000000000015,413.0999999999999,243.0
109,5,Animal_Sea_Solid_Small,-312.0,-350.0,-62.90000000000008,140.29999999999995,188.0
109,5,Animal_Sea_Solid_Small,436.0,450.0,-66.70000000000006,-92.89999999999996,231.0
109,6,Animal_Land_Pattern_Large,-1393.0,-1350.0,-301.4868047647443,65.19046366413568,284.0
109,6,Animal_Land_Pattern_Large,-596.0,-550.0,-31.82782587447176,100.3274115090402,335.0
109,6,Animal_Land_Pattern_Large,-237.0,-250.0,-81.21360464233734,266.26608950633977,148.0
109,6,Animal_Land_Pattern_Large,237.0,250.0,-2.375593790926459,146.3146491440298,278.0
109,6,Animal_Sea_Pattern_Large,-883.0,-850.0,327.9094117605177,-472.55576144924026,23.0
109,6,Animal_Sea_Pattern_Large,-793.0,-750.0,301.00833024919757,-495.36172149308226,22.0
109,6,Animal_Sea_Pattern_Large,-641.0,-650.0,228.5011690770389,-524.1756344303182,76.0
109,6,Animal_Sea_Pattern_Large,-80.0,-50.0,233.47093598758408,-188.9835232211567,176.0
109,6,Animal_Sea_Pattern_Large,389.0,350.0,3.6855210290584637,-75.58350967469264,209.0
109,6,Animal_Sea_Pattern_Large,624.0,650.0,258.6171574711958,-262.3380564491524,468.0
109,6,Object_Land_Pattern_Small,-1783.0,-1750.0,-245.2905882394823,-520.2557614492403,23.0
109,6,Object_Land_Pattern_Small,-1693.0,-1650.0,-278.4916697508024,-508.36172149308214,22.0
109,6,Object_Land_Pattern_Small,-1541.0,-1550.0,-339.69883092296106,-459.97563443031805,76.0
109,6,Object_Land_Pattern_Small,-980.0,-950.0,-46.92906401241599,-296.6835232211567,176.0
109,6,Object_Land_Pattern_Small,208.0,250.0,-24.347924543079074,-378.77184236746604,368.0
109,6,Object_Land_Pattern_Small,594.0,550.0,87.7852077758099,-257.95155997930675,333.0
109,6,Object_Sea_Solid_Small,-2993.0,-2950.0,579.5,12.999999999999929,22.0
109,6,Object_Sea_Solid_Small,-2841.0,-2850.0,568.2,-64.20000000000012,76.0
109,6,Object_Sea_Solid_Small,-2280.0,-2250.0,280.4000000000001,107.70000000000002,176.0
109,6,Object_Sea_Solid_Small,257.0,250.0,191.5,62.29999999999993,360.0
109,6,Object_Land_Solid_Small,-885.0,-850.0,84.37423603598553,190.5404636641357,400.0
109,6,Object_Land_Solid_Small,-467.0,-450.0,114.45590948775076,299.8434504592886,168.0
109,6,Object_Land_Solid_Small,-277.0,-250.0,-75.9037230019467,366.3308952769938,435.0
109,6,Object_Land_Solid_Small,200.0,250.0,38.67128129211025,60.58062399172261,268.0
109,6,Object_Land_Solid_Small,490.0,450.0,181.57457638216172,-14.303608343300013,558.0
109,6,Animal_Sea_Solid_Large,-2528.0,-2550.0,-98.79999999999995,309.70000000000005,323.0
