effect,component,term,estimate,std.error,conf.low,conf.high
fixed,cond,(Intercept),-0.011532682670943605,0.0015364168738697627,-0.014581233072136558,-0.008549335982832189
fixed,cond,position_bin,0.00776250981150076,3.467474547154732e-4,0.007090798752618061,0.008435555256504183
