metric,mean,ci_lo,ci_hi,n_subjects
allfix_count_relevant_per_trial,4.767058659826096,4.50016778618056,5.053836641320105,5
allfix_count_irrelevant_per_trial,4.246573872600937,4.024319257073794,4.490261302426601,5
allfix_duration_mean_relevant,1.3027915608649576,1.300789368687179,1.3049827100186995,5
allfix_duration_mean_irrelevant,1.2541400365383133,1.2491770569808278,1.2586157192201055,5
firstfix_count_relevant_per_trial,2.404619375976746,2.3638192307808135,2.4493378324611834,5
firstfix_count_irrelevant_per_trial,2.2474734129260234,2.203799735493225,2.2959015890951187,5
firstfix_duration_mean_relevant,1.3083458771858507,1.3061843467366008,1.312015838687511,5
firstfix_duration_mean_irrelevant,1.2636831778059254,1.2579795516098207,1.268465739144615,5
revisit_count_relevant_per_trial,2.3624392838493486,2.1355499955942365,2.6052323852172643,5
revisit_count_irrelevant_per_trial,1.999100459674913,1.8205195215805687,2.1943597133314836,5
revisit_duration_mean_relevant,1.2972137193622686,1.2950507682242822,1.2993732573684293,5
revisit_duration_mean_irrelevant,1.2433037208632685,1.2389551585965424,1.2475771528747959,5
firstfix_prop_time_relevant,0.5255765397219447,0.5244779148275107,0.5266942712185669,5
firstfix_prop_time_irrelevant,0.4744234602780554,0.4733057287814332,0.4755220851724893,5
revisit_prop_time_relevant,0.5518811066605037,0.5471137366947032,0.556614832787255,5
revisit_prop_time_irrelevant,0.44811889333949617,0.44338516721274485,0.45288626330529674,5
time_share_firstfix,0.520403404555951,0.5010630914882527,0.5385217215519723,5
time_share_revisit,0.479596595444049,0.4614782784480278,0.4989369085117473,5
