drop_pct,retained_frac,cv_mean,cv_sem
90,0.09999999999999998,0.562362840594007,0.0011372762311378838
80,0.19999999999999996,0.5881167276053174,0.0008524593308277069
70,0.30000000000000004,0.6119656419524563,0.0008897884913064923
60,0.4,0.6346034713969668,0.0006323700091226003
50,0.5,0.6550397882315321,0.0009024515739230644
40,0.6,0.6755772179885037,0.000829189588781341
30,0.7,0.6940699905582798,0.0008370420173676039
20,0.8,0.7138219526416838,0.0005908787410830906
10,0.9,0.7328233699744013,0.0004770671790428862
0,1.0,0.7513210832882964,0.0007308218427213943
