time_col,include_transition,irrelevant_mode,include_center_fixations,center_gaze_mode,center_mode,reward_scale,n_v_bins,rt_bins_max,rt_bins_fixed,min_trials_per_rt_bin,n_sim_per_vbin,alpha,d_min,d_max,theta_min,theta_max,sigma_min,sigma_max,mu_min,mu_max,fix_mu,phi_center_min,phi_center_max,setting,heldout_game,fold,mode,split_by,n_folds,n_train_trials,n_test_trials,d,theta,sigma,mu,phi_center,noise_param,loglik_train,loglik_test,seed
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,8.0,8,fit,subject,10,1815,184,0.00012289408737,1.0,0.0122881117616462,99.98944639743422,1.0,mu,-3779.622891659628,-361.01888256981624,9004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,3.0,3,fit,subject,10,1792,207,0.0001353458209066,1.0,0.013533153704663,99.98944639743422,1.0,mu,-3622.853489561906,-379.17369528887457,4004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,4.0,4,fit,subject,10,1796,203,0.0001291584956995,1.0,0.0129144864825204,99.98944639743422,1.0,mu,-3583.3502355148894,-417.249657557718,5004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,2.0,2,fit,subject,10,1787,212,0.0001316372311588,1.0,0.0131623338688683,99.98944639743422,1.0,mu,-3615.314766404036,-402.4040797714231,3004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,9.0,9,fit,subject,10,1817,182,0.0001310299150046,1.0,0.0131029908117301,99.99999474369876,1.0,mu,-3669.3332932014096,-366.7161352610449,10004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,5.0,5,fit,subject,10,1798,201,0.0001289752014274,1.0,0.012897519464813,99.99999474369876,1.0,mu,-3601.571659085185,-406.7729854391202,6004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,6.0,6,fit,subject,10,1808,191,0.0001402880736013,1.0,0.0140089472441194,99.85843332578324,1.0,mu,-3666.6352631484474,-388.3761145958704,7004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,1.0,1,fit,subject,10,1785,214,0.0001295692335505,1.0,0.0129569233523304,99.99999997897012,1.0,mu,-3614.116082768266,-430.10820886205966,2004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,0.0,0,fit,subject,10,1782,217,0.0001364023322074,1.0,0.0136402332204688,99.99999999796914,1.0,mu,-3581.4884519541497,-416.4568939322398,1004
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,1.0,1e-05,0.1,1.0,100.0,,0.0,10.0,theta1-rtTrans,7.0,7,fit,subject,10,1811,188,0.00013388286761086883,1.0,0.013388283364092509,99.99997462711671,1.0,mu,-3685.504463332129,-388.70459709873603,8004
