heldout_game,free3-rtTrans,theta1-rtTrans
0.0,-349.21026580671236,-359.3594753400109
1.0,-359.02661435807266,-370.3494122224074
2.0,-358.0489214583378,-368.35175902457627
3.0,-328.5683446422246,-335.5128716372981
4.0,-346.7198767324974,-359.7623417860708
5.0,-338.21806631918685,-365.60301063218446
6.0,-331.6135792603574,-342.08118655753157
7.0,-321.91144596951403,-327.04166576098226
8.0,-317.03572892047595,-325.9698858360265
9.0,-305.1942416379875,-314.7147868401566
