share_k_z,dist_cw_z,dist_ccw_z,enc_lag_fwd_z,enc_lag_bwd_z,is_primacy_k_z,is_recency_k_z,abs_reward_k_z,signed_reward_k_z,is_prev_fixation_k_z
-0.0019704680813722665,6.952465306588871e-4,0.0016095712349263902,0.009523712338797577,-0.0015252722899610036,0.0030391004672755363,-0.004007185710911448,0.00318148416426379,-0.0036786424374456055,-0.005427131697504211
0.007413836102499072,0.003906833853503197,-9.870264478382353e-4,0.006699905025331332,-0.003332924154591748,0.003957921164028109,-0.008964694067533046,0.0030534594615299437,-0.0019842989331287438,5.067923766925007e-4
0.007988227053550153,8.381289088980838e-4,0.004418737201041757,-0.004980015424795136,0.0010224428161387513,0.0011282015596349969,0.006249338609195783,0.003636395378122909,-0.00239493656916574,-0.008251309484283494
0.004252015435096684,-0.001404606213940278,6.924912586843135e-4,0.004727125699145986,-0.005396033996900638,7.554399787611697e-4,-0.005934673145759066,0.0058685722841178845,5.556343834404148e-4,-0.0025728101159911746
0.007142504441943324,0.0021847435379331896,-0.0016280285684000758,0.0013616978868456935,-8.515720614480238e-4,0.002447713719425353,-0.0040507842715998815,0.003909046374429726,-0.006620897456321862,1.816542494922585e-4
-0.0054105808056184,6.300235637528142e-4,-0.002871041254300579,0.007043142153582002,-0.0027341437100305115,0.0023578216461468977,-0.0020114672824885515,0.002476574710003978,-0.0035901491750373435,-0.0032692128711346935
-0.00295748725142543,0.0012862081418077223,-0.003566489035682057,0.0010971253393621504,0.005105149208304244,0.0013594029102817476,-0.0014525288737343794,-0.003795500413459052,0.002527534141181241,-0.004158628657943384
0.0020718239971799085,0.0022575525007439727,-0.002935707342474579,0.007857482983490986,-0.008157911777203514,0.0048014498133794594,-0.007177491065826435,0.002466357276002726,-0.006698323642328987,1.9079058841971436e-4
0.0022981754824451753,0.003025390938905191,-0.002798727912963271,-0.005264701708543489,-0.006023247931425638,-3.419961863732172e-4,3.1634097365973446e-4,0.001417773536893657,0.004000264431770566,-0.0033654958509321954
0.002634482678904604,-0.0012569466725356642,-0.0032484461718693884,-0.0063560724074309,-0.004209745694695163,-0.004117155496054226,0.0011889390059196558,0.0021600314249392884,-9.364407319104864e-6,-0.005313640656242724
