share_k_z,dist_cw_z,dist_ccw_z,enc_lag_fwd_z,enc_lag_bwd_z,is_primacy_k_z,is_recency_k_z,abs_reward_k_z,signed_reward_k_z,is_prev_fixation_k_z
0.06138723491009155,-0.05578055314178302,-0.08594846000385833,-0.07792617962494156,-0.02051843825250546,-0.010958461438338821,0.008679479962479872,0.018246556168006748,-0.006331399654017865,0.03843012632194964
0.06118808179513244,-0.0743267462096682,-0.11782987577854653,-0.11715131519821656,0.01074949056305343,-0.027750182056410944,0.06406403396921896,0.040520071361202094,0.022349961224973434,0.12214915038202438
0.05723152841077279,-0.06309845822107388,-0.15168125304894334,-0.0857193443525284,0.06890593766782903,-0.05413684482798474,0.01601726058836301,0.02849197386502958,0.016371279055063855,0.09495951424225132
0.052537073080058255,-0.075213014717302,-0.08872298231231002,-0.001373879364369761,-0.0191238923948576,-0.01638966590429968,0.0034617594681012748,0.021102648189993717,0.015528218383218289,0.06392308278046356
0.04515284306434153,-0.0494740320692842,-0.054033183074119195,-0.07524300815278828,-0.013083820784253124,-0.011406878350401857,0.011052522622226823,0.033738353624164025,0.019138063623316368,0.09730171432068484
0.03647020744578487,-0.054246938434061254,-0.0931505498535376,-0.05306501595743201,-0.03673246196117733,0.008145197292813936,0.008763848851358658,0.03982680804108265,-0.0020694175338572484,0.09304646121432147
0.08051499792529916,-0.05905772148411432,-0.1588443381638612,-0.08823443634149494,-0.030513289687348965,0.04893381604488675,0.02444450659966318,0.014095565866400763,-0.005659137468577307,0.1120346044062215
0.040442916065501586,-0.07056665754019266,-0.07174891670332348,-0.14669070864212772,-0.028963041299886937,0.04407990075710043,0.05881434415304336,0.03164136934146876,0.03873432582289403,0.1414438174843265
0.05048240983251265,-0.07821736313458501,-0.08071241527031103,-0.041031783813247534,-0.009598802037531155,-4.2467565890599943e-4,0.014683846003424171,0.009513341629068877,-0.010990886039522483,0.12267934775184441
0.06201490742017292,-0.05660161908004375,-0.0905291472810124,-0.07376573830809029,0.03867489136270763,0.006547877231368505,0.07436462715824878,0.025731551456812406,0.009050464930752115,0.10467681549452088
0.05735331777359323,-0.07228383759061942,-0.12179711165568657,-0.09517628793423875,-0.03650381651756373,0.003104071137080963,0.027662911672231328,0.02946173985946043,0.01623755381770617,0.10115609820904041
0.06728881217366009,-0.06495000984679827,-0.1015129924433232,-0.06030186706314388,0.00438502535108196,-0.035609521046592194,-0.038486100090411916,0.02833402861344769,0.02212634941830924,0.058408460477051574
0.059697060497028845,-0.07377376297139575,-0.10711927180450741,-0.035066016068558525,0.03183816029964423,-0.02522439452329103,0.024384911381807765,0.024448234263100506,0.011446360698959516,0.10505851074929311
0.054119720124095785,-0.04591885943270238,-0.08333525174844239,-0.06886677534682045,-0.035365559761377625,0.010879402862152825,0.01728968105699535,0.026355186116552975,0.022071771135047234,0.0779641499524659
0.03801406593404916,-0.06557795855432927,-0.12320835581953038,-0.05756277434159885,0.07350857047179611,-0.028552075246457836,0.0607336607246396,0.01138573592461237,0.018866032094951423,0.07843677272445726
0.06668735487979638,-0.06730108323610758,-0.14099571277155107,-0.05129513888576759,0.0067100561912338055,-0.013961799391655122,0.030352290783242572,0.033396446392675444,0.008501006037429641,0.11089996924742011
0.10465413117287772,-0.0860315691682445,-0.08885407242353757,-0.06397830190706434,-0.05372526909567465,0.013408333034806458,0.021696181711314894,0.06200023738206004,0.014076284944044167,0.011746616896814192
