subject,predictor,mean,sd,lo,hi
101,share_k_z,0.05433360770433397,0.03591916167684644,-0.0203643207273699,0.12369851173451626
101,dist_cw_z,-0.022915847074427335,0.03917775835765378,-0.10003442283344542,0.057109666829659914
101,dist_ccw_z,-0.10411770263583517,0.049395838136886805,-0.19868193263211167,-0.007899181401951285
101,enc_lag_fwd_z,0.0950300784071232,0.0918565453317174,-0.06977075842243682,0.2865570664044054
101,enc_lag_bwd_z,0.042556050940627706,0.08488000605605779,-0.11860422134229252,0.21535810126916485
101,is_primacy_k_z,-0.0957788643081748,0.0627115226780706,-0.22358358425377273,0.02122157615902529
101,is_recency_k_z,-0.040189588166604936,0.05947230785697985,-0.16877793463930016,0.06151293966134276
101,abs_reward_k_z,0.012853023131667857,0.05001715384857407,-0.0860438436634396,0.11169537246239182
101,signed_reward_k_z,0.0038020462185495373,0.04134664057561218,-0.07750169976764892,0.0870558119124537
101,is_prev_fixation_k_z,0.09392956335246672,0.0471947752797045,-5.558654124326027e-4,0.18662610328006662
103,share_k_z,0.059966701087567735,0.03701487011450631,-0.013912204843881597,0.13506585981821403
103,dist_cw_z,-0.09990258620028997,0.03877698653469965,-0.18013827999317203,-0.025117383327326645
103,dist_ccw_z,-0.11421619527318191,0.04335049658715954,-0.1978375332099878,-0.029813368288964328
103,enc_lag_fwd_z,-0.050185236640557206,0.0871367150484963,-0.21042496595585652,0.1313196956045638
103,enc_lag_bwd_z,-0.14754892425257501,0.087136501197742,-0.32631196798442175,0.017533036122186048
103,is_primacy_k_z,0.14563158902296489,0.06062769072360651,0.02699674803968986,0.2657379936027668
103,is_recency_k_z,-0.09471476848367327,0.06883682776604438,-0.23791230785191686,0.024894660401350664
103,abs_reward_k_z,-0.10655144164316063,0.05574490868527456,-0.213972982503388,-9.909112239477737e-4
103,signed_reward_k_z,-0.06721690913588795,0.05147647300846651,-0.1674326348488048,0.02902170887446536
103,is_prev_fixation_k_z,0.2836556621168516,0.033589847374109416,0.21454596045655247,0.3478503468426775
104,share_k_z,0.061065313540162904,0.051865747039989744,-0.042859394250677994,0.16511427204020862
104,dist_cw_z,-0.0703087672048196,0.05613907048087866,-0.18781918053303293,0.04043385694789101
104,dist_ccw_z,-0.09555599330844348,0.09191696900355727,-0.2770217393761304,0.08634574805324494
104,enc_lag_fwd_z,-0.059912659288339394,0.11920955183305842,-0.2874940145655174,0.18454848604103674
104,enc_lag_bwd_z,0.028573699721458554,0.13417698775829967,-0.21732003153405455,0.3059292222281101
104,is_primacy_k_z,0.018280107111121442,0.08373493442000866,-0.14433224608010806,0.18010762172130002
104,is_recency_k_z,0.06024067580128558,0.07984564482400786,-0.07965101428584027,0.24005341317565
104,abs_reward_k_z,0.012827553747664585,0.07595978638616087,-0.13344796493972425,0.1631144125503698
