variable,mean,sd,median,2.5%,50%,97.5%,rhat,ess_bulk,predictor
beta[1],0.0614829349622042,0.01429809482332223,0.06153872069759112,0.03317116909723181,0.06153872069759112,0.09045838391321537,1.0033191448495458,997.337142757113,share_k_z
beta[2],-0.06902508086762466,0.01579738099328536,-0.06874118000695986,-0.10222474290798768,-0.06874118000695986,-0.03938925838613592,1.008354194018206,811.7744280339745,dist_cw_z
beta[3],-0.1076613718199476,0.022134051303282887,-0.10776962793389913,-0.1512269780978615,-0.10776962793389913,-0.06563779242004653,1.0078874850484176,726.813539370824,dist_ccw_z
beta[4],-0.07669963716755245,0.032076436405887074,-0.07712659289285065,-0.138561128365131,-0.07712659289285065,-0.01398851516103362,1.005765294786048,914.452032891981,enc_lag_fwd_z
beta[5],-0.01175336357133074,0.034933625676315694,-0.013249012183801326,-0.07661643945063636,-0.013249012183801326,0.06238406339593885,1.000621064879648,1080.7799185961555,enc_lag_bwd_z
beta[6],-7.955985903441687e-4,0.02325372149182459,-5.12004782353406e-4,-0.04816229950298656,-5.12004782353406e-4,0.04459913006271648,1.0010706961762852,1141.722475600898,is_primacy_k_z
beta[7],0.021376430654398208,0.022211469913439336,0.02008303872606605,-0.020088270484945665,0.02008303872606605,0.06699167549823284,1.0067922024716567,862.1100844684984,is_recency_k_z
beta[8],0.019357482531408742,0.018674299128847896,0.0193840687271501,-0.01843154776721399,0.0193840687271501,0.05393502988270316,1.0025743139517451,1288.6273062368064,abs_reward_k_z
beta[9],0.01485214998502338,0.01573395267526482,0.014732595431578455,-0.015453157428577665,0.014732595431578455,0.046718996761543376,1.000647863786104,1588.1540481475563,signed_reward_k_z
beta[10],0.08813813890656437,0.0301644682952597,0.0895225290540565,0.02555937616936122,0.0895225290540565,0.14275362581061457,1.0020699552521175,1109.8104576374067,is_prev_fixation_k_z
