subject,decision_label,category,mean_prop,relevance,valence_label
901,leave,rel_pos,0.23023291391186262,relevant,positive
901,take,rel_pos,0.33860812584894673,relevant,positive
902,leave,rel_pos,0.2339940317939627,relevant,positive
902,take,rel_pos,0.3390405624996614,relevant,positive
903,leave,rel_pos,0.2339535067829992,relevant,positive
903,take,rel_pos,0.34092646427310397,relevant,positive
904,leave,rel_pos,0.23271632717582308,relevant,positive
904,take,rel_pos,0.3397478597766241,relevant,positive
905,leave,rel_pos,0.240497436480687,relevant,positive
905,take,rel_pos,0.33773223985834555,relevant,positive
901,leave,rel_neg,0.36224058627172206,relevant,negative
901,take,rel_neg,0.24555900357257687,relevant,negative
902,leave,rel_neg,0.35350669178089206,relevant,negative
902,take,rel_neg,0.24375552849067364,relevant,negative
903,leave,rel_neg,0.35114661842577893,relevant,negative
903,take,rel_neg,0.23190214161592101,relevant,negative
904,leave,rel_neg,0.3582762619489471,relevant,negative
904,take,rel_neg,0.24198758161507886,relevant,negative
905,leave,rel_neg,0.3524496535740052,relevant,negative
905,take,rel_neg,0.24436306281997297,relevant,negative
