n_trials,n_fixations,allfix_count_relevant_per_trial,allfix_duration_mean_relevant,allfix_count_relevant,allfix_count_irrelevant_per_trial,allfix_duration_mean_irrelevant,allfix_count_irrelevant,firstfix_count_relevant_per_trial,firstfix_duration_mean_relevant,firstfix_count_relevant,firstfix_count_irrelevant_per_trial,firstfix_duration_mean_irrelevant,firstfix_count_irrelevant,revisit_count_relevant_per_trial,revisit_duration_mean_relevant,revisit_count_relevant,revisit_count_irrelevant_per_trial,revisit_duration_mean_irrelevant,revisit_count_irrelevant,firstfix_prop_time_relevant,firstfix_prop_time_irrelevant,revisit_prop_time_relevant,revisit_prop_time_irrelevant,time_share_firstfix,time_share_revisit,subject
63309,413250,3.6290890710641457,1.3066018437110998,229754,2.8984188661959593,1.2566813445524698,183496,2.072296198012921,1.3111017950379207,131195,1.74769779968093,1.2566225315197252,110645,1.556792873051225,1.3006118162724865,98559,1.1507210665150294,1.2567706688995346,72851,0.5529996881520275,0.4470003118479725,0.5833469855832241,0.4166530144167759,0.5860081048544348,0.4139918951455652,901
62633,382482,3.3708907444957132,1.2970837734276202,211129,2.7358261619274185,1.2547139530676439,171353,2.0014209761627257,1.3023174185313708,125355,1.6779652898631712,1.2544150110375276,105096,1.3694697683329875,1.289435026931238,85774,1.0578608720642473,1.255188131065397,66257,0.5532353280060728,0.4467646719939272,0.5707945191340025,0.42920548086599747,0.6036317814630634,0.3963682185369366,902
62501,361075,3.174125213996576,1.2868851632675693,198386,2.6029823522823636,1.2460031102287186,162689,1.933297067246924,1.292817359496164,120833,1.648901617574119,1.2477148790001746,103058,1.240828146749652,1.2776423864969764,77553,0.9540807347082446,1.2430447250591135,59631,0.5485038728660613,0.45149612713393866,0.5720545699126489,0.42794543008735114,0.6218234933222128,0.37817650667778724,903
62290,393599,3.490062610370846,1.3062061859463836,217396,2.828752608765452,1.2558980267078312,176203,2.0374538449189274,1.3140891792015001,126913,1.7221223310322684,1.256154971986837,107271,1.4526087654519184,1.2951493650741024,90483,1.1066302777331836,1.2554981721116463,68932,0.5531068836974834,0.44689311630251655,0.5752087290718735,0.4247912709281265,0.5967735231773137,0.40322647682268625,904
63315,408226,3.5639737818842296,1.3030936880963249,225653,2.883566295506594,1.249319450302071,182573,2.0737897812524677,1.30899757810239,131302,1.7572139303482588,1.248063060633842,111258,1.490184000631762,1.2948776377568865,94351,1.1263523651583354,1.2512795344597911,71315,0.5531279466805694,0.44687205331943064,0.5779014985241807,0.4220985014758193,0.595111646515583,0.404888353484417,905
