feature,coef,lo,hi,value_source,feature_set,visit_type,visit_normalization,regularization,n_folds,seed,n_bootstrap,n_sims
loc1_pt_x_val,0.031015772060613313,0.01064140788398298,0.049296653855229494,true,location_interactions,all,within,l2,10,1,50,0
loc1_pt_x_rel,0.0026585365007466676,-0.04643839802140751,0.056810556691299204,true,location_interactions,all,within,l2,10,1,50,0
loc1_pt_x_val_x_rel,0.41250412157788546,0.40799187058509057,0.42273551482699223,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_val,0.033783646186864386,0.013833763607975577,0.044998802932409245,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_rel,-0.041758905740138415,-0.06590514965376397,-0.004552441251712575,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_val_x_rel,0.4215484321042836,0.400472501207528,0.4422199307116543,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_val,0.015902215527680258,0.005065186598138044,0.029502050021243603,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_rel,-0.036616327571584804,-0.06396094653128793,-0.011985636486575796,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_val_x_rel,0.42292076496300485,0.4087816611932508,0.4344479727513995,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_val,0.03302666730812382,0.02033323869659536,0.04962322204157872,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_rel,-0.021918852565813163,-0.04702571537485938,-0.006451837390743011,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_val_x_rel,0.4076278337938195,0.3939860265217066,0.4347917954484291,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_val,0.03172216190846156,0.013569716989674244,0.04889652638639631,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_rel,0.010101638172892365,-0.03375251336795251,0.038129034243688464,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_val_x_rel,0.40001895518030123,0.38607899679687874,0.41778228718707566,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_val,0.020244299463494615,0.0010664959735548582,0.037721220710039666,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_rel,-0.04634650998288721,-0.08392200994433943,-0.023045103970989522,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_val_x_rel,0.4218357437447101,0.3933573731676025,0.45642022093276813,true,location_interactions,all,within,l2,10,1,50,0
