drop_pct,retained_frac,cv_mean,cv_sem
90,0.09999999999999998,0.5596371778684748,0.0013738638330495932
80,0.19999999999999996,0.570500955650818,0.0007777218202895463
70,0.30000000000000004,0.5814108870306608,0.0009363486187127782
60,0.4,0.5933481398913829,0.0008188324077832143
50,0.5,0.6054464739635346,0.0011101530412136278
40,0.6,0.6173489212311258,0.00045949130706434126
30,0.7,0.6289736317406478,0.0008944905822049023
20,0.8,0.6405472422263979,0.0006469657541537359
10,0.9,0.650785326876667,0.0009937681067523191
0,1.0,0.6615039890120382,0.0006253402885081377
