phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
encoding,fixation,12.804351208964363,14.322501791873947,1,1,Object_Land_Solid_Small,2,,,,,,,,,,,
encoding,image,14.322619708953425,15.34399341698736,1,1,Object_Land_Solid_Small,2,,,,,,,,,,,
encoding,value,15.34420616691932,21.36127687478438,1,1,Object_Land_Solid_Small,2,,,,,,,,,,,
encoding,attention,21.36141495895572,24.379193833796307,1,1,Object_Land_Solid_Small,2,+2,1,2.562478832900524,,,,,,,,
encoding,fixation,24.379368291934952,25.6343953339383,2,1,Object_Sea_Solid_Large,-5,,,,,,,,,,,
encoding,image,25.63450604188256,26.646492666797712,2,1,Object_Sea_Solid_Large,-5,,,,,,,,,,,
encoding,value,26.646609833929688,32.659643083810806,2,1,Object_Sea_Solid_Large,-5,,,,,,,,,,,
encoding,attention,32.65976212499663,35.677875499939546,2,1,Object_Sea_Solid_Large,-5,-5,1,1.3709962908178568,,,,,,,,
encoding,fixation,35.6780219997745,36.93392941681668,3,1,Animal_Land_Pattern_Small,-1,,,,,,,,,,,
encoding,image,36.934036541962996,37.94497574982233,3,1,Animal_Land_Pattern_Small,-1,,,,,,,,,,,
encoding,value,37.94516199990176,43.9568275839556,3,1,Animal_Land_Pattern_Small,-1,,,,,,,,,,,
encoding,attention,43.95695345895365,46.97519070887938,3,1,Animal_Land_Pattern_Small,-1,-1,1,1.2512453750241548,,,,,,,,
encoding,fixation,46.975353333866224,48.23236458399333,4,1,Animal_Land_Solid_Small,1,,,,,,,,,,,
encoding,image,48.232493249932304,49.24334299983457,4,1,Animal_Land_Solid_Small,1,,,,,,,,,,,
encoding,value,49.24344899994321,55.2543981669005,4,1,Animal_Land_Solid_Small,1,,,,,,,,,,,
encoding,attention,55.25455104187131,58.27144491695799,4,1,Animal_Land_Solid_Small,1,+1,1,0.9197737909853458,,,,,,,,
encoding,fixation,58.27160958386958,59.52654687478207,5,1,Object_Sea_Pattern_Large,5,,,,,,,,,,,
encoding,image,59.526674249907956,60.53813762497157,5,1,Object_Sea_Pattern_Large,5,,,,,,,,,,,
encoding,value,60.538250624900684,66.54899483383633,5,1,Object_Sea_Pattern_Large,5,,,,,,,,,,,
encoding,attention,66.5491739588324,69.6228139998857,5,1,Object_Sea_Pattern_Large,5,+5,1,1.9163520839065313,,,,,,,,
