game,original_item,item,onset,offset
1,PLUS,PLUS,1.9,2.7
1,9,9,2.7,2.8
1,MINUS,MINUS,6.1,6.8
1,2,2,6.8,7.0
1,PLUS,PLUS,12.2,12.6
1,1,1,12.6,13.2
1,MINUS,MINUS,16.1,16.7
1,2,2,16.7,17.4
1,PLUS,PLUS,20.7,21.0
1,1,1,21.0,21.4
1,MINUS,MINUS,25.8,26.3
1,2,2,26.3,26.7
2,MINUS,MINUS,2.1,3.0
2,1,1,3.0,3.2
2,PLUS,PLUS,8.4,8.8
2,4,4,8.8,9.5
2,PLUS,PLUS,12.4,12.8
2,9,9,12.8,13.1
2,PLUS,PLUS,14.9,15.2
2,5,5,15.2,15.5
2,MINUS,MINUS,17.1,18.3
2,3,3,18.3,18.4
2,MINUS,MINUS,20.4,21.2
2,3,3,21.2,21.7
3,MINUS,MINUS,2.9,3.8
3,3,3,3.8,4.1
3,MINUS,MINUS,7.2,8.0
3,8,8,8.0,8.3
3,PLUS,PLUS,10.9,11.5
3,9,9,11.5,11.6
3,PLUS,PLUS,13.1,14.0
3,8,8,14.0,14.3
3,MINUS,MINUS,17.6,18.4
3,9,9,18.4,19.0
3,MINUS,MINUS,20.3,21.3
3,5,5,21.3,22.7
4,,,0.0,0.6
4,,,9.4,9.5
4,PLUS,PLUS,16.7,17.3
4,1,1,17.3,17.4
4,MINUS,MINUS,22.1,22.9
4,7,7,22.9,23.7
4,MINUS,MINUS,26.6,27.2
4,7,7,27.2,27.7
4,MINUS,MINUS,31.7,32.0
4,3,3,32.0,32.3
5,PLUS,PLUS,2.0,2.7
5,3,3,2.7,2.9
5,PLUS,PLUS,4.6,5.7
5,3,3,5.7,5.9
5,PLUS,PLUS,8.3,9.0
5,3,3,9.0,9.1
5,PLUS,PLUS,11.6,12.1
5,4,4,12.1,12.2
5,MINUS,MINUS,15.0,15.4
5,8,8,15.4,15.9
5,MINUS,MINUS,18.6,19.1
5,4,4,19.1,19.3
6,+,+,1.0,1.8
6,9,9,1.8,1.9
6,MINUS,MINUS,5.3,6.2
6,3,3,6.2,6.5
6,MINUS,MINUS,7.9,9.3
6,1,1,9.3,9.4
6,+,+,12.0,12.6
6,9,9,12.6,12.8
6,MINUS,MINUS,14.3,15.3
6,3,3,15.3,15.6
6,MINUS,MINUS,19.3,19.7
6,7,7,19.7,20.1
7,+,+,1.6,2.3
7,3,3,2.3,2.4
7,MINUS,MINUS,4.8,5.7
7,9,9,4.8,5.7
7,MINUS,MINUS,9.3,10.2
7,5,5,10.2,10.8
7,MINUS,MINUS,12.3,13.5
7,3,3,13.5,13.6
7,+,+,17.0,17.7
7,5,5,17.7,17.8
7,MINUS,MINUS,19.7,20.5
7,1,1,20.5,20.8
