phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
encoding,fixation,14.024266374995932,14.542840749956667,1,1,Animal_Land_Solid_Large,2,,,,,,,,,,,
encoding,image,14.54295120795723,15.565867458004504,1,1,Animal_Land_Solid_Large,2,,,,,,,,,,,
encoding,value,15.566002540988848,21.582329832948744,1,1,Animal_Land_Solid_Large,2,,,,,,,,,,,
encoding,attention,21.582443375024013,24.600202874979004,1,1,Animal_Land_Solid_Large,2,+2,1,1.157935333903879,,,,,,,,
encoding,fixation,24.60038695798721,25.105716499965638,2,1,Object_Sea_Solid_Small,7,,,,,,,,,,,
encoding,image,25.105884540942498,26.116870249970816,2,1,Object_Sea_Solid_Small,7,,,,,,,,,,,
encoding,value,26.116990457987413,32.12763787491713,2,1,Object_Sea_Solid_Small,7,,,,,,,,,,,
encoding,attention,32.12774945795536,35.14473616599571,2,1,Object_Sea_Solid_Small,7,+7,1,0.7491505409125239,,,,,,,,
encoding,fixation,35.14488866599277,36.15030070801731,3,1,Animal_Sea_Pattern_Small,-9,,,,,,,,,,,
encoding,image,36.15044612495694,37.161742290947586,3,1,Animal_Sea_Pattern_Small,-9,,,,,,,,,,,
encoding,value,37.16185554093681,43.17478779098019,3,1,Animal_Sea_Pattern_Small,-9,,,,,,,,,,,
encoding,attention,43.17492220795248,46.1925349580124,3,1,Animal_Sea_Pattern_Small,-9,-9,1,0.893123707966879,,,,,,,,
encoding,fixation,46.19270479097031,46.951006624964066,4,1,Object_Land_Solid_Large,-2,,,,,,,,,,,
encoding,image,46.951114833005704,47.96085999999195,4,1,Object_Land_Solid_Large,-2,,,,,,,,,,,
encoding,value,47.9609794159187,53.97157412499655,4,1,Object_Land_Solid_Large,-2,,,,,,,,,,,
encoding,attention,53.97168987500481,56.98717666591983,4,1,Object_Land_Solid_Large,-2,+4,0,0.7326288340846077,,,,,,,,
encoding,fixation,56.98732758301776,57.74279254092835,5,1,Object_Sea_Pattern_Small,-4,,,,,,,,,,,
encoding,image,57.74289824999869,58.753400875022635,5,1,Object_Sea_Pattern_Small,-4,,,,,,,,,,,
encoding,value,58.75350795791019,64.76417341595516,5,1,Object_Sea_Pattern_Small,-4,,,,,,,,,,,
encoding,attention,64.76429870794527,67.81602595793083,5,1,Object_Sea_Pattern_Small,-4,-4,1,0.893858625087887,,,,,,,,
encoding,fixation,67.81617387500592,68.57125641591847,6,1,Animal_Land_Pattern_Large,1,,,,,,,,,,,
encoding,image,68.57137399993371,69.58182379091159,6,1,Animal_Land_Pattern_Large,1,,,,,,,,,,,
encoding,value,69.58196933299769,75.59329087496735,6,1,Animal_Land_Pattern_Large,1,,,,,,,,,,,
encoding,attention,75.59341616590973,78.61012650001794,6,1,Animal_Land_Pattern_Large,1,+1,1,0.7704892500769347,,,,,,,,
n-back,,,,1,1,,,,1,None,B,False,None,,,,,
n-back,,,,2,1,,,,1,None,N,False,None,,,,,
n-back,,,,3,1,,,,1,None,C,False,None,,,,,
n-back,,,,4,1,,,,1,None,V,False,None,,,,,
n-back,,,,5,1,,,,1,0.7209036659915,C,True,1,,,,,
n-back,,,,6,1,,,,1,None,B,False,None,,,,,
n-back,,,,7,1,,,,1,None,N,False,None,,,,,
n-back,,,,8,1,,,,1,0.8477112079272047,B,True,1,,,,,
n-back,,,,9,1,,,,1,None,C,False,None,,,,,
n-back,,,,10,1,,,,1,None,X,False,None,,,,,
n-back,,,,11,1,,,,1,0.36270116607192904,C,True,1,,,,,
n-back,,,,12,1,,,,1,None,B,False,None,,,,,
n-back,,,,13,1,,,,1,None,N,False,None,,,,,
n-back,,,,14,1,,,,1,None,Z,False,None,,,,,
n-back,,,,15,1,,,,1,None,Z,False,None,,,,,
n-back,,,,16,1,,,,1,None,V,False,None,,,,,
n-back,,,,17,1,,,,1,1.053375665913336,Z,True,1,,,,,
n-back,,,,18,1,,,,1,None,Z,False,None,,,,,
n-back,,,,19,1,,,,0,0.8340417080326006,V,False,1,,,,,
n-back,,,,20,1,,,,1,None,V,False,None,,,,,
n-back,,,,21,1,,,,1,1.2033175000688061,V,True,1,,,,,
n-back,,,,22,1,,,,0,None,V,True,None,,,,,
n-back,,,,23,1,,,,1,0.43322362506296486,V,True,1,,,,,
n-back,,,,24,1,,,,0,None,V,True,None,,,,,
n-back,,,,25,1,,,,1,None,Z,False,None,,,,,
n-back,,,,26,1,,,,1,0.5154382920591161,V,True,1,,,,,
n-back,,,,27,1,,,,1,None,C,False,None,,,,,
n-back,,,,28,1,,,,0,None,V,True,None,,,,,
n-back,,,,29,1,,,,1,None,N,False,None,,,,,
n-back,,,,30,1,,,,1,None,N,False,None,,,,,
choice,fixation,167.687514332938,168.19417324999813,1,1,,,,,,,,,Land,,,,
