game,original_item,item,onset,offset
1,HAT,Object_Land_Pattern_Small,4.4,6.0
1,BOAT,Object_Sea_Pattern_Large,6.0,6.2
1,SUBMARINE,Object_Sea_Solid_Large,6.9,8.0
1,SEAL,Animal_Sea_Solid_Large,9.3,10.2
1,BIRD,Animal_Land_Solid_Small,27.1,27.6
2,FISH,Animal_Sea_Pattern_Small,2.7,3.5
2,HOUSE,Object_Land_Pattern_Large,4.6,5.3
2,CRAB,Animal_Sea_Solid_Small,6.0,6.8
2,SNORKEL,Object_Sea_Solid_Small,8.4,9.3
2,ZEBRA,Animal_Land_Pattern_Large,13.1,13.9
3,LION,Animal_Land_Solid_Large,3.1,4.1
3,BOAT,Object_Sea_Pattern_Large,4.1,5.3
3,SNORKEL,Object_Sea_Solid_Small,5.3,6.1
3,FLOATIES,Object_Sea_Pattern_Small,8.7,9.4
3,ZEBRA,Animal_Land_Pattern_Large,17.7,18.6
3,FISH,Animal_Sea_Pattern_Small,23.1,23.6
3,CRAB,Animal_Sea_Solid_Small,24.2,24.7
4,SUBMARINE,Object_Sea_Solid_Large,3.3,4.6
4,BOWTIE,Object_Land_Solid_Small,5.8,6.9
4,HAT,Object_Land_Pattern_Small,6.9,7.3
4,SEAL,Animal_Sea_Solid_Large,12.6,12.6
4,LADYBUG,Animal_Land_Pattern_Small,12.6,13.5
4,LION,Animal_Land_Solid_Large,15.4,16.2
5,FISH,Animal_Sea_Pattern_Small,6.7,7.4
5,CRAB,Animal_Sea_Solid_Small,7.4,8.2
5,SNORKEL,Object_Sea_Solid_Small,9.4,10.2
5,BOWTIE,Object_Land_Solid_Small,11.8,12.8
6,SNORKEL,Object_Sea_Solid_Small,4.2,5.4
6,BIRD,Animal_Land_Solid_Small,5.4,6.0
6,FLOATIES,Object_Sea_Pattern_Small,7.0,7.9
6,BOAT,Object_Sea_Pattern_Large,8.7,9.4
6,ZEBRA,Animal_Land_Pattern_Large,16.5,17.5
6,LION,Animal_Land_Solid_Large,17.5,17.8
7,SNORKEL,Object_Sea_Solid_Small,4.3,5.4
7,SUBMARINE,Object_Sea_Solid_Large,5.4,6.2
7,HAT,Object_Land_Pattern_Small,10.1,10.9
7,BOWTIE,Object_Land_Solid_Small,13.5,14.4
7,BIRD,Animal_Land_Solid_Small,23.8,24.2
