phase,event,trial_number,eyetracker_onset,eyetracker_offset,fix_start,fix_end,fix_duration_full,fix_duration_bounded,fix_x,fix_y,roi_x,roi_y,roi_content,thisRow.t,notes,onset,offset,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,Unnamed: 20
encoding,fixation,1,9517083,9517841,9517290.0,9517720.0,431.0,431.0,1915.3,1090.8,1920.0,1080.0,fixation,,,17.743150874972343,18.501686416799203,1.0,Object_Land_Pattern_Small,5.0,,,,,,,,,,,
encoding,image,1,9517841,9518862,9517948.0,9518104.0,157.0,157.0,1615.4,1451.2,1591.0,891.0,Object_Land_Pattern_Small,,,18.50179129175376,19.5226308334386,1.0,Object_Land_Pattern_Small,5.0,,,,,,,,,,,
encoding,image,1,9517841,9518862,9518129.0,9519043.0,915.0,733.0,1567.1,1301.6,1591.0,891.0,Object_Land_Pattern_Small,,,18.50179129175376,19.5226308334386,1.0,Object_Land_Pattern_Small,5.0,,,,,,,,,,,
encoding,value,1,9518862,9524873,9519060.0,9521493.0,2434.0,2434.0,1593.8,1195.1,1591.0,891.0,Object_Land_Pattern_Small,,,19.522739375010133,25.533198624965735,1.0,Object_Land_Pattern_Small,5.0,,,,,,,,,,,
encoding,value,1,9518862,9524873,9521702.0,9522519.0,818.0,818.0,1596.0,1191.6,1591.0,891.0,Object_Land_Pattern_Small,,,19.522739375010133,25.533198624965735,1.0,Object_Land_Pattern_Small,5.0,,,,,,,,,,,
encoding,value,1,9518862,9524873,9522529.0,9524026.0,1498.0,1498.0,1602.5,1298.1,1591.0,891.0,Object_Land_Pattern_Small,,,19.522739375010133,25.533198624965735,1.0,Object_Land_Pattern_Small,5.0,,,,,,,,,,,
encoding,value,1,9518862,9524873,9524044.0,9524275.0,232.0,232.0,1608.7,1199.4,1591.0,891.0,Object_Land_Pattern_Small,,,19.522739375010133,25.533198624965735,1.0,Object_Land_Pattern_Small,5.0,,,,,,,,,,,
encoding,value,1,9518862,9524873,9524485.0,9525157.0,673.0,388.0,1600.7,1190.2,1591.0,891.0,Object_Land_Pattern_Small,,,19.522739375010133,25.533198624965735,1.0,Object_Land_Pattern_Small,5.0,,,,,,,,,,,
encoding,attention,1,9524873,9527887,9525164.0,9525506.0,343.0,343.0,1640.4,1178.4,1591.0,891.0,Object_Land_Pattern_Small,,,25.5333123333985,28.54736262501683,1.0,Object_Land_Pattern_Small,5.0,5.0,1.0,0.8410476666176692,,,,,,,,
encoding,attention,1,9524873,9527887,9525523.0,9526328.0,806.0,806.0,1549.5,1167.2,1591.0,891.0,Object_Land_Pattern_Small,,,25.5333123333985,28.54736262501683,1.0,Object_Land_Pattern_Small,5.0,5.0,1.0,0.8410476666176692,,,,,,,,
encoding,fixation,2,9527888,9528891,9528133.0,9529181.0,1049.0,758.0,1923.2,1048.5,1920.0,1080.0,fixation,,,28.547493916703388,29.551105291815475,1.0,Object_Land_Solid_Small,-9.0,,,,,,,,,,,
