thisRow.t,notes,phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
,,choice,choice,163.70736650004983,168.24097541661467,26,4,,,1,0,3.5259957916568965,,,,Animal,,,,
,,choice,fixation,168.2411776666995,168.9945238333894,27,4,,,,,,,,,Land,,,,
,,choice,option,169.00026325008366,170.02501145843416,27,4,,,,,,,,,Land,,,,
,,choice,choice,170.02512375009246,171.73870087508112,27,4,,,1,1,0.7063707916531712,,,,Land,,,,
,,choice,fixation,171.73888449999504,172.24224912503269,28,4,,,,,,,,,Object,,,,
,,choice,option,172.24822375003714,173.2721910000546,28,4,,,,,,,,,Object,,,,
,,choice,choice,173.2722923750989,176.24197495845146,28,4,,,1,1,1.9622130416100845,,,,Object,,,,
,,choice,fixation,176.24209787498694,176.74540516664274,29,4,,,,,,,,,Sea,,,,
,,choice,option,176.75096154166386,177.7751011250075,29,4,,,,,,,,,Sea,,,,
,,choice,choice,177.7751929166261,179.3932057917118,29,4,,,2,0,0.610821166774258,,,,Sea,,,,
,,choice,fixation,179.39332779170945,180.89674820844084,30,4,,,,,,,,,Pattern,,,,
,,choice,option,180.90292324998882,181.92704354168382,30,4,,,,,,,,,Pattern,,,,
,,choice,choice,181.9271499166498,184.31240279169288,30,4,,,1,1,1.3777326667914167,,,,Pattern,,,,
,,choice,fixation,184.31253283342812,185.065834500012,31,4,,,,,,,,,Large,,,,
,,choice,option,185.0717034166446,186.09667791670654,31,4,,,,,,,,,Large,,,,
,,choice,choice,186.09679149999283,188.93847116664983,31,4,,,1,1,1.8341373750008643,,,,Large,,,,
,,choice,fixation,188.93859662499744,189.69194875005633,32,4,,,,,,,,,Solid,,,,
,,choice,option,189.6982001250144,190.72168933344074,32,4,,,,,,,,,Solid,,,,
,,choice,choice,190.721790583455,192.29087062506005,32,4,,,1,1,0.5619618333876133,,,,Solid,,,,
,,memory,free_recall,204.59651933342684,225.45243920839857,18,4,,,,,,,,,,,,,
,,memory,value_recall,234.58550241671037,239.07697179168463,19,4,Animal_Sea_Solid_Large,,,,4.488132708473131,,,,,4,,,
,,memory,value_recall,240.90427883341908,242.3026285833912,20,4,Animal_Land_Pattern_Small,,,,1.3947894165758044,,,,,-1,,,
,,memory,value_recall,243.58112945838366,245.918963333359,21,4,Animal_Sea_Pattern_Large,,,,2.3343145000981167,,,,,-4,,,
,,memory,value_recall,247.2079627084313,254.97247999999672,22,4,Object_Land_Pattern_Small,,,,7.760918749962002,,,,,6,,,
,,memory,value_recall,257.0125593750272,258.2626552917063,23,4,Object_Sea_Solid_Large,,,,1.2466421666322276,,,,,2,,,
,,memory,value_recall,259.2944057084387,261.44644687499385,24,4,Object_Land_Solid_Small,,,,2.149959583184682,,,,,-4,,,
