effect,component,term,estimate,std.error,conf.low,conf.high
fixed,cond,(Intercept),0.03654508695297679,0.006389243601470349,0.023715764560870566,0.04925932409366476
fixed,cond,decision_c,0.003058615726337913,0.01038605629894251,-0.016813682778780915,0.023764936061824293
fixed,cond,valence_c,0.017562007647286874,0.014681354374805819,-0.01151133338281334,0.0462130059320203
fixed,cond,game_c,-2.9146575472342165e-4,0.0022033938383763216,-0.004518537018385185,0.003942900542954649
fixed,cond,decision_c:valence_c,0.09797636285097364,0.034295593808295374,0.028859336165104874,0.165499264261666
fixed,cond,decision_c:game_c,-7.699146383091057e-4,0.004442020339817893,-0.009322467364719856,0.007822348338246132
fixed,cond,valence_c:game_c,-0.006929801025401448,0.007755084301124738,-0.022692977484267737,0.008314489337503082
fixed,cond,decision_c:valence_c:game_c,0.012588928104360514,0.011247728701859893,-0.010030918499941718,0.03452254071886671
