effect,component,term,estimate,std.error,conf.low,conf.high
fixed,cond,(Intercept),0.07178685968146203,0.012942744530628597,0.04590633657050741,0.09691903156399483
fixed,cond,game_c,-8.129195847748559e-4,0.003682253001803838,-0.007935491222635926,0.006646284203284173
