effect,component,term,estimate,std.error,conf.low,conf.high
fixed,cond,(Intercept),5.634941487191115,0.6670618236795288,4.554782771938934,7.214311489774648
fixed,cond,game_c,0.20203629180557564,0.20951217874348355,-0.13680327842377255,0.672496999981415
