time_point,proportion_count,proportion_duration,n_fixations_per_window,n_image_fixations_per_window,window_size_ms,step_size_ms,chance_level
-2950.0,0.0,0.0,9,5,100,25,0.16666666666666666
-2925.0,0.2,0.21428571428571427,8,5,100,25,0.16666666666666666
-2900.0,0.25,0.3127659574468085,5,4,100,25,0.16666666666666666
-2875.0,0.4,0.33695652173913043,6,5,100,25,0.16666666666666666
-2850.0,0.4,0.33695652173913043,5,5,100,25,0.16666666666666666
-2825.0,0.5,0.33249370277078083,4,4,100,25,0.16666666666666666
-2800.0,0.4,0.08203853325046613,5,5,100,25,0.16666666666666666
-2775.0,0.25,0.01728024042073629,4,4,100,25,0.16666666666666666
-2750.0,0.2,0.011116481391976801,5,5,100,25,0.16666666666666666
-2725.0,0.14285714285714285,0.1834581347855684,8,7,100,25,0.16666666666666666
-2700.0,0.14285714285714285,0.2620320855614973,9,7,100,25,0.16666666666666666
-2675.0,0.25,0.2904929577464789,10,8,100,25,0.16666666666666666
-2650.0,0.375,0.6164984642387011,10,8,100,25,0.16666666666666666
-2625.0,0.5,0.48164988632672945,9,8,100,25,0.16666666666666666
-2600.0,0.7142857142857143,0.5894389438943894,8,7,100,25,0.16666666666666666
-2575.0,0.6666666666666666,0.551142005958292,7,6,100,25,0.16666666666666666
-2550.0,0.6666666666666666,0.5636592266582836,10,9,100,25,0.16666666666666666
-2525.0,0.7142857142857143,0.8164222873900293,8,7,100,25,0.16666666666666666
-2500.0,0.5714285714285714,0.6552346570397112,7,7,100,25,0.16666666666666666
-2475.0,0.6666666666666666,0.7885590152063722,6,6,100,25,0.16666666666666666
-2450.0,0.5,0.41089108910891087,4,4,100,25,0.16666666666666666
-2425.0,0.4,0.3521000893655049,5,5,100,25,0.16666666666666666
-2400.0,0.5,0.5019455252918288,6,6,100,25,0.16666666666666666
-2375.0,0.42857142857142855,0.3638928067700987,8,7,100,25,0.16666666666666666
-2350.0,0.3333333333333333,0.2840909090909091,7,6,100,25,0.16666666666666666
-2325.0,0.25,0.13847900113507378,5,4,100,25,0.16666666666666666
-2300.0,0.4,0.34357366771159875,6,5,100,25,0.16666666666666666
-2275.0,0.5,0.45477178423236514,4,4,100,25,0.16666666666666666
-2250.0,0.6,0.4817073170731707,5,5,100,25,0.16666666666666666
-2225.0,0.5,0.3867132867132867,6,6,100,25,0.16666666666666666
-2200.0,0.3333333333333333,0.009140767824497258,3,3,100,25,0.16666666666666666
-2175.0,0.2,0.002860411899313501,6,5,100,25,0.16666666666666666
-2150.0,0.0,0.0,5,4,100,25,0.16666666666666666
-2125.0,0.25,0.13907692307692307,5,4,100,25,0.16666666666666666
-2100.0,0.42857142857142855,0.4238890639773085,8,7,100,25,0.16666666666666666
-2075.0,0.6,0.6820486815415822,5,5,100,25,0.16666666666666666
-2050.0,0.6666666666666666,0.726890756302521,7,6,100,25,0.16666666666666666
-2025.0,0.6,0.7010869565217391,6,5,100,25,0.16666666666666666
-2000.0,0.3333333333333333,0.4308880308880309,4,3,100,25,0.16666666666666666
-1975.0,0.3333333333333333,0.3509075194468453,7,6,100,25,0.16666666666666666
-1950.0,0.42857142857142855,0.3370411568409344,8,7,100,25,0.16666666666666666
-1925.0,0.42857142857142855,0.3370411568409344,8,7,100,25,0.16666666666666666
-1900.0,0.5714285714285714,0.3894504106127606,8,7,100,25,0.16666666666666666
-1875.0,0.42857142857142855,0.37087378640776697,8,7,100,25,0.16666666666666666
-1850.0,0.25,0.036458333333333336,4,4,100,25,0.16666666666666666
-1825.0,0.2,0.02441860465116279,6,5,100,25,0.16666666666666666
-1800.0,0.16666666666666666,0.32231404958677684,7,6,100,25,0.16666666666666666
-1775.0,0.5,0.653692614770459,6,4,100,25,0.16666666666666666
-1750.0,0.5,0.653692614770459,6,4,100,25,0.16666666666666666
-1725.0,0.6666666666666666,0.9122562674094707,4,3,100,25,0.16666666666666666
-1700.0,0.3333333333333333,0.367479674796748,4,3,100,25,0.16666666666666666
-1675.0,0.25,0.17677824267782427,4,4,100,25,0.16666666666666666
-1650.0,0.16666666666666666,0.14798598949211908,6,6,100,25,0.16666666666666666
-1625.0,0.16666666666666666,0.14798598949211908,6,6,100,25,0.16666666666666666
-1600.0,0.25,0.2244355909694555,4,4,100,25,0.16666666666666666
-1575.0,0.16666666666666666,0.06270903010033445,6,6,100,25,0.16666666666666666
-1550.0,0.25,0.07425742574257425,4,4,100,25,0.16666666666666666
-1525.0,0.3333333333333333,0.4000737463126844,9,9,100,25,0.16666666666666666
-1500.0,0.4,0.4651545036160421,10,10,100,25,0.16666666666666666
-1475.0,0.5714285714285714,0.6942112240388865,7,7,100,25,0.16666666666666666
-1450.0,0.5714285714285714,0.6942112240388865,7,7,100,25,0.16666666666666666
-1425.0,1.0,1.0,2,2,100,25,0.16666666666666666
-1400.0,0.3333333333333333,0.451171875,3,3,100,25,0.16666666666666666
-1375.0,0.0,0.0,2,2,100,25,0.16666666666666666
-1350.0,0.3333333333333333,0.7242394504416094,3,3,100,25,0.16666666666666666
-1325.0,0.3333333333333333,0.7242394504416094,3,3,100,25,0.16666666666666666
-1300.0,0.3333333333333333,0.5975708502024292,4,3,100,25,0.16666666666666666
-1275.0,0.3333333333333333,0.5975708502024292,5,3,100,25,0.16666666666666666
-1250.0,0.4,0.3146696528555431,7,5,100,25,0.16666666666666666
-1225.0,0.25,0.19115646258503402,10,8,100,25,0.16666666666666666
-1200.0,0.2857142857142857,0.26838586437440304,9,7,100,25,0.16666666666666666
-1175.0,0.3333333333333333,0.3030597377367654,10,9,100,25,0.16666666666666666
-1150.0,0.4444444444444444,0.4312796208530806,10,9,100,25,0.16666666666666666
-1125.0,0.7142857142857143,0.672975352112676,10,7,100,25,0.16666666666666666
-1100.0,0.5555555555555556,0.5197144799456153,11,9,100,25,0.16666666666666666
-1075.0,0.625,0.6805495920996135,11,8,100,25,0.16666666666666666
-1050.0,0.4,0.5547576301615799,8,5,100,25,0.16666666666666666
-1025.0,0.25,0.34908136482939633,5,4,100,25,0.16666666666666666
-1000.0,0.75,0.9518304431599229,5,4,100,25,0.16666666666666666
-975.0,0.75,0.9420289855072463,4,4,100,25,0.16666666666666666
-950.0,0.75,0.9420289855072463,4,4,100,25,0.16666666666666666
-925.0,0.6666666666666666,0.8787995382839554,6,6,100,25,0.16666666666666666
-900.0,0.6,0.6532567049808429,6,5,100,25,0.16666666666666666
-875.0,0.6,0.7714646464646465,6,5,100,25,0.16666666666666666
-850.0,0.5,0.735553772070626,7,6,100,25,0.16666666666666666
-825.0,0.6,0.7665615141955836,6,5,100,25,0.16666666666666666
-800.0,0.5,0.8750957854406131,4,4,100,25,0.16666666666666666
-775.0,0.5,0.6164609053497943,6,6,100,25,0.16666666666666666
-750.0,0.5,0.5761538461538461,6,6,100,25,0.16666666666666666
-725.0,0.4,0.45767716535433073,5,5,100,25,0.16666666666666666
-700.0,0.5,0.580130529369108,6,6,100,25,0.16666666666666666
-675.0,0.4,0.5899581589958159,5,5,100,25,0.16666666666666666
-650.0,0.5,0.48308934881373045,8,8,100,25,0.16666666666666666
-625.0,0.5,0.48308934881373045,8,8,100,25,0.16666666666666666
-600.0,0.5714285714285714,0.5306627101879328,7,7,100,25,0.16666666666666666
-575.0,0.6666666666666666,0.5778288340034463,6,6,100,25,0.16666666666666666
-550.0,1.0,1.0,2,2,100,25,0.16666666666666666
-525.0,1.0,1.0,3,3,100,25,0.16666666666666666
-500.0,0.6666666666666666,0.697928026172301,6,6,100,25,0.16666666666666666
-475.0,0.6,0.6381450032658393,8,5,100,25,0.16666666666666666
-450.0,0.5,0.5864345738295318,10,6,100,25,0.16666666666666666
-425.0,0.42857142857142855,0.38461538461538464,11,7,100,25,0.16666666666666666
-400.0,0.3333333333333333,0.03594771241830065,7,3,100,25,0.16666666666666666
-375.0,0.5,0.4158415841584158,5,4,100,25,0.16666666666666666
-350.0,0.75,0.6478328173374613,4,4,100,25,0.16666666666666666
-325.0,1.0,1.0,2,2,100,25,0.16666666666666666
-300.0,1.0,1.0,2,2,100,25,0.16666666666666666
-275.0,0.5,0.7584269662921348,4,4,100,25,0.16666666666666666
-250.0,0.6666666666666666,0.8266129032258065,7,6,100,25,0.16666666666666666
-225.0,0.6666666666666666,0.8534932221063608,11,9,100,25,0.16666666666666666
-200.0,0.7272727272727273,0.8907889623008162,13,11,100,25,0.16666666666666666
-175.0,0.8888888888888888,0.9780366056572379,11,9,100,25,0.16666666666666666
-150.0,0.75,0.9455226421518557,9,8,100,25,0.16666666666666666
-125.0,0.6666666666666666,0.9260051325919589,7,6,100,25,0.16666666666666666
-100.0,0.6,0.9139303482587064,6,5,100,25,0.16666666666666666
-75.0,0.5,0.7101865136298422,7,6,100,25,0.16666666666666666
-50.0,0.4,0.47413793103448276,6,5,100,25,0.16666666666666666
-25.0,0.3333333333333333,0.1898422090729783,6,6,100,25,0.16666666666666666
0.0,0.14285714285714285,0.02099167571480275,7,7,100,25,0.16666666666666666
25.0,0.16666666666666666,0.1970139565076274,6,6,100,25,0.16666666666666666
50.0,0.375,0.49331006399069227,8,8,100,25,0.16666666666666666
75.0,0.5,0.6587260486794407,6,6,100,25,0.16666666666666666
100.0,0.6666666666666666,0.7433582667010575,6,6,100,25,0.16666666666666666
125.0,0.5,0.6815458358298382,6,6,100,25,0.16666666666666666
150.0,0.6,0.6026587887740029,5,5,100,25,0.16666666666666666
175.0,0.5,0.44417344173441736,9,8,100,25,0.16666666666666666
200.0,0.5,0.4978951396861845,7,6,100,25,0.16666666666666666
225.0,0.6666666666666666,0.5971502590673575,7,6,100,25,0.16666666666666666
250.0,0.5,0.43460350154479915,7,6,100,25,0.16666666666666666
275.0,0.5,0.4904899135446686,4,4,100,25,0.16666666666666666
300.0,0.3333333333333333,0.3290796597061098,7,6,100,25,0.16666666666666666
325.0,0.2857142857142857,0.2258573117855735,9,7,100,25,0.16666666666666666
350.0,0.3333333333333333,0.31354441512752856,8,6,100,25,0.16666666666666666
375.0,0.3333333333333333,0.36564102564102563,8,6,100,25,0.16666666666666666
400.0,0.4,0.47000659195781147,6,5,100,25,0.16666666666666666
425.0,0.3333333333333333,0.43792766373411535,4,3,100,25,0.16666666666666666
450.0,0.0,0.0,4,3,100,25,0.16666666666666666
475.0,0.3333333333333333,0.3046800382043935,4,3,100,25,0.16666666666666666
500.0,0.5,0.5071542130365659,3,2,100,25,0.16666666666666666
525.0,0.3333333333333333,0.35923423423423423,3,3,100,25,0.16666666666666666
550.0,0.5,0.5519031141868512,2,2,100,25,0.16666666666666666
575.0,0.0,0.0,2,2,100,25,0.16666666666666666
600.0,0.25,0.37467866323907456,4,4,100,25,0.16666666666666666
625.0,0.6,0.6580459770114943,5,5,100,25,0.16666666666666666
650.0,0.6,0.6580459770114943,6,5,100,25,0.16666666666666666
675.0,0.75,0.8539465506525793,6,4,100,25,0.16666666666666666
700.0,1.0,1.0,4,2,100,25,0.16666666666666666
