game,original_item,item,onset,offset
1,LION,Animal_Land_Solid_Large,3.6,4.8
1,SEAL,Animal_Sea_Solid_large,4.8,6.0
1,COUCH,Object_Land_Solid_Large,6.0,6.8
1,FLOATIES,Object_Sea_Pattern_Small,8.0,8.9
1,LADYBUG,Animal_Land_Pattern_Small,12.6,13.9
2,SUBMARINE,Object_Sea_Solid_Large,34.1,35.1
2,LADYBUG,Animal_Land_Pattern_Small,35.1,35.9
2,ZEBRA,Animal_Land_Pattern_Large,40.7,41.5
3,SUBMARINE,Object_Sea_Solid_Large,2.3,3.6
3,WHALE,Animal_Sea_Pattern_Large,3.6,4.3
3,HOUSE,Object_Land_Pattern_Large,4.3,4.9
3,LADYBUG,Animal_Land_Pattern_Small,7.1,8.2
3,BOAT,Object_Sea_Pattern_Large,8.2,9.0
4,SEAL,Animal_Sea_Solid_Large,3.4,4.3
4,FISH,Animal_Sea_Pattern_Small,4.3,5.1
4,COUCH,Object_Land_Solid_Large,5.1,5.9
4,FLOATIES,Object_Sea_Pattern_Small,8.3,8.9
5,BIRD,Animal_Land_Solid_Small,3.1,4.0
5,ZEBRA,Animal_Land_Pattern_Large,4.0,5.2
5,SUBMARINE,Object_Sea_Solid_Large,5.2,6.3
5,LADYBUG,Animal_Land_Pattern_Small,7.3,8.4
5,BOAT,Object_Sea_Pattern_Large,8.4,9.6
6,HOUSE,Object_Land_Pattern_Large,3.0,4.4
6,SUBMARINE,Object_Sea_Solid_Large,4.4,5.1
6,LADYBUG,Animal_Land_Pattern_Small,5.1,6.2
6,BIRD,Animal_Land_Solid_Small,10.7,11.2
7,FISH,Animal_Sea_Pattern_Small,2.2,3.4
7,SEAL,Animal_Sea_Solid_Large,3.4,3.8
7,COUCH,Object_Land_Solid_Large,3.8,4.6
7,LION,Animal_Land_Solid_Large,4.6,5.6
7,FLOATY,Object_Sea_Pattern_Small,5.6,6.5
7,HAT,Object_Land_Pattern_Small,6.5,7.2
