subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H110,7,-0.32142857142857145,0.14285714285714285,0.4642857142857143,human,leave
H111,1,-0.2222222222222222,0.1111111111111111,0.3333333333333333,human,leave
H111,2,-0.25,0.25,0.5,human,leave
H111,3,0.5,0.5,0.0,human,leave
H111,4,0.0,0.0,0.0,human,leave
H113,1,-0.2,0.08,0.28,human,leave
H113,2,-0.13333333333333336,0.06666666666666667,0.2,human,leave
H113,3,-0.2857142857142857,0.0,0.2857142857142857,human,leave
H113,4,0.2,0.2,0.0,human,leave
H113,5,-0.5,0.0,0.5,human,leave
H113,6,1.0,1.0,0.0,human,leave
H113,7,0.0,0.0,0.0,human,leave
H114,1,0.20833333333333331,0.4583333333333333,0.25,human,leave
H114,2,0.08333333333333334,0.2916666666666667,0.20833333333333334,human,leave
H114,3,0.08333333333333331,0.375,0.2916666666666667,human,leave
H114,4,0.25,0.5,0.25,human,leave
H114,5,0.33333333333333326,0.5416666666666666,0.20833333333333334,human,leave
H114,6,0.17391304347826086,0.4782608695652174,0.30434782608695654,human,leave
H114,7,0.19565217391304346,0.45652173913043476,0.2608695652173913,human,leave
H115,1,-0.3157894736842105,0.10526315789473684,0.42105263157894735,human,leave
H115,2,-0.0625,0.25,0.3125,human,leave
H115,3,0.07692307692307693,0.3076923076923077,0.23076923076923078,human,leave
H115,4,-0.3636363636363636,0.18181818181818182,0.5454545454545454,human,leave
H115,5,0.25,0.375,0.125,human,leave
H115,6,0.14285714285714285,0.42857142857142855,0.2857142857142857,human,leave
H115,7,0.08333333333333334,0.25,0.16666666666666666,human,leave
H116,1,-0.125,0.25,0.375,human,leave
H116,2,-0.125,0.1875,0.3125,human,leave
H116,3,-0.1935483870967742,0.1935483870967742,0.3870967741935484,human,leave
H116,4,0.0,0.22580645161290322,0.22580645161290322,human,leave
H116,5,-0.06451612903225809,0.22580645161290322,0.2903225806451613,human,leave
H116,6,-0.16129032258064518,0.1935483870967742,0.3548387096774194,human,leave
H116,7,-0.03225806451612903,0.22580645161290322,0.25806451612903225,human,leave
H117,1,0.040000000000000036,0.28,0.24,human,leave
H117,2,0.08695652173913043,0.21739130434782608,0.13043478260869565,human,leave
H117,3,0.0,0.2631578947368421,0.2631578947368421,human,leave
H117,4,0.0,0.23529411764705882,0.23529411764705882,human,leave
H117,5,0.4545454545454545,0.5454545454545454,0.09090909090909091,human,leave
H117,6,-0.125,0.125,0.25,human,leave
H117,7,0.1875,0.3125,0.125,human,leave
H118,1,0.05263157894736842,0.3157894736842105,0.2631578947368421,human,leave
H118,2,-0.23076923076923078,0.23076923076923078,0.46153846153846156,human,leave
H118,3,-0.18181818181818182,0.18181818181818182,0.36363636363636365,human,leave
H118,4,-0.125,0.125,0.25,human,leave
H118,5,0.0,0.4,0.4,human,leave
H118,6,0.0,0.2,0.2,human,leave
H118,7,-0.125,0.375,0.5,human,leave
H119,1,-0.2272727272727273,0.13636363636363635,0.36363636363636365,human,leave
H119,2,-0.11764705882352938,0.29411764705882354,0.4117647058823529,human,leave
H119,3,0.0,0.14285714285714285,0.14285714285714285,human,leave
H119,4,-0.2857142857142857,0.21428571428571427,0.5,human,leave
H119,5,-0.3076923076923077,0.07692307692307693,0.38461538461538464,human,leave
H119,6,0.18181818181818182,0.36363636363636365,0.18181818181818182,human,leave
H119,7,-0.3125,0.1875,0.5,human,leave
H120,1,0.0,0.3333333333333333,0.3333333333333333,human,leave
H120,2,0.05882352941176472,0.29411764705882354,0.23529411764705882,human,leave
H120,3,-0.05882352941176469,0.17647058823529413,0.23529411764705882,human,leave
H120,4,0.06666666666666668,0.2,0.13333333333333333,human,leave
H120,5,-0.07692307692307693,0.3076923076923077,0.38461538461538464,human,leave
H120,6,0.25,0.4166666666666667,0.16666666666666666,human,leave
H120,7,-0.04999999999999999,0.25,0.3,human,leave
H122,1,-0.11538461538461536,0.23076923076923078,0.34615384615384615,human,leave
